Gaia19crr
#Date,JD,averagemag.
2015-01-03 01:17:14,2457025.554,null
2015-01-03 03:03:59,2457025.628,null
2015-01-19 19:19:30,2457042.305,null
2015-01-19 21:05:39,2457042.379,null
2015-07-04 19:14:27,2457208.302,null
2015-07-04 21:00:37,2457208.375,null
2015-07-25 13:21:08,2457229.056,null
2015-07-25 15:07:19,2457229.130,null
2015-08-26 13:04:22,2457261.045,null
2016-01-12 02:21:08,2457399.598,null
2016-01-12 04:07:53,2457399.672,null
2016-02-03 10:00:22,2457421.917,null
2016-03-02 07:53:22,2457449.829,null
2016-03-02 09:39:31,2457449.902,null
2016-07-13 22:10:26,2457583.424,null
2016-08-09 08:21:17,2457609.848,null
2016-09-05 04:01:02,2457636.667,null
2017-01-20 23:13:40,2457774.468,null
2017-02-16 22:30:31,2457801.438,null
2017-02-17 00:17:16,2457801.512,null
2017-03-12 10:23:37,2457824.933,null
2017-03-12 12:09:46,2457825.007,null
2017-07-24 16:58:03,2457959.207,null
2017-07-24 18:44:13,2457959.281,null
2017-08-24 12:29:28,2457990.020,null
2017-09-15 04:45:16,2458011.698,null
2017-09-15 06:31:26,2458011.772,null
2018-01-31 05:56:57,2458149.748,null
2018-01-31 07:43:41,2458149.822,null
2018-03-04 01:12:53,2458181.551,null
2018-03-04 05:26:37,2458181.727,null
2018-03-21 17:29:44,2458199.229,null
2018-03-21 19:16:29,2458199.303,null
2018-08-04 18:09:36,2458335.257,null
2018-08-04 19:56:22,2458335.331,null
2018-09-08 23:41:39,2458370.487,null
2018-09-09 01:28:25,2458370.561,null
2018-09-24 07:36:46,2458385.817,null
2018-09-24 11:49:57,2458385.993,null
2018-12-26 19:46:50,2458479.324,null
2018-12-26 21:32:59,2458479.398,null
2018-12-27 01:46:43,2458479.574,null
2018-12-27 03:33:28,2458479.648,null
2019-01-04 09:38:34,2458487.902,null
2019-01-04 13:52:18,2458488.078,null
2019-01-04 15:39:03,2458488.152,null
2019-03-21 20:13:20,2458564.343,null
2019-03-22 00:27:04,2458564.519,null
2019-03-22 02:13:13,2458564.593,null
2019-03-22 06:26:57,2458564.769,null
2019-03-22 08:13:42,2458564.843,null
2019-03-22 12:27:25,2458565.019,null
2019-03-27 06:31:11,2458569.772,null
2019-03-27 12:31:04,2458570.022,null
2019-03-27 14:17:49,2458570.096,null
2019-03-27 18:31:33,2458570.272,null
2019-03-27 20:17:42,2458570.346,null
2019-03-28 00:31:26,2458570.522,null
2019-03-28 02:18:11,2458570.596,null
2019-06-26 21:23:12,2458661.391,17.33
2019-06-27 01:36:53,2458661.567,17.32
2019-06-27 03:23:31,2458661.641,null
2019-07-08 15:32:52,2458673.148,18.02
2019-07-08 19:46:33,2458673.324,18.08
2019-07-08 21:33:08,2458673.398,18.04
2019-08-15 10:36:23,2458710.942,19.47
2019-08-15 12:22:58,2458711.016,19.48
2019-09-26 00:32:08,2458752.522,20.48
2019-09-26 06:32:22,2458752.772,null
2019-09-26 08:18:58,2458752.847,20.59
2019-09-26 12:32:39,2458753.023,20.49
2019-09-26 14:19:14,2458753.097,20.44
2019-09-26 18:32:55,2458753.273,20.60
2019-09-26 20:19:30,2458753.347,untrusted
2019-09-27 00:33:21,2458753.523,null
2019-09-27 02:20:07,2458753.597,null
2019-09-27 06:33:27,2458753.773,20.48
2019-09-27 08:20:02,2458753.847,20.60
2019-09-27 14:20:18,2458754.097,20.63
2019-09-27 20:20:34,2458754.348,20.50
2019-09-28 02:20:50,2458754.598,20.65
2019-09-28 08:21:34,2458754.848,null
2019-09-28 14:21:22,2458755.098,20.61
2019-09-28 20:21:39,2458755.348,20.60
2019-09-29 02:21:55,2458755.599,20.59
2019-09-29 06:35:36,2458755.775,20.56
2019-09-29 08:22:11,2458755.849,20.45
2019-09-29 12:35:52,2458756.025,20.55
2019-09-29 14:22:26,2458756.099,untrusted
2019-09-29 18:36:08,2458756.275,20.50
2019-09-29 20:22:42,2458756.349,untrusted
2019-09-30 00:36:23,2458756.525,20.62
2019-09-30 02:22:58,2458756.599,20.54
2019-09-30 06:36:39,2458756.775,20.60
2019-09-30 08:23:13,2458756.849,20.61
2019-09-30 12:37:12,2458757.026,null

