Gaia19csy
#Date,JD,averagemag.
2015-01-14 06:46:32,2457036.782,null
2015-01-14 08:32:42,2457036.856,null
2015-07-09 13:50:07,2457213.076,null
2015-07-09 15:36:53,2457213.151,null
2015-08-01 07:51:11,2457235.827,null
2015-08-01 09:37:22,2457235.901,null
2015-09-01 03:22:57,2457266.641,null
2016-01-05 07:50:25,2457392.827,null
2016-01-05 09:37:10,2457392.901,null
2016-01-29 07:42:53,2457416.821,null
2016-01-29 09:29:38,2457416.896,null
2016-02-25 07:23:50,2457443.808,null
2016-02-25 09:10:34,2457443.882,null
2016-07-19 02:58:42,2457588.624,null
2016-07-19 04:44:52,2457588.698,null
2016-08-15 14:50:12,2457616.118,null
2016-08-15 16:36:57,2457616.192,null
2016-09-10 22:34:25,2457642.441,null
2017-01-14 14:58:59,2457768.124,null
2017-02-11 17:46:44,2457796.241,null
2017-03-06 09:51:47,2457818.911,null
2017-03-06 11:38:31,2457818.985,null
2017-07-30 01:17:29,2457964.554,null
2017-08-31 05:13:42,2457996.718,null
2017-08-31 07:00:28,2457996.792,null
2017-09-21 01:06:59,2458017.547,null
2017-09-21 05:20:46,2458017.723,null
2018-01-24 23:29:41,2458143.479,null
2018-01-25 01:16:26,2458143.553,null
2018-03-15 22:55:28,2458193.455,null
2018-03-16 00:41:37,2458193.529,null
2018-06-21 13:13:21,2458291.051,null
2018-06-21 15:00:06,2458291.125,null
2018-06-21 19:13:52,2458291.301,null
2018-07-01 07:21:32,2458300.807,null
2018-07-01 09:07:42,2458300.880,null
2018-08-10 02:28:25,2458340.603,null
2018-09-17 06:17:55,2458378.762,null
2018-09-17 08:04:40,2458378.837,null
2018-09-17 12:17:51,2458379.012,null
2018-09-17 14:04:37,2458379.087,null
2018-09-29 02:14:09,2458390.593,null
2018-09-29 06:27:55,2458390.769,null
2018-09-29 08:14:05,2458390.843,null
2018-09-29 12:27:51,2458391.019,null
2018-12-20 01:07:46,2458472.547,null
2018-12-20 02:53:55,2458472.621,null
2018-12-20 07:07:39,2458472.797,null
2018-12-20 08:54:24,2458472.871,null
2018-12-20 13:08:08,2458473.047,null
2018-12-20 14:54:18,2458473.121,null
2018-12-28 01:13:40,2458480.551,null
2018-12-28 02:59:49,2458480.625,null
2018-12-28 07:13:33,2458480.801,null
2018-12-28 09:00:18,2458480.875,null
2018-12-28 13:14:02,2458481.051,null
2019-02-04 14:24:42,2458519.100,null
2019-03-13 01:35:43,2458555.566,null
2019-03-13 05:49:27,2458555.743,null
2019-03-13 07:36:12,2458555.817,null
2019-03-24 11:55:01,2458566.997,null
2019-03-24 13:41:46,2458567.071,null
2019-06-30 02:13:42,2458664.593,18.69
2019-06-30 04:00:17,2458664.667,18.68
2019-08-09 00:38:02,2458704.526,19.58
2019-08-09 04:51:43,2458704.703,19.67
2019-09-16 12:52:43,2458743.037,null
2019-09-16 14:39:29,2458743.111,null
2019-09-27 13:07:39,2458754.047,null
2019-09-27 14:53:59,2458754.121,20.98

