Gaia19ctd
#Date,JD,averagemag.
2014-09-17 14:08:10,2456918.089,untrusted
2014-10-08 03:28:02,2456938.644,untrusted
2014-10-08 05:14:36,2456938.718,untrusted
2014-10-30 21:36:41,2456961.400,18.39
2014-10-30 23:23:15,2456961.474,18.44
2015-01-11 15:04:32,2457034.128,18.82
2015-01-11 16:51:05,2457034.202,null
2015-02-08 04:37:19,2457061.693,18.99
2015-03-18 01:53:20,2457099.579,19.10
2015-03-18 03:39:54,2457099.653,19.20
2015-04-02 21:44:33,2457115.406,null
2015-04-03 01:58:18,2457115.582,null
2015-05-16 06:31:01,2457158.772,19.15
2015-05-16 08:17:36,2457158.846,19.25
2015-06-01 02:21:48,2457174.598,19.25
2015-06-01 06:35:41,2457174.775,null
2015-07-11 11:32:33,2457214.981,untrusted
2015-07-11 13:19:07,2457215.055,19.45
2015-08-09 05:17:45,2457243.721,null
2015-09-08 23:02:38,2457274.460,18.16
2015-09-09 00:49:12,2457274.534,18.18
2015-10-23 10:38:01,2457318.943,18.62
2015-10-23 12:24:35,2457319.017,18.70
2015-10-23 16:38:15,2457319.193,18.72
2015-11-14 22:47:18,2457341.450,18.32
2015-11-15 00:33:52,2457341.524,18.38
2015-12-25 18:10:38,2457382.257,18.39
2016-01-25 10:05:33,2457412.921,18.18
2016-02-19 05:43:00,2457437.738,18.22
2016-02-19 09:56:41,2457437.914,18.36
2016-03-29 20:50:16,2457477.368,18.15
2016-03-29 22:36:50,2457477.442,untrusted
2016-04-13 02:56:01,2457491.622,18.35
2016-04-13 04:42:35,2457491.696,18.38
2016-06-13 15:18:15,2457553.138,null
2016-07-22 06:38:31,2457591.777,null
2016-07-22 08:24:40,2457591.850,null
2016-08-23 00:18:29,2457623.513,null
2016-08-23 02:04:39,2457623.587,null
2016-09-20 12:11:55,2457652.008,null
2016-09-20 13:58:40,2457652.082,null
2016-11-05 19:35:23,2457698.316,null
2016-11-05 23:49:08,2457698.492,null
2016-11-29 05:56:39,2457721.748,null
2016-11-29 07:43:24,2457721.822,null
2017-01-05 11:33:43,2457758.982,null
2017-02-06 23:05:40,2457791.462,null
2017-03-01 08:10:05,2457813.840,null
2017-04-11 11:09:37,2457854.965,null
2017-04-24 17:15:51,2457868.219,null
2017-04-24 19:02:01,2457868.293,null
2017-06-27 11:37:43,2457931.985,null
2017-08-03 09:07:15,2457968.880,null
2017-08-03 10:54:00,2457968.954,null
2017-09-07 02:43:15,2458003.613,null
2017-09-07 04:30:00,2458003.688,null
2017-10-03 08:44:19,2458029.864,null
2017-10-03 10:31:04,2458029.938,null
2017-10-03 14:44:49,2458030.114,null
2017-11-19 04:08:37,2458076.673,18.92
2017-11-19 08:22:17,2458076.849,untrusted
2017-11-19 10:08:51,2458076.923,18.93
2017-12-14 04:12:25,2458101.675,18.87
2018-01-16 21:51:09,2458135.411,18.94
2018-03-12 07:26:15,2458189.810,19.11
2018-04-23 12:05:47,2458232.004,18.51
2018-04-23 13:52:21,2458232.078,18.53
2018-05-06 18:11:45,2458245.258,18.36
2018-05-06 19:58:19,2458245.332,untrusted
2018-06-18 10:53:48,2458287.954,18.59
2018-06-18 12:40:22,2458288.028,18.58
2018-07-11 12:34:57,2458311.024,untrusted
2018-08-15 10:14:25,2458345.927,18.40
2018-08-15 12:00:58,2458346.001,18.38
2018-09-22 15:48:38,2458384.159,untrusted
2018-09-22 17:35:12,2458384.233,18.30
2018-10-16 21:54:32,2458408.413,17.77
2018-10-16 23:41:06,2458408.487,17.77
2018-12-01 23:19:18,2458454.472,17.80
2018-12-02 03:32:58,2458454.648,17.79
2018-12-28 17:17:02,2458481.220,17.65
2019-01-28 04:59:01,2458511.708,17.73
2019-01-28 09:12:42,2458511.884,17.71
2019-03-05 08:24:35,2458547.850,untrusted
2019-03-05 10:11:10,2458547.924,17.54
2019-03-23 04:13:48,2458565.676,17.68
2019-05-05 02:48:51,2458608.617,17.63
2019-05-05 07:02:30,2458608.793,null
2019-05-19 08:54:23,2458622.871,17.22
2019-06-29 23:56:50,2458664.498,17.10
2019-06-30 01:43:24,2458664.572,17.11
2019-08-01 08:02:27,2458696.835,17.10
2019-08-01 09:49:01,2458696.909,17.07
2019-09-08 10:01:32,2458734.918,16.80
2019-09-26 10:32:31,2458752.939,16.84
2019-09-26 12:19:05,2458753.013,16.87
2019-11-07 21:05:22,2458795.379,null
2019-11-21 13:39:54,2458809.069,17.02
2019-11-21 15:26:28,2458809.143,17.02
2019-12-30 17:53:23,2458848.245,16.72
2020-01-24 05:05:18,2458872.712,16.88
2020-02-24 06:29:09,2458903.770,16.93
2020-04-05 02:13:24,2458944.593,17.59
2020-04-05 03:59:59,2458944.667,17.62
2020-04-05 08:13:39,2458944.843,17.60
2020-04-05 10:00:13,2458944.917,17.57
2020-04-28 04:34:37,2458967.691,17.67
2020-04-28 08:48:17,2458967.867,17.72
2020-04-28 10:34:51,2458967.941,untrusted

