Gaia19cts
#Date,JD,averagemag.
2014-08-30 21:39:27,2456900.402,null
2014-08-31 01:53:13,2456900.579,null
2015-01-06 15:32:58,2457029.148,null
2015-01-24 09:32:24,2457046.898,null
2015-01-24 13:46:08,2457047.074,null
2015-02-27 07:04:22,2457080.795,null
2015-04-08 08:20:34,2457120.848,null
2015-04-08 12:34:18,2457121.024,null
2015-04-08 14:21:03,2457121.098,null
2015-04-22 06:43:27,2457134.780,null
2015-04-22 08:30:12,2457134.854,null
2015-04-22 12:43:57,2457135.031,null
2015-04-22 14:30:41,2457135.105,null
2015-04-22 18:43:51,2457135.280,null
2015-04-22 20:30:36,2457135.355,null
2015-06-26 20:29:56,2457200.354,null
2015-06-27 00:43:42,2457200.530,null
2015-06-27 02:30:27,2457200.604,null
2015-07-19 06:53:14,2457222.787,null
2015-07-19 08:39:24,2457222.861,null
2015-08-23 02:20:21,2457257.597,null
2015-09-30 11:47:53,2457295.992,null
2015-09-30 13:34:04,2457296.065,null
2015-10-14 01:41:05,2457309.570,null
2015-10-14 05:54:51,2457309.746,null
2016-01-16 14:47:37,2457404.116,null
2016-01-16 16:34:22,2457404.191,null
2016-02-07 08:41:03,2457425.862,null
2016-03-09 08:12:43,2457456.842,null
2016-03-09 09:59:28,2457456.916,null
2016-07-07 13:55:38,2457577.080,null
2016-07-07 15:41:48,2457577.154,null
2016-08-03 07:56:49,2457603.831,null
2016-09-02 09:29:49,2457633.896,null
2016-09-02 13:43:35,2457634.072,null
2016-10-13 18:44:33,2457675.281,null
2016-10-13 20:31:19,2457675.355,null
2016-10-22 08:37:43,2457683.860,null
2016-10-22 12:51:29,2457684.036,null
2016-10-22 14:38:14,2457684.110,null
2016-12-11 05:05:19,2457733.712,null
2016-12-11 11:05:49,2457733.962,null
2016-12-11 12:51:59,2457734.036,null
2016-12-11 17:05:43,2457734.212,null
2016-12-11 18:52:28,2457734.286,null
2016-12-11 23:06:12,2457734.463,null
2016-12-12 00:52:22,2457734.536,null
2016-12-12 05:06:07,2457734.713,null
2016-12-12 06:52:52,2457734.787,null
2016-12-12 11:06:36,2457734.963,null
2016-12-12 12:52:46,2457735.037,null
2016-12-12 17:06:30,2457735.213,null
2016-12-12 18:53:15,2457735.287,null
2016-12-12 23:07:00,2457735.463,null
2016-12-13 00:53:45,2457735.537,null
2016-12-13 05:06:54,2457735.713,null
2016-12-13 06:53:39,2457735.787,null
2016-12-13 11:07:23,2457735.963,null
2016-12-13 12:54:08,2457736.038,null
2016-12-13 17:07:53,2457736.214,null
2017-01-25 23:37:54,2457779.485,null
2017-02-20 06:46:02,2457804.782,null
2017-03-20 16:43:53,2457833.197,null
2017-03-20 18:30:37,2457833.271,null
2017-07-19 10:29:54,2457953.937,null
2017-08-18 10:20:41,2457983.931,null
2017-08-18 12:06:51,2457984.005,null
2017-09-13 11:59:48,2458010.000,null
2017-12-19 01:19:43,2458106.555,null
2017-12-19 03:06:28,2458106.629,null
2017-12-19 07:20:12,2458106.806,null
2017-12-19 09:06:22,2458106.879,null
2017-12-28 03:11:39,2458115.633,null
2017-12-28 07:25:23,2458115.809,null
2017-12-28 09:12:08,2458115.883,null
2018-02-05 14:05:48,2458155.087,null
2018-03-06 19:43:29,2458184.322,null
2018-03-06 23:57:13,2458184.498,null
2018-03-31 23:53:29,2458209.495,null
2018-04-01 01:40:14,2458209.570,null
2018-07-31 05:41:28,2458330.737,null
2018-09-24 05:19:35,2458385.722,null
2018-09-24 07:05:45,2458385.796,null
2018-12-28 08:15:50,2458480.844,null
2018-12-28 10:02:34,2458480.918,null
2019-01-11 02:20:04,2458494.597,null
2019-03-22 06:57:22,2458564.790,null
2019-03-22 08:44:07,2458564.864,null
2019-04-12 07:03:15,2458585.794,null
2019-04-12 08:50:00,2458585.868,null
2019-06-16 02:47:38,2458650.616,null
2019-06-16 07:01:23,2458650.793,null
2019-06-16 08:48:08,2458650.867,null
2019-06-16 13:01:54,2458651.043,null
2019-07-01 19:13:09,2458666.301,18.84
2019-07-01 20:59:43,2458666.375,18.83
2019-08-21 12:13:39,2458717.009,null
2019-08-21 16:27:25,2458717.186,null
2019-09-25 18:01:27,2458752.251,null
2019-09-25 19:48:12,2458752.325,null
2019-09-26 00:01:58,2458752.501,null

