Gaia19cuq
#Date,JD,averagemag.
2014-08-30 04:47:36,2456899.700,15.66
2014-10-03 21:27:22,2456934.394,untrusted
2015-01-06 10:41:46,2457028.946,15.68
2015-01-06 12:28:20,2457029.020,15.70
2015-01-25 10:43:03,2457047.947,15.68
2015-01-25 12:29:38,2457048.021,15.70
2015-02-27 22:10:55,2457081.424,null
2015-04-08 15:48:09,2457121.158,untrusted
2015-04-08 17:34:44,2457121.232,15.63
2015-04-25 05:46:18,2457137.740,15.61
2015-04-25 09:59:58,2457137.917,15.69
2015-04-25 11:46:32,2457137.991,15.62
2015-04-25 16:00:13,2457138.167,15.67
2015-04-25 17:46:47,2457138.241,15.63
2015-06-24 21:51:19,2457198.411,15.72
2015-06-24 23:37:53,2457198.485,15.70
2015-07-19 03:54:56,2457222.663,15.73
2015-07-19 05:41:30,2457222.737,15.73
2015-08-22 05:16:46,2457256.720,15.71
2015-09-29 10:22:19,2457294.932,15.70
2015-10-14 02:40:06,2457309.611,15.71
2015-10-14 04:26:40,2457309.685,15.69
2015-11-30 08:46:31,2457356.866,15.70
2015-11-30 13:00:11,2457357.042,15.71
2015-11-30 14:46:45,2457357.116,15.71
2015-11-30 19:00:26,2457357.292,15.70
2015-11-30 20:47:00,2457357.366,null
2015-12-01 01:00:40,2457357.542,15.72
2015-12-03 07:02:46,2457359.794,15.70
2015-12-03 13:03:00,2457360.044,15.71
2015-12-03 14:49:35,2457360.118,15.71
2015-12-03 19:03:15,2457360.294,15.70
2015-12-03 20:49:49,2457360.368,15.69
2015-12-04 01:03:30,2457360.544,15.70
2015-12-04 02:50:04,2457360.618,15.69
2016-01-16 17:45:24,2457404.240,15.70
2016-01-16 19:31:58,2457404.314,15.70
2016-03-10 05:21:26,2457457.723,null
2016-04-27 17:03:23,2457506.211,null
2016-04-27 18:50:08,2457506.285,null
2016-04-27 23:03:53,2457506.461,null
2016-04-28 00:50:39,2457506.535,null
2016-04-28 05:04:24,2457506.711,null
2016-04-28 06:50:34,2457506.785,null
2016-04-28 11:04:10,2457506.961,15.70
2016-04-28 12:51:05,2457507.035,null
2016-04-28 17:04:24,2457507.211,15.65
2016-04-28 18:50:59,2457507.285,15.71
2016-04-29 00:51:13,2457507.536,15.70
2016-05-04 18:56:32,2457513.289,15.70
2016-05-05 00:56:47,2457513.539,15.70
2016-05-05 05:10:27,2457513.716,15.66
2016-05-05 06:57:01,2457513.790,15.70
2016-05-05 11:10:41,2457513.966,15.68
2016-05-05 12:57:15,2457514.040,15.70
2016-05-05 17:10:56,2457514.216,15.69
2016-05-05 18:57:30,2457514.290,15.71
2016-05-05 23:11:22,2457514.466,null
2016-05-06 00:57:44,2457514.540,15.71
2016-05-06 05:11:25,2457514.716,15.71
2016-05-06 06:57:59,2457514.790,15.71
2016-05-06 11:11:40,2457514.966,15.71
2016-07-05 23:02:01,2457575.460,null
2016-07-06 00:48:11,2457575.533,null
2016-08-02 22:56:02,2457603.456,null
2016-09-01 16:37:16,2457633.193,null
2016-09-01 18:23:26,2457633.266,null
2016-10-12 05:17:31,2457673.720,null
2016-10-12 09:31:15,2457673.897,null
2016-10-22 21:37:07,2457684.401,null
2016-10-22 23:23:16,2457684.474,null
2016-12-08 13:53:15,2457731.079,null
2016-12-08 15:39:25,2457731.152,null
2016-12-08 19:53:10,2457731.329,null
2016-12-16 07:59:10,2457738.833,null
2016-12-16 09:45:55,2457738.907,null
2017-01-26 06:51:30,2457779.786,null
2017-02-21 03:49:55,2457805.660,null
2017-03-21 15:40:52,2457834.153,null
2017-03-21 19:54:38,2457834.330,null
2017-07-18 01:34:13,2457952.565,null
2017-07-18 03:20:23,2457952.639,null
2017-08-17 21:03:03,2457983.377,null
2017-09-12 19:04:27,2458009.295,null
2017-09-12 20:51:12,2458009.369,null
2017-10-25 23:48:07,2458052.492,15.70
2017-10-26 01:34:41,2458052.566,untrusted
2017-10-26 05:48:20,2458052.742,15.68
2017-11-01 11:53:12,2458058.995,15.73
2017-11-01 13:39:46,2458059.069,15.70
2017-12-17 23:57:20,2458105.498,15.70
2017-12-18 04:11:00,2458105.674,15.67
2017-12-29 18:04:09,2458117.253,15.71
2018-02-05 23:07:20,2458155.463,15.69
2018-03-07 15:04:48,2458185.128,null
2018-03-07 16:51:13,2458185.202,15.68
2018-04-02 09:05:44,2458210.879,untrusted
2018-04-02 10:52:18,2458210.953,15.67
2018-06-01 02:58:29,2458270.624,15.68
2018-06-01 04:45:03,2458270.698,15.69
2018-06-01 08:58:43,2458270.874,15.68
2018-06-01 10:45:17,2458270.948,15.69
2018-06-01 14:58:57,2458271.124,15.69
2018-06-01 16:45:31,2458271.198,15.68
2018-06-01 20:59:10,2458271.374,15.71
2018-06-01 22:45:44,2458271.448,15.68
2018-06-12 16:54:18,2458282.204,15.71
2018-06-12 21:07:58,2458282.381,15.68
2018-06-12 22:54:31,2458282.455,15.69
2018-06-13 03:08:11,2458282.631,15.68
2018-06-13 04:54:45,2458282.705,15.69
2018-06-13 09:08:25,2458282.881,15.68
2018-06-13 10:54:59,2458282.955,15.67
2018-07-30 02:43:01,2458329.613,15.69
2018-07-30 04:29:35,2458329.687,15.67
2018-09-01 09:59:48,2458362.917,15.65
2018-09-01 14:13:27,2458363.093,15.64
2018-09-23 15:54:28,2458385.163,15.63
2018-11-08 20:29:46,2458431.354,15.61
2018-11-09 00:43:26,2458431.530,15.60
2018-11-09 02:30:00,2458431.604,15.60
2018-11-09 06:43:40,2458431.780,15.59
2018-11-09 08:30:14,2458431.854,15.64
2018-11-09 12:43:54,2458432.030,15.60
2018-11-09 14:30:28,2458432.104,15.60
2018-11-09 18:44:08,2458432.281,15.61
2018-11-09 20:30:42,2458432.355,15.60
2018-11-10 00:44:22,2458432.531,15.60
2018-11-10 02:30:56,2458432.605,15.62
2018-11-10 06:44:36,2458432.781,15.60
2018-11-10 08:31:10,2458432.855,15.59
2018-11-10 12:44:51,2458433.031,15.60
2018-11-10 14:31:25,2458433.105,15.59
2018-11-10 20:31:39,2458433.355,15.61
2018-12-27 18:55:48,2458480.289,15.59
2019-01-12 05:14:21,2458495.718,15.58
2019-01-12 07:00:56,2458495.792,15.56
2019-02-16 22:29:28,2458531.437,15.58
2019-02-17 00:16:03,2458531.511,15.55
2019-03-22 23:55:06,2458565.497,15.53
2019-03-23 04:08:47,2458565.673,15.55
2019-04-14 00:03:39,2458587.503,15.51
2019-04-14 04:17:20,2458587.679,15.52
2019-06-13 04:09:26,2458647.673,15.50
2019-06-13 05:56:00,2458647.747,untrusted
2019-06-13 11:56:13,2458647.997,15.53
2019-07-02 12:05:36,2458667.004,15.50
2019-07-02 16:19:15,2458667.180,15.50
2019-08-22 01:23:40,2458717.558,15.51
2019-08-22 03:10:14,2458717.632,15.49
2019-09-26 14:51:04,2458753.119,15.49
2019-09-26 16:37:38,2458753.193,15.47
2019-10-18 03:23:10,2458774.641,15.48
2019-10-18 05:09:44,2458774.715,15.46
2019-10-18 09:23:24,2458774.891,15.47
2019-10-18 11:09:58,2458774.965,15.47
2019-12-14 19:09:19,2458832.298,15.50
2019-12-14 23:23:00,2458832.474,15.47
2019-12-15 01:09:34,2458832.548,15.48
2019-12-15 05:23:15,2458832.724,15.48
2020-01-02 11:49:51,2458850.993,15.48
2020-01-02 13:36:25,2458851.067,15.47
