Gaia19cvg
#Date,JD,averagemag.
2014-09-18 09:08:13,2456918.881,untrusted
2014-09-18 10:54:48,2456918.955,untrusted
2014-10-01 00:22:08,2456931.515,untrusted
2014-10-27 00:24:23,2456957.517,untrusted
2014-10-27 02:10:57,2456957.591,18.40
2015-01-06 00:12:46,2457028.509,18.33
2015-01-06 01:59:20,2457028.583,18.32
2015-02-12 05:44:26,2457065.739,18.28
2015-03-17 17:07:00,2457099.213,18.22
2015-04-07 17:02:50,2457120.210,null
2015-04-07 18:49:34,2457120.284,null
2015-05-21 09:38:42,2457163.902,null
2015-05-21 11:25:27,2457163.976,null
2015-05-31 21:45:25,2457174.407,18.21
2015-05-31 23:32:24,2457174.481,null
2015-07-15 20:22:23,2457219.349,18.20
2015-07-15 22:08:57,2457219.423,18.20
2015-08-05 08:24:24,2457239.850,null
2015-09-10 03:35:15,2457275.649,18.33
2015-10-16 13:27:54,2457312.061,18.38
2015-10-16 15:14:29,2457312.135,18.37
2015-11-08 13:35:38,2457335.066,18.42
2015-11-08 15:22:12,2457335.140,18.42
2015-11-08 19:35:53,2457335.317,18.41
2015-12-28 07:15:37,2457384.803,18.37
2015-12-28 09:02:11,2457384.877,18.38
2016-01-21 07:17:28,2457408.804,18.39
2016-01-21 09:04:02,2457408.878,18.43
2016-02-23 12:51:22,2457442.036,18.37
2016-02-23 14:37:56,2457442.110,18.35
2016-03-30 06:03:04,2457477.752,18.38
2016-03-30 07:49:38,2457477.826,18.38
2016-06-01 06:20:34,2457540.764,18.31
2016-06-01 10:34:14,2457540.940,18.30
2016-06-12 04:41:03,2457551.695,18.28
2016-06-12 06:27:37,2457551.769,18.29
2016-07-26 03:25:53,2457595.643,untrusted
2016-08-18 09:23:14,2457618.891,18.27
2016-08-18 11:09:49,2457618.965,18.25
2016-09-21 02:58:39,2457652.624,18.17
2016-10-31 14:36:31,2457693.109,18.24
2016-10-31 16:23:06,2457693.183,18.24
2016-11-20 16:33:37,2457713.190,18.23
2016-11-20 20:47:17,2457713.366,18.24
2016-11-20 22:33:51,2457713.440,18.23
2016-11-21 02:47:32,2457713.616,18.23
2017-01-08 10:11:49,2457761.925,18.24
2017-01-08 14:25:28,2457762.101,18.27
2017-02-04 02:19:12,2457788.597,18.17
2017-03-05 21:20:04,2457818.389,18.21
2017-04-12 16:07:44,2457856.172,18.18
2017-04-12 20:21:23,2457856.348,18.16
2017-04-28 10:11:32,2457871.925,18.13
2017-06-12 18:52:47,2457917.287,18.11
2017-06-12 20:39:21,2457917.361,18.10
2017-06-25 07:00:07,2457929.792,null
2017-06-25 08:46:53,2457929.866,null
2017-08-06 11:53:38,2457971.996,18.07
2017-08-06 13:40:13,2457972.070,18.07
2017-09-01 19:32:34,2457998.314,18.10
2017-10-02 23:31:23,2458029.480,18.10
2017-10-03 01:18:08,2458029.554,null
2017-11-16 17:10:12,2458074.215,18.14
2017-11-16 23:10:27,2458074.466,18.09
2017-11-17 00:57:01,2458074.540,18.13
2017-12-05 05:21:36,2458092.723,18.15
2017-12-05 07:08:10,2458092.797,18.14
2017-12-05 11:21:50,2458092.973,18.12
2017-12-05 13:08:25,2458093.048,18.14
2018-01-20 04:56:50,2458138.706,18.10
2018-01-20 06:43:24,2458138.780,18.06
2018-03-16 22:25:04,2458194.434,18.02
2018-03-17 00:11:38,2458194.508,18.02
2018-04-26 03:16:52,2458234.637,17.94
2018-05-09 09:22:29,2458247.891,17.95
2018-05-09 11:09:04,2458247.965,17.97
2018-06-23 21:36:44,2458293.401,17.91
2018-06-24 01:50:25,2458293.577,17.90
2018-07-08 19:56:51,2458308.331,17.90
2018-08-18 01:00:27,2458348.542,17.84
2018-10-15 00:42:05,2458406.529,17.85
2018-10-15 02:28:39,2458406.603,17.82
2018-12-02 06:22:38,2458454.766,17.86
2018-12-02 08:09:12,2458454.840,17.88
2018-12-21 02:19:25,2458473.597,17.88
2018-12-21 06:33:04,2458473.773,17.89
2018-12-21 08:19:38,2458473.847,17.85
2018-12-21 12:33:18,2458474.023,17.87
2019-02-01 00:05:23,2458515.504,17.86
2019-03-04 05:38:54,2458546.735,17.86
2019-03-28 01:15:28,2458570.552,17.82
2019-05-09 04:12:13,2458612.675,17.75
2019-05-09 05:58:47,2458612.749,17.79
2019-05-20 10:18:30,2458623.930,untrusted
2019-05-20 12:05:04,2458624.004,17.72
2019-07-04 22:36:05,2458669.442,17.76
2019-07-05 02:49:45,2458669.618,17.71
2019-08-05 05:16:52,2458700.720,17.77
2019-08-05 07:03:27,2458700.794,17.76
2019-10-01 07:39:59,2458757.819,17.74
2019-10-01 09:26:33,2458757.893,untrusted
2019-11-11 16:16:27,2458799.178,17.71
2019-11-11 18:03:01,2458799.252,17.74
2019-11-22 12:17:27,2458810.012,17.76
2019-11-22 16:31:07,2458810.188,17.76
2020-01-04 07:23:14,2458852.808,17.76
2020-01-04 09:09:48,2458852.882,17.76
2020-01-21 01:51:23,2458869.577,17.78
2020-02-25 23:33:13,2458905.481,17.82
2020-03-29 05:06:19,2458937.713,17.86
2020-04-24 05:52:41,2458963.745,17.85

