Gaia19cwd
#Date,JD,averagemag.
2014-09-11 17:45:27,2456912.240,untrusted
2014-09-29 08:46:27,2456929.866,untrusted
2014-09-29 10:33:00,2456929.940,untrusted
2014-10-14 04:40:18,2456944.695,untrusted
2014-10-14 08:53:57,2456944.871,untrusted
2014-10-14 10:40:31,2456944.945,untrusted
2015-01-02 05:13:32,2457024.718,20.08
2015-01-02 09:27:13,2457024.894,null
2015-01-02 11:13:47,2457024.968,18.89
2015-01-02 15:27:28,2457025.144,18.86
2015-01-02 17:14:03,2457025.218,untrusted
2015-01-02 21:27:44,2457025.394,19.10
2015-01-02 23:14:18,2457025.468,untrusted
2015-01-03 03:27:59,2457025.644,19.45
2015-01-03 05:14:34,2457025.718,19.25
2015-01-03 09:28:14,2457025.895,19.13
2015-01-03 11:14:49,2457025.969,untrusted
2015-01-03 15:28:30,2457026.145,19.93
2015-01-03 21:28:45,2457026.395,18.97
2015-01-05 09:30:33,2457027.896,null
2015-01-05 15:30:30,2457028.146,19.56
2015-01-05 21:31:01,2457028.397,null
2015-01-05 23:17:20,2457028.470,19.60
2015-01-06 03:31:01,2457028.647,19.73
2015-01-06 05:17:35,2457028.721,19.33
2015-01-06 09:31:16,2457028.897,untrusted
2015-01-06 11:17:51,2457028.971,19.35
2015-01-06 15:31:32,2457029.147,19.89
2015-01-06 17:18:07,2457029.221,19.26
2015-01-06 21:31:48,2457029.397,19.03
2015-01-06 23:18:22,2457029.471,19.01
2015-01-07 05:18:38,2457029.721,18.23
2015-02-16 16:53:41,2457070.204,17.40
2015-03-24 08:30:34,2457105.855,18.93
2015-03-24 10:17:08,2457105.929,18.70
2015-04-07 02:38:50,2457119.610,null
2015-04-07 04:25:01,2457119.684,null
2015-07-13 23:02:23,2457217.460,17.86
2015-07-14 00:48:57,2457217.534,17.99
2015-07-30 12:52:45,2457234.037,null
2015-07-30 17:06:29,2457234.213,null
2015-09-04 04:26:40,2457269.685,18.20
2015-09-04 06:13:14,2457269.759,17.04
2016-01-08 00:17:21,2457395.512,17.91
2016-01-08 04:31:02,2457395.688,18.03
2016-01-25 16:39:48,2457413.194,18.00
2016-01-25 18:26:22,2457413.268,18.07
2016-02-27 10:17:51,2457445.929,19.43
2016-04-08 15:30:22,2457487.146,17.84
2016-04-08 17:16:57,2457487.220,18.67
2016-04-08 21:30:38,2457487.396,18.21
2016-04-08 23:17:12,2457487.470,18.11
2016-04-09 03:30:53,2457487.646,18.37
2016-04-09 05:17:28,2457487.720,18.74
2016-04-12 17:20:54,2457491.223,19.75
2016-04-12 21:34:35,2457491.399,untrusted
2016-04-12 23:21:10,2457491.473,19.89
2016-04-13 03:34:51,2457491.649,19.73
2016-04-13 05:21:25,2457491.723,19.55
2016-04-13 09:35:06,2457491.899,19.65
2016-07-22 19:51:20,2457592.327,16.90
2016-08-13 18:01:08,2457614.251,19.36
2016-08-13 19:47:41,2457614.325,19.65
2016-09-14 05:35:30,2457645.733,19.51
2016-09-14 07:22:04,2457645.807,19.26
2017-01-16 11:40:16,2457769.986,18.17
2017-01-16 13:26:51,2457770.060,18.16
2017-02-08 20:50:00,2457793.368,17.19
2017-03-09 00:50:06,2457821.535,17.85
2017-08-02 08:32:22,2457967.856,18.63
2017-08-02 10:18:56,2457967.930,18.66
2017-08-28 20:18:59,2457994.347,17.04
2017-08-28 22:05:33,2457994.421,17.16
2017-09-25 02:06:57,2458021.588,18.93
2017-09-25 03:53:59,2458021.662,null
2018-01-26 15:59:57,2458145.167,19.89
2018-01-26 20:13:39,2458145.343,19.95
2018-03-19 07:58:20,2458196.832,17.76
2018-08-13 03:39:02,2458343.652,null
2018-08-13 05:25:32,2458343.726,19.60
2018-09-13 05:02:03,2458374.710,18.44
2018-10-05 09:15:28,2458396.886,18.02
2018-10-05 11:02:01,2458396.960,17.99
2018-10-05 15:15:40,2458397.136,17.85
2019-02-06 09:24:49,2458520.892,17.70
2019-03-09 21:01:03,2458552.376,18.09
2019-03-09 22:47:37,2458552.450,18.21
2019-03-29 04:50:51,2458571.702,18.76
2019-07-05 17:32:52,2458670.231,16.86
2019-07-05 19:19:26,2458670.305,17.22
2019-07-05 23:33:05,2458670.481,17.14
2019-07-06 01:19:39,2458670.555,16.88
2019-07-14 19:25:17,2458679.309,17.71
2019-07-14 23:38:56,2458679.485,17.71
2019-07-15 01:25:30,2458679.559,18.63
2019-08-10 20:07:35,2458706.339,18.24
2019-08-10 21:54:08,2458706.413,18.41
2019-09-13 03:33:52,2458739.649,17.35
2019-10-02 10:06:23,2458758.921,17.80
2019-10-02 11:52:57,2458758.995,18.38
2020-01-04 18:27:56,2458853.269,19.49
2020-01-04 22:41:37,2458853.446,20.57
2020-01-05 00:28:12,2458853.520,19.46
2020-01-13 22:53:19,2458862.454,19.75
2020-01-14 00:39:53,2458862.528,20.00
2020-01-14 04:53:35,2458862.704,19.83
2020-01-14 06:40:09,2458862.778,19.16
2020-02-20 18:58:13,2458900.290,19.71
2020-03-27 14:39:12,2458936.111,17.59
2020-03-27 16:25:47,2458936.185,17.78
2020-04-10 16:44:57,2458950.198,19.68
2020-04-10 20:58:38,2458950.374,19.42
2020-04-10 22:45:12,2458950.448,19.56
2020-04-11 02:58:53,2458950.624,19.17

