Gaia19cyc
#Date,JD,averagemag.
2014-09-01 08:21:14,2456901.848,untrusted
2015-01-02 07:21:36,2457024.807,17.96
2015-01-02 09:08:25,2457024.881,null
2015-01-21 09:06:41,2457043.880,null
2015-02-21 00:50:02,2457074.535,17.93
2015-02-21 02:36:35,2457074.609,17.94
2015-07-02 13:11:14,2457206.049,18.13
2015-07-02 14:57:48,2457206.123,18.17
2015-08-25 01:01:51,2457259.543,17.97
2016-01-11 20:26:02,2457399.351,18.01
2016-01-11 22:12:35,2457399.425,17.99
2016-02-04 20:14:15,2457423.343,17.98
2016-03-02 13:58:36,2457450.082,18.03
2016-03-02 15:45:10,2457450.156,17.99
2016-07-12 02:22:19,2457581.599,null
2016-07-12 04:09:05,2457581.673,null
2016-08-09 04:02:16,2457609.668,null
2016-09-03 14:11:33,2457635.091,null
2016-09-03 15:58:19,2457635.165,null
2017-01-20 21:32:44,2457774.398,null
2017-01-20 23:18:54,2457774.471,null
2017-02-18 10:32:12,2457802.939,null
2017-02-18 12:18:21,2457803.013,null
2017-03-12 12:15:48,2457825.011,null
2017-07-23 00:42:51,2457957.530,null
2017-08-24 10:37:24,2457989.943,null
2017-08-24 12:23:35,2457990.016,null
2017-09-13 12:27:33,2458010.019,null
2017-09-13 16:41:19,2458010.195,null
2018-01-31 06:02:12,2458149.752,17.87
2018-01-31 07:48:45,2458149.826,17.84
2018-03-06 01:15:28,2458183.552,17.86
2018-03-06 05:29:07,2458183.729,17.87
2018-03-21 11:35:12,2458198.983,17.88
2018-03-21 13:21:46,2458199.057,17.88
2018-08-03 06:08:10,2458333.756,17.96
2018-09-08 19:22:19,2458370.307,18.03
2018-09-08 23:36:01,2458370.483,18.03
2018-09-22 11:44:19,2458383.989,17.97
2018-09-22 13:30:54,2458384.063,17.96
2018-12-25 01:49:09,2458477.576,17.76
2018-12-25 03:35:43,2458477.650,17.75
2019-01-06 21:40:37,2458490.403,17.77
2019-01-07 01:54:15,2458490.579,17.78
2019-02-10 19:10:18,2458525.299,17.72
2019-02-10 20:56:51,2458525.373,17.71
2019-06-23 13:31:35,2458658.064,17.54
2019-06-23 15:18:09,2458658.138,17.54
2019-06-23 19:31:50,2458658.314,17.53
2019-07-09 13:42:05,2458674.071,17.52
2019-07-09 15:28:40,2458674.145,17.51
2019-08-15 16:31:12,2458711.188,17.54
2019-12-24 14:19:37,2458842.097,17.66
2019-12-24 16:06:11,2458842.171,17.65
2020-01-08 22:26:11,2458857.435,17.67

