Gaia19dcd
#Date,JD,averagemag.
2014-08-19 09:59:17,2456888.916,null
2014-08-19 14:13:03,2456889.092,null
2014-08-19 15:59:48,2456889.167,null
2014-08-19 20:13:34,2456889.343,null
2014-08-19 21:59:45,2456889.416,null
2014-08-20 02:13:31,2456889.593,null
2014-11-12 08:31:58,2456973.856,null
2014-11-12 14:32:27,2456974.106,null
2014-11-12 16:18:36,2456974.180,null
2014-11-12 20:32:21,2456974.356,null
2014-11-12 22:19:05,2456974.430,null
2014-11-17 04:22:33,2456978.682,null
2014-11-17 08:35:42,2456978.858,null
2014-11-17 10:22:26,2456978.932,null
2014-11-17 14:36:11,2456979.108,null
2015-01-29 01:07:47,2457051.547,null
2015-01-29 02:53:57,2457051.621,null
2015-02-16 01:12:07,2457069.550,null
2015-02-16 02:58:52,2457069.624,null
2015-02-16 07:12:36,2457069.800,null
2015-02-16 08:59:20,2457069.875,null
2015-06-24 03:11:35,2457197.633,null
2015-06-24 07:25:21,2457197.809,null
2015-07-29 18:55:12,2457233.288,null
2015-07-29 20:41:57,2457233.362,null
2015-08-15 19:02:26,2457250.293,null
2015-08-15 20:48:37,2457250.367,null
2015-11-19 15:27:32,2457346.144,null
2015-11-19 17:13:41,2457346.218,null
2015-12-03 05:18:17,2457359.721,null
2016-01-07 08:45:35,2457394.865,null
2016-02-16 03:57:29,2457434.665,null
2016-02-16 08:11:13,2457434.841,null
2016-02-16 09:57:58,2457434.915,null
2016-02-16 14:11:07,2457435.091,null
2016-02-16 15:57:51,2457435.165,null
2016-02-16 20:11:35,2457435.341,null
2016-02-22 02:15:47,2457440.594,null
2016-02-22 04:02:32,2457440.668,null
2016-02-22 08:16:16,2457440.845,null
2016-02-22 10:02:26,2457440.918,null
2016-02-22 14:16:10,2457441.095,null
2016-02-22 16:02:54,2457441.169,null
2016-02-22 20:16:39,2457441.345,null
2016-02-22 22:02:48,2457441.419,null
2016-05-12 20:47:49,2457521.367,null
2016-05-12 22:34:35,2457521.441,null
2016-05-13 02:47:46,2457521.617,null
2016-05-13 04:34:31,2457521.691,null
2016-05-28 02:58:46,2457536.624,null
2016-05-28 04:44:56,2457536.698,null
2016-05-28 08:58:42,2457536.874,null
2016-05-28 10:45:28,2457536.948,null
2016-07-04 14:36:46,2457574.109,null
2016-08-13 07:54:22,2457613.829,null
2016-08-13 09:40:32,2457613.903,null
2016-08-13 13:54:18,2457614.079,null
2016-08-13 15:41:04,2457614.154,null
2016-08-23 09:48:37,2457623.909,null
2016-08-23 14:02:23,2457624.085,null
2016-11-27 16:28:04,2457720.186,null
2016-11-27 18:14:49,2457720.260,null
2016-12-16 16:26:30,2457739.185,null
2017-01-16 21:53:20,2457770.412,null
2017-01-16 23:40:05,2457770.486,null
2017-05-22 07:05:59,2457895.796,null
2017-05-22 11:19:10,2457895.972,null
2017-06-14 01:11:24,2457918.550,null
2017-07-15 17:09:54,2457950.215,null
2017-07-15 18:56:04,2457950.289,null
2017-12-07 12:53:54,2458095.037,null
2017-12-30 18:43:12,2458118.280,null
2017-12-30 20:29:56,2458118.354,null
2018-01-27 12:24:33,2458146.017,null
2018-01-27 14:11:18,2458146.091,null
2018-06-02 00:30:28,2458271.521,null
2018-06-02 02:16:39,2458271.595,null
2018-06-29 18:25:44,2458299.268,null
2018-07-26 14:05:46,2458326.087,null
2018-07-26 18:18:58,2458326.263,null
2018-12-17 13:59:37,2458470.083,null
2018-12-17 15:46:21,2458470.157,null
2019-01-14 07:38:34,2458497.818,null
2019-02-06 19:33:09,2458521.315,null
2019-02-06 21:19:53,2458521.389,null
2019-06-13 03:28:32,2458647.645,null
2019-07-14 21:11:34,2458679.383,18.47
2019-07-17 15:10:23,2458682.132,18.61
2019-07-17 16:56:58,2458682.206,18.61
2019-08-11 10:00:40,2458706.917,19.77
2019-08-11 11:47:14,2458706.991,19.91

