Gaia19dej
#Date,JD,averagemag.
2014-10-23 06:03:40,2456953.753,untrusted
2014-10-23 10:17:21,2456953.929,untrusted
2014-11-13 16:23:23,2456975.183,20.59
2014-11-13 18:10:28,2456975.257,null
2015-01-25 15:12:02,2457048.133,untrusted
2015-01-25 16:59:08,2457048.208,null
2015-01-25 21:12:18,2457048.384,20.46
2015-01-25 22:58:53,2457048.458,20.42
2015-01-26 03:12:34,2457048.634,20.49
2015-01-26 04:59:08,2457048.708,untrusted
2015-01-26 09:12:49,2457048.884,20.50
2015-01-26 10:59:24,2457048.958,20.42
2015-01-26 15:13:05,2457049.134,20.47
2015-01-26 16:59:39,2457049.208,20.40
2015-01-26 21:13:21,2457049.384,20.43
2015-01-27 03:13:45,2457049.635,null
2015-05-05 23:53:14,2457148.495,null
2015-05-06 01:39:59,2457148.569,null
2015-05-30 05:45:10,2457172.740,null
2015-06-29 11:25:35,2457202.976,null
2015-06-29 13:12:20,2457203.050,null
2015-11-02 17:28:02,2457329.228,20.59
2015-11-02 19:14:36,2457329.302,20.40
2015-11-28 13:10:28,2457355.049,20.42
2015-12-24 17:13:42,2457381.218,20.85
2015-12-24 19:00:17,2457381.292,20.47
2016-05-15 18:58:46,2457524.291,untrusted
2016-06-13 08:27:46,2457552.853,null
2016-07-09 18:35:00,2457579.274,null
2016-07-09 20:21:32,2457579.348,20.34
2016-11-12 12:39:22,2457705.027,untrusted
2017-01-02 18:20:39,2457756.264,null
2017-01-02 20:07:24,2457756.338,null
2017-04-08 22:22:50,2457852.433,null
2017-04-09 00:09:35,2457852.507,null
2017-04-09 04:23:19,2457852.683,null
2017-04-09 06:09:27,2457852.757,untrusted
2017-04-09 10:23:13,2457852.933,null
2017-04-09 12:09:58,2457853.007,null
2017-04-14 06:13:50,2457857.760,null
2017-04-14 10:27:34,2457857.936,null
2017-04-14 12:13:44,2457858.010,null
2017-04-14 16:27:28,2457858.186,null
2017-05-26 17:14:50,2457900.219,null
2017-06-29 04:48:31,2457933.700,null
2017-06-29 09:02:15,2457933.877,null
2017-07-20 09:06:32,2457954.880,null
2017-07-20 10:53:17,2457954.954,null
2017-11-23 04:59:27,2458080.708,20.45
2017-12-26 02:43:45,2458113.614,null
2018-01-12 08:47:35,2458130.866,20.62
2018-04-16 17:18:16,2458225.221,null
2018-04-16 19:05:00,2458225.295,null
2018-04-30 11:23:27,2458238.975,null
2018-04-30 13:10:11,2458239.049,null
2018-06-07 00:22:55,2458276.516,null
2018-07-17 04:04:48,2458316.670,null
2018-07-17 05:51:33,2458316.744,null
2018-07-17 10:05:17,2458316.920,null
2018-07-17 11:52:01,2458316.994,null
2018-07-28 16:12:50,2458328.176,null
2018-07-28 17:59:34,2458328.250,null
2018-07-28 22:13:19,2458328.426,null
2018-07-28 23:59:33,2458328.500,20.39
2018-07-29 04:13:13,2458328.676,null
2018-07-29 05:59:57,2458328.750,null
2018-10-14 12:23:41,2458406.016,20.60
2018-10-14 16:37:47,2458406.193,null
2018-10-14 18:23:57,2458406.267,null
2018-10-14 22:37:43,2458406.443,null
2018-10-28 10:47:52,2458419.950,null
2018-10-28 12:34:38,2458420.024,null
2018-10-28 16:48:24,2458420.200,null
2018-10-28 18:34:34,2458420.274,null
2018-12-04 00:10:28,2458456.507,null
2019-01-09 09:40:53,2458492.903,untrusted
2019-01-09 11:27:42,2458492.978,null
2019-01-21 03:48:39,2458504.659,null
2019-01-21 05:35:25,2458504.733,null
2019-04-26 06:18:41,2458599.763,null
2019-05-15 12:18:54,2458619.013,null
2019-05-15 14:04:58,2458619.087,20.58
2019-06-18 11:45:19,2458652.990,null
2019-07-24 13:12:54,2458689.051,19.11
2019-07-24 14:59:28,2458689.125,19.20
2019-10-30 01:45:42,2458786.573,null
2019-10-30 03:31:56,2458786.647,20.46
2019-11-18 02:22:57,2458805.599,null
2019-12-19 21:56:58,2458837.415,20.29

