Gaia19dff
#Date,JD,averagemag.
2014-09-26 18:56:34,2456927.289,untrusted
2014-09-26 20:43:08,2456927.363,untrusted
2014-11-05 01:38:44,2456966.569,null
2014-11-05 05:52:07,2456966.745,16.68
2014-11-29 17:43:41,2456991.239,16.72
2014-11-29 19:30:15,2456991.313,16.70
2014-12-31 11:20:22,2457022.972,16.57
2015-02-06 16:57:03,2457060.206,16.56
2015-02-06 18:43:37,2457060.280,16.58
2015-03-03 23:01:19,2457085.459,null
2015-03-04 00:47:36,2457085.533,untrusted
2015-03-04 05:01:14,2457085.709,null
2015-04-14 16:36:05,2457127.192,16.64
2015-04-14 18:23:09,2457127.266,null
2015-05-15 10:22:01,2457157.932,16.60
2015-05-15 12:08:35,2457158.006,untrusted
2015-07-23 03:09:22,2457226.632,null
2015-07-23 04:56:07,2457226.706,null
2015-09-22 01:51:41,2457287.578,null
2015-09-22 03:37:51,2457287.651,null
2015-10-09 13:54:21,2457305.079,16.56
2015-11-16 12:57:08,2457343.040,16.65
2015-12-13 06:44:37,2457369.781,untrusted
2015-12-13 08:31:11,2457369.855,untrusted
2016-01-12 08:16:10,2457399.845,null
2016-01-12 12:29:55,2457400.021,null
2016-02-21 06:05:41,2457439.754,16.55
2016-02-21 07:52:15,2457439.828,untrusted
2016-03-17 12:09:54,2457465.007,untrusted
2016-03-17 13:56:28,2457465.081,untrusted
2016-04-26 05:44:22,2457504.739,untrusted
2016-04-26 07:30:57,2457504.813,null
2016-05-28 23:22:29,2457537.474,16.56
2016-06-24 23:09:54,2457564.465,null
2016-06-25 00:56:38,2457564.539,null
2016-08-04 10:06:33,2457604.921,null
2016-08-21 11:55:59,2457621.997,null
2016-10-02 14:51:00,2457664.119,16.69
2016-10-21 08:52:16,2457682.870,untrusted
2016-10-21 10:38:51,2457682.944,untrusted
2016-11-26 20:03:10,2457719.336,16.51
2016-11-26 21:49:44,2457719.410,16.52
2016-12-26 01:46:50,2457748.574,16.68
2016-12-26 03:33:24,2457748.648,16.68
2017-01-23 15:25:04,2457777.142,16.56
2017-01-23 19:38:44,2457777.319,16.66
2017-03-06 08:37:27,2457818.859,16.55
2017-03-06 10:24:01,2457818.933,16.56
2017-04-01 08:39:49,2457844.861,16.71
2017-04-01 10:26:23,2457844.935,16.70
2017-05-08 20:14:50,2457882.344,16.70
2017-06-12 01:44:08,2457916.572,16.53
2017-06-12 03:30:42,2457916.646,16.50
2017-07-06 19:36:03,2457941.317,null
2017-07-06 21:22:33,2457941.391,16.71
2017-08-17 06:26:04,2457982.768,untrusted
2017-09-02 12:30:09,2457999.021,16.55
2017-09-02 14:16:43,2457999.095,16.56
2017-10-13 19:00:55,2458040.292,8.99
2017-10-13 23:14:35,2458040.468,8.94
2017-11-03 11:13:20,2458060.968,9.59
2017-11-03 12:59:54,2458061.042,9.58
2017-12-08 06:19:10,2458095.763,9.11
2017-12-08 10:32:51,2458095.939,8.99
2018-01-09 04:13:07,2458127.676,9.87
2018-01-09 05:59:42,2458127.750,9.89
2018-02-05 05:57:06,2458154.748,10.72
2018-02-05 10:10:46,2458154.924,10.74
2018-03-19 21:46:47,2458197.407,untrusted
2018-03-19 23:33:21,2458197.481,11.66
2018-04-16 05:31:49,2458224.730,12.21
2018-04-16 09:45:29,2458224.907,12.22
2018-05-21 03:22:27,2458259.641,null
2018-05-21 05:08:35,2458259.714,12.67
2018-06-26 02:42:34,2458295.613,13.04
2018-06-26 04:29:08,2458295.687,13.07
2018-07-18 14:38:21,2458318.110,13.25
2018-07-18 16:24:55,2458318.184,13.24
2018-08-29 13:23:19,2458360.058,13.60
2018-08-29 15:09:53,2458360.132,13.60
2018-09-14 15:14:26,2458376.135,null
2018-10-25 02:03:22,2458416.586,13.96
2018-10-25 06:17:03,2458416.762,13.99
2018-11-16 18:12:33,2458439.259,14.09
2018-12-19 23:40:37,2458472.487,14.21
2019-01-23 11:18:34,2458506.971,14.41
2019-01-23 13:05:08,2458507.045,14.39
2019-02-18 11:20:19,2458532.972,14.48
2019-02-18 13:06:53,2458533.046,untrusted
2019-04-02 04:56:04,2458575.706,14.62
2019-04-02 06:42:38,2458575.780,14.65
2019-05-01 04:49:02,2458604.701,14.79
2019-06-02 06:14:56,2458636.760,15.04
2019-07-09 21:40:24,2458674.403,15.03
2019-07-09 23:26:58,2458674.477,15.01
2019-07-27 11:47:35,2458691.991,15.11
2019-07-27 13:34:09,2458692.065,untrusted
2019-08-23 18:36:03,2458719.275,15.31
2019-08-23 20:22:37,2458719.349,15.32
2019-08-24 00:36:17,2458719.525,15.22
2019-10-06 14:22:27,2458763.099,15.54
2019-11-04 03:24:38,2458791.642,15.70
2019-11-04 05:11:44,2458791.716,null
2019-12-04 18:30:44,2458822.271,15.81
2020-01-28 03:06:33,2458876.630,15.88
2020-01-28 07:20:13,2458876.806,15.84
2020-03-24 18:10:26,2458933.257,15.62
2020-05-03 12:42:59,2458973.030,untrusted

