Gaia19dgd
#Date,JD,averagemag.
2014-11-29 14:36:47,2456991.109,16.63
2014-11-29 16:23:21,2456991.183,16.65
2014-12-29 14:16:14,2457021.095,untrusted
2014-12-29 16:02:48,2457021.169,untrusted
2015-02-09 09:35:56,2457062.900,15.85
2015-02-09 13:49:36,2457063.076,15.86
2015-02-09 15:36:10,2457063.150,15.84
2015-03-03 07:58:27,2457084.832,16.05
2015-03-03 09:45:02,2457084.906,16.01
2015-03-03 13:58:42,2457085.082,16.07
2015-03-03 15:45:16,2457085.156,16.05
2015-04-16 01:36:55,2457128.567,null
2015-04-16 03:23:21,2457128.641,15.78
2015-05-17 03:10:22,2457159.632,16.35
2015-06-13 21:00:45,2457187.376,15.86
2015-07-24 18:13:59,2457228.260,null
2015-08-09 00:19:54,2457243.514,null
2015-09-21 16:52:41,2457287.203,null
2015-09-21 18:39:26,2457287.277,null
2015-10-08 04:55:25,2457303.705,16.55
2015-10-08 06:42:31,2457303.780,null
2015-11-14 21:55:28,2457341.414,16.58
2015-11-14 23:42:02,2457341.488,16.56
2015-12-13 11:22:31,2457369.974,16.44
2015-12-13 15:36:10,2457370.150,16.52
2016-01-10 15:24:50,2457398.142,16.19
2016-01-10 17:11:24,2457398.216,16.19
2016-02-24 02:59:55,2457442.625,15.87
2016-02-24 04:46:29,2457442.699,15.89
2016-02-24 09:00:09,2457442.875,15.78
2016-03-17 21:08:48,2457465.381,untrusted
2016-03-17 22:55:23,2457465.455,16.01
2016-04-27 08:46:55,2457505.866,16.24
2016-05-30 14:24:58,2457539.101,16.00
2016-05-30 16:11:33,2457539.175,15.99
2016-06-24 14:19:57,2457564.097,16.21
2016-08-05 19:10:52,2457606.299,16.00
2016-08-19 13:17:06,2457620.054,15.93
2016-08-19 15:03:41,2457620.128,15.83
2016-10-01 17:51:49,2457663.244,null
2016-10-01 19:37:58,2457663.318,16.25
2016-10-20 07:37:57,2457681.818,15.76
2016-10-20 11:51:36,2457681.994,15.74
2016-11-25 05:00:58,2457717.709,16.12
2016-11-25 06:47:32,2457717.783,16.11
2016-12-26 18:23:37,2457749.266,16.15
2017-01-21 22:33:59,2457775.440,16.25
2017-01-22 00:20:33,2457775.514,16.24
2017-03-08 23:33:20,2457821.481,16.21
2017-03-09 01:19:54,2457821.555,16.24
2017-03-09 05:33:34,2457821.732,16.18
2017-04-02 11:39:48,2457845.986,untrusted
2017-04-02 13:26:23,2457846.060,16.10
2017-05-09 11:18:59,2457882.972,16.29
2017-06-13 16:47:20,2457918.200,15.88
2017-06-13 18:33:55,2457918.274,15.91
2017-07-06 00:32:56,2457940.523,15.97
2017-08-18 03:30:18,2457983.646,null
2017-08-18 05:16:22,2457983.720,15.99
2017-08-31 09:36:06,2457996.900,16.09
2017-08-31 11:22:40,2457996.974,16.10
2017-10-12 20:14:28,2458039.343,15.97
2017-10-12 22:01:02,2458039.417,16.00
2017-11-02 15:56:54,2458060.165,16.00
2017-11-02 20:10:34,2458060.341,16.06
2018-01-10 08:49:29,2458128.868,16.15
2018-01-10 13:03:09,2458129.044,16.21
2018-02-03 13:06:05,2458153.046,16.20
2018-02-03 14:52:39,2458153.120,16.22
2018-03-22 02:31:03,2458199.605,null
2018-03-22 06:44:49,2458199.781,null
2018-04-17 18:46:00,2458226.282,15.98
2018-04-17 20:32:34,2458226.356,15.97
2018-05-21 12:27:56,2458260.019,15.93
2018-06-27 17:46:27,2458297.241,15.97
2018-06-27 19:33:01,2458297.315,15.99
2018-07-17 11:48:50,2458316.992,15.86
2018-08-30 04:26:20,2458360.685,16.11
2018-08-30 06:12:54,2458360.759,16.09
2018-09-12 18:18:42,2458374.263,16.13
2018-10-23 21:16:23,2458415.386,16.49
2018-10-23 23:02:57,2458415.460,untrusted
2018-11-16 04:54:00,2458438.704,15.88
2019-01-25 09:55:49,2458508.914,null
2019-01-25 14:09:33,2458509.090,null
2019-01-25 15:56:18,2458509.164,null
2019-02-17 02:16:26,2458531.595,15.82
2019-02-17 04:03:00,2458531.669,15.84
2019-02-17 08:16:40,2458531.845,15.81
2019-04-03 19:54:54,2458577.330,16.03
2019-04-03 21:41:29,2458577.404,untrusted
2019-05-02 19:50:11,2458606.327,15.87
2019-05-02 21:36:45,2458606.401,15.90
2019-06-02 07:35:52,2458636.817,15.97
2019-06-02 09:22:26,2458636.891,15.92
2019-07-11 12:44:47,2458676.031,16.87
2019-07-11 14:31:21,2458676.105,16.83
2019-07-29 15:00:57,2458694.126,17.21
2019-07-29 16:47:31,2458694.200,17.13
2019-07-29 21:01:10,2458694.376,null
2019-07-29 22:47:46,2458694.450,17.02
2019-08-22 11:24:00,2458717.975,16.02
2019-08-22 15:37:40,2458718.151,16.03
2019-08-22 17:24:15,2458718.225,16.04
2019-10-08 05:26:31,2458764.727,16.41
2019-10-08 07:13:05,2458764.801,16.37
2019-11-05 18:26:25,2458793.268,16.23
2019-11-05 20:12:59,2458793.342,16.25
2019-12-04 19:36:42,2458822.317,16.09
2019-12-04 21:23:16,2458822.391,16.10
2020-01-10 15:41:17,2458859.154,null
2020-01-26 16:07:31,2458875.172,16.26
2020-01-26 17:54:05,2458875.246,16.23
2020-03-08 14:41:39,2458917.112,16.22
2020-03-08 18:55:19,2458917.288,16.24
2020-03-23 03:04:40,2458931.628,16.71
2020-05-01 23:27:37,2458971.478,16.24

