Gaia19dif
#Date,JD,averagemag.
2014-08-30 11:55:58,2456899.997,untrusted
2014-08-30 13:42:31,2456900.071,19.40
2014-08-30 17:56:10,2456900.247,19.37
2014-08-30 19:42:44,2456900.321,19.43
2015-02-09 11:19:00,2457062.972,19.25
2015-02-09 15:32:41,2457063.148,19.28
2015-07-03 17:03:39,2457207.211,19.29
2015-07-03 18:50:12,2457207.285,19.29
2015-08-06 16:35:52,2457241.192,null
2015-08-25 10:40:17,2457259.945,19.29
2015-08-25 12:26:50,2457260.019,19.29
2015-08-25 16:40:29,2457260.195,19.26
2015-12-31 18:47:31,2457388.283,19.37
2016-02-02 22:30:23,2457421.438,19.41
2016-02-03 00:17:30,2457421.512,null
2016-02-18 16:36:57,2457437.192,19.41
2016-02-18 18:23:32,2457437.266,19.38
2016-05-24 12:52:13,2457533.036,null
2016-05-24 14:38:21,2457533.110,19.31
2016-06-05 12:57:52,2457545.040,19.33
2016-06-05 14:44:26,2457545.114,19.31
2016-07-13 19:58:30,2457583.332,19.28
2016-08-24 07:24:41,2457624.809,null
2016-08-24 11:38:12,2457624.985,19.50
2016-08-24 13:24:46,2457625.059,19.61
2016-08-24 17:38:25,2457625.235,19.34
2016-08-24 19:24:59,2457625.309,19.43
2016-08-24 23:38:38,2457625.485,19.30
2016-08-30 11:42:58,2457630.988,19.28
2016-08-30 13:29:32,2457631.062,19.22
2016-08-30 17:43:11,2457631.238,19.26
2016-08-30 19:29:45,2457631.312,19.25
2016-08-30 23:43:24,2457631.488,19.27
2016-08-31 01:29:58,2457631.562,19.23
2016-08-31 05:43:37,2457631.739,19.26
2016-08-31 07:30:11,2457631.813,19.29
2016-11-23 06:28:03,2457715.769,19.23
2016-11-23 08:14:38,2457715.843,19.28
2016-11-23 12:28:19,2457716.020,untrusted
2016-12-05 12:37:39,2457728.026,19.30
2016-12-05 14:24:29,2457728.100,null
2016-12-05 18:37:55,2457728.276,19.25
2017-01-10 07:58:29,2457763.832,19.16
2017-02-17 06:51:49,2457801.786,19.19
2017-02-17 08:38:24,2457801.860,19.20
2017-02-17 12:52:05,2457802.036,19.19
2017-02-17 14:38:39,2457802.110,19.21
2017-02-25 06:58:46,2457809.791,19.18
2017-02-25 08:45:21,2457809.865,19.16
2017-02-25 12:59:02,2457810.041,19.18
2017-06-02 09:14:39,2457906.885,19.15
2017-06-02 11:01:17,2457906.959,null
2017-06-21 05:02:22,2457925.710,19.22
2017-07-25 02:43:29,2457959.614,19.13
2017-07-25 04:30:02,2457959.688,19.20
2017-12-01 10:44:06,2458088.947,19.21
2017-12-01 14:57:47,2458089.123,19.18
2018-01-20 20:44:55,2458139.365,19.14
2018-06-12 10:18:41,2458281.930,19.13
2018-07-06 11:57:26,2458305.998,19.07
2018-08-05 03:52:31,2458335.661,untrusted
2018-08-05 05:39:05,2458335.735,19.06
2018-12-11 05:54:04,2458463.746,18.93
2019-01-05 11:49:19,2458488.993,18.89
2019-01-30 23:40:41,2458514.487,null
2019-06-22 23:25:20,2458657.476,null
2019-06-23 01:11:22,2458657.550,18.88
2019-08-04 01:26:01,2458699.560,18.83
2019-08-04 03:12:35,2458699.634,18.86
2019-12-24 00:12:22,2458841.509,null
2019-12-24 04:25:48,2458841.685,18.95
2020-01-20 11:38:13,2458868.985,18.96
2020-01-20 13:24:48,2458869.059,18.94
2020-02-12 18:28:03,2458892.269,18.98
2020-02-12 20:14:37,2458892.343,18.93

