Gaia19diq
#Date,JD,averagemag.
2014-11-01 14:45:28,2456963.115,untrusted
2014-11-29 20:26:10,2456991.352,19.06
2014-12-26 20:16:34,2457018.345,untrusted
2015-02-15 15:42:37,2457069.155,17.71
2015-02-15 19:56:17,2457069.331,17.13
2015-02-15 21:42:51,2457069.405,17.02
2015-02-16 01:56:31,2457069.581,16.84
2015-03-03 08:07:42,2457084.839,19.57
2015-03-03 09:54:35,2457084.913,null
2015-03-03 14:07:56,2457085.089,19.29
2015-03-03 15:54:31,2457085.163,19.10
2015-04-17 07:47:16,2457129.824,19.55
2015-04-17 09:33:51,2457129.899,untrusted
2015-05-19 13:28:00,2457162.061,19.18
2015-05-19 15:14:34,2457162.135,19.31
2015-06-13 01:23:57,2457186.558,18.41
2015-06-13 03:10:31,2457186.632,18.46
2015-07-27 06:10:56,2457230.758,null
2015-07-27 07:57:41,2457230.832,null
2015-08-05 06:18:03,2457239.763,null
2015-08-05 08:04:13,2457239.836,null
2015-08-05 12:17:59,2457240.012,null
2015-09-20 16:42:49,2457286.196,null
2015-09-20 18:29:34,2457286.271,null
2015-10-06 16:46:21,2457302.199,null
2015-11-12 15:51:13,2457339.161,19.37
2015-11-12 17:37:47,2457339.235,19.60
2015-12-14 09:26:17,2457370.893,19.47
2015-12-14 11:12:51,2457370.967,19.31
2016-01-07 15:26:08,2457395.143,19.08
2016-01-07 17:12:42,2457395.217,19.09
2016-02-28 22:54:45,2457447.455,16.81
2016-02-29 03:08:25,2457447.631,16.81
2016-02-29 04:55:00,2457447.705,untrusted
2016-02-29 09:08:40,2457447.881,16.81
2016-03-19 15:19:19,2457467.138,16.98
2016-03-19 17:05:54,2457467.212,16.96
2016-03-19 21:19:34,2457467.389,16.97
2016-03-19 23:06:12,2457467.463,null
2016-04-28 02:57:38,2457506.623,18.19
2016-04-28 04:44:13,2457506.697,18.15
2016-06-23 04:14:47,2457562.677,20.11
2016-06-23 08:28:27,2457562.853,19.88
2016-08-08 01:06:12,2457608.546,19.48
2016-08-08 02:52:46,2457608.620,19.69
2016-08-15 14:58:39,2457616.124,untrusted
2016-08-15 19:12:19,2457616.300,19.49
2016-08-15 20:58:53,2457616.374,19.64
2016-09-30 05:42:11,2457661.738,18.78
2016-09-30 07:28:45,2457661.812,19.03
2016-10-19 07:27:50,2457680.811,null
2016-11-22 22:58:03,2457715.457,untrusted
2016-12-28 16:29:27,2457751.187,19.52
2016-12-28 18:16:01,2457751.261,19.47
2017-01-18 10:36:04,2457771.942,19.46
2017-01-18 12:22:38,2457772.016,19.58
2017-01-18 16:36:18,2457772.192,19.59
2017-01-18 18:22:52,2457772.266,untrusted
2017-03-12 13:29:01,2457825.062,18.85
2017-03-12 17:42:54,2457825.238,null
2017-04-04 23:49:31,2457848.493,17.52
2017-04-05 01:36:06,2457848.567,17.50
2017-05-09 19:16:18,2457883.303,19.22
2017-05-09 23:29:59,2457883.479,19.51
2017-06-16 04:48:30,2457920.700,untrusted
2017-06-16 06:35:05,2457920.774,18.87
2017-07-04 04:53:05,2457938.704,17.51
2017-07-04 06:39:39,2457938.778,17.57
2017-08-19 17:09:51,2457985.215,null
2017-08-19 21:23:36,2457985.391,null
2017-08-19 23:10:21,2457985.466,null
2017-08-27 21:29:16,2457993.395,untrusted
2017-08-27 23:15:50,2457993.469,19.14
2017-08-28 03:29:28,2457993.645,null
2017-11-02 02:00:10,2458059.583,null
2017-12-04 07:28:10,2458091.811,19.51
2018-01-13 20:45:41,2458132.365,19.42
2018-01-14 00:59:21,2458132.541,19.25
2018-01-14 02:45:55,2458132.615,19.48
2018-01-14 06:59:34,2458132.791,19.52
2018-01-31 01:09:31,2458149.548,16.95
2018-01-31 02:56:05,2458149.622,16.96
2018-01-31 07:09:45,2458149.798,17.05
2018-01-31 08:56:19,2458149.872,17.08
2018-03-24 14:40:18,2458202.111,16.82
2018-03-24 18:54:27,2458202.288,null
2018-04-20 08:40:22,2458228.861,19.41
2018-05-21 12:38:44,2458260.027,19.48
2018-06-30 05:46:13,2458299.740,19.60
2018-06-30 07:32:47,2458299.814,19.43
2018-07-14 23:52:57,2458314.495,18.94
2018-07-15 01:39:32,2458314.569,18.93
2018-08-30 16:17:50,2458361.179,null
2018-08-30 18:04:34,2458361.253,null
2018-08-30 22:18:19,2458361.429,null
2018-09-09 22:24:10,2458371.433,untrusted
2018-09-10 00:10:44,2458371.507,19.01
2018-10-21 21:09:28,2458413.382,19.31
2018-10-21 22:56:01,2458413.456,19.39
2018-11-15 22:43:08,2458438.447,19.04
2018-12-15 14:36:44,2458468.109,null
2018-12-15 16:22:53,2458468.183,null
2019-01-31 03:57:47,2458514.665,19.25
2019-01-31 08:11:27,2458514.841,19.04
2019-01-31 09:58:01,2458514.915,19.11
2019-01-31 14:11:41,2458515.091,19.12
2019-01-31 15:58:15,2458515.165,19.27
2019-02-14 08:22:02,2458528.849,18.02
2019-02-14 10:08:36,2458528.923,17.97
2019-02-14 14:22:16,2458529.099,18.17
2019-02-14 16:08:50,2458529.173,18.17
2019-02-14 20:23:01,2458529.349,null
2019-02-14 22:09:05,2458529.423,18.45
2019-04-05 15:51:31,2458579.161,19.44
2019-04-05 20:05:12,2458579.337,19.30
2019-05-05 07:56:06,2458608.831,19.34
2019-05-05 09:42:40,2458608.905,19.38
2019-06-02 01:46:27,2458636.574,19.41
2019-07-14 00:43:10,2458678.530,17.56
2019-07-14 02:29:44,2458678.604,17.60
2019-08-04 21:09:56,2458700.382,16.36
2019-08-04 22:56:32,2458700.456,null
2019-08-05 03:10:10,2458700.632,16.40
2019-08-05 04:56:44,2458700.706,16.41
2019-08-05 09:10:24,2458700.882,16.44
2019-08-05 10:56:59,2458700.956,untrusted
2019-08-19 17:13:05,2458715.217,19.29
2019-08-19 21:26:46,2458715.394,19.07
2019-08-19 23:13:20,2458715.468,19.15
2019-08-20 03:27:00,2458715.644,19.41
2019-08-20 05:13:34,2458715.718,18.77
2019-08-20 09:27:14,2458715.894,19.37
2019-10-09 23:20:04,2458766.472,null
2019-10-10 01:06:14,2458766.546,null
2019-11-08 06:25:22,2458795.768,19.27
