Gaia19djp
#Date,JD,averagemag.
2014-09-15 06:00:29,2456915.750,untrusted
2014-09-15 07:47:02,2456915.824,untrusted
2014-10-01 22:52:10,2456932.453,untrusted
2014-10-02 03:05:50,2456932.629,untrusted
2014-10-02 04:52:23,2456932.703,untrusted
2014-10-21 21:13:01,2456952.384,untrusted
2014-10-21 22:59:35,2456952.458,untrusted
2014-10-22 03:13:14,2456952.634,untrusted
2014-10-22 04:59:48,2456952.708,untrusted
2015-01-07 23:03:16,2457030.461,null
2015-01-08 03:16:47,2457030.637,19.41
2015-01-08 05:03:22,2457030.711,19.39
2015-02-13 08:53:44,2457066.871,19.39
2015-03-20 10:01:12,2457101.918,19.40
2015-04-06 10:06:19,2457118.921,null
2015-04-06 14:20:05,2457119.097,null
2015-07-14 05:19:01,2457217.722,untrusted
2015-07-14 07:05:34,2457217.796,untrusted
2015-08-03 17:17:55,2457238.221,null
2015-08-03 19:04:04,2457238.294,null
2015-09-07 06:28:17,2457272.770,19.36
2015-10-19 22:13:24,2457315.426,null
2015-10-20 00:00:08,2457315.500,null
2015-10-20 04:13:53,2457315.676,null
2015-10-20 06:00:02,2457315.750,null
2015-10-20 10:13:47,2457315.926,null
2015-11-01 04:22:42,2457327.682,null
2015-11-01 06:08:52,2457327.756,null
2015-11-01 10:22:37,2457327.932,null
2015-11-01 12:09:21,2457328.006,null
2015-11-01 16:23:06,2457328.183,null
2015-11-01 18:09:14,2457328.256,19.32
2016-01-01 00:03:26,2457388.502,19.33
2016-01-01 04:17:07,2457388.679,19.31
2016-01-23 22:22:08,2457411.432,19.36
2016-02-24 10:03:06,2457442.919,19.30
2016-04-02 09:11:59,2457480.883,19.34
2016-04-02 10:58:39,2457480.957,null
2016-04-15 09:19:11,2457493.888,19.42
2016-04-15 11:05:46,2457493.962,19.38
2016-07-24 00:21:51,2457593.515,19.30
2016-07-24 02:08:24,2457593.589,19.30
2016-08-17 08:00:08,2457617.833,19.33
2016-09-17 23:50:36,2457649.493,19.35
2017-01-11 05:28:06,2457764.728,19.36
2017-01-11 07:15:04,2457764.802,null
2017-02-06 11:23:59,2457790.975,19.48
2017-02-06 13:10:38,2457791.049,null
2017-03-06 06:33:50,2457818.773,19.50
2017-04-16 11:31:22,2457859.980,19.46
2017-04-16 13:17:57,2457860.054,19.46
2017-04-16 17:31:37,2457860.230,19.45
2017-04-16 19:18:12,2457860.304,19.48
2017-04-24 19:24:32,2457868.309,19.48
2017-04-24 23:38:12,2457868.485,19.44
2017-04-25 01:24:47,2457868.559,19.50
2017-06-14 03:54:12,2457918.663,19.51
2017-06-14 05:40:59,2457918.737,null
2017-06-14 09:54:26,2457918.913,19.52
2017-06-14 11:41:00,2457918.987,19.55
2017-06-21 05:46:07,2457925.740,19.56
2017-06-21 10:00:14,2457925.917,null
2017-06-21 11:46:20,2457925.991,19.54
2017-08-04 02:49:01,2457969.617,19.53
2017-08-04 04:35:48,2457969.692,null
2017-09-01 02:33:21,2457997.606,19.49
2017-09-01 04:19:55,2457997.680,19.49
2017-09-29 14:22:22,2458026.099,19.47
2018-01-22 08:01:31,2458140.834,19.40
2018-01-22 09:48:06,2458140.908,19.45
2018-03-16 21:27:27,2458194.394,null
2018-03-17 01:40:44,2458194.570,19.50
2018-05-01 18:29:01,2458240.270,19.53
2018-05-02 00:29:16,2458240.520,19.48
2018-05-02 02:15:50,2458240.594,19.37
2018-05-02 06:29:31,2458240.770,untrusted
2018-05-02 08:16:05,2458240.845,untrusted
2018-05-02 12:29:46,2458241.021,19.45
2018-05-02 14:16:20,2458241.095,19.42
2018-05-02 18:30:01,2458241.271,19.54
2018-05-02 20:16:35,2458241.345,untrusted
2018-05-03 00:30:29,2458241.521,null
2018-05-03 02:16:50,2458241.595,19.47
