Gaia19dlk
#Date,JD,averagemag.
2014-08-24 05:16:31,2456893.720,null
2014-08-24 07:03:15,2456893.794,null
2015-01-25 22:04:25,2457048.420,null
2015-01-25 23:51:11,2457048.494,null
2015-02-14 22:10:10,2457068.424,null
2015-02-14 23:56:55,2457068.498,null
2015-06-27 04:34:04,2457200.690,null
2015-06-27 06:20:48,2457200.764,null
2015-07-30 23:48:05,2457234.492,null
2015-07-31 04:01:49,2457234.668,null
2015-08-18 10:03:28,2457252.919,null
2015-08-18 11:50:13,2457252.993,null
2015-11-22 19:55:55,2457349.330,null
2015-11-23 00:09:41,2457349.507,null
2015-11-23 01:55:51,2457349.580,null
2015-11-23 06:09:37,2457349.757,null
2015-11-23 07:56:23,2457349.831,null
2015-11-23 12:10:09,2457350.007,null
2015-11-28 00:14:21,2457354.510,null
2015-11-28 02:01:07,2457354.584,null
2015-11-28 06:14:53,2457354.760,null
2015-11-28 08:01:03,2457354.834,null
2016-01-06 11:33:35,2457393.982,null
2016-02-10 23:06:40,2457429.463,null
2016-02-11 00:53:26,2457429.537,null
2016-02-11 05:07:12,2457429.713,null
2016-02-11 06:53:23,2457429.787,null
2016-02-22 17:16:17,2457441.220,null
2016-02-22 19:02:28,2457441.293,null
2016-02-22 23:16:14,2457441.470,null
2016-05-20 18:13:35,2457529.259,null
2016-05-21 00:14:03,2457529.510,null
2016-05-21 02:00:13,2457529.583,null
2016-05-21 06:13:57,2457529.760,null
2016-05-21 08:00:42,2457529.834,null
2016-05-21 12:14:26,2457530.010,null
2016-05-21 14:00:35,2457530.084,null
2016-05-21 20:01:04,2457530.334,null
2016-05-25 20:04:01,2457534.336,null
2016-05-26 00:17:45,2457534.512,null
2016-05-26 02:04:29,2457534.586,null
2016-05-26 06:18:13,2457534.763,null
2016-05-26 08:04:23,2457534.836,null
2016-05-26 12:18:07,2457535.013,null
2016-05-26 14:04:51,2457535.087,null
2016-07-07 07:29:26,2457576.812,null
2016-08-15 00:44:06,2457615.531,null
2016-08-15 04:57:50,2457615.707,null
2016-08-15 06:43:59,2457615.781,null
2016-08-25 17:03:44,2457626.211,null
2016-08-25 18:50:28,2457626.285,null
2016-11-28 13:07:54,2457721.047,null
2016-11-28 14:54:05,2457721.121,null
2016-12-13 13:15:11,2457736.052,null
2016-12-13 15:01:21,2457736.126,null
2017-01-15 20:30:56,2457769.355,null
2017-01-16 00:44:43,2457769.531,null
2017-05-27 02:38:10,2457900.610,null
2017-05-27 04:24:55,2457900.684,null
2017-06-14 10:29:35,2457918.937,null
2017-06-14 14:43:19,2457919.113,null
2017-07-18 10:00:17,2457952.917,null
2017-12-07 11:21:09,2458094.973,null
2017-12-07 15:34:55,2458095.149,null
2017-12-28 03:36:02,2458115.650,null
2017-12-28 05:22:12,2458115.724,null
2018-01-26 09:18:42,2458144.888,null
2018-06-05 15:44:51,2458275.156,null
2018-06-05 17:31:36,2458275.230,null
2018-06-30 11:26:38,2458299.977,null
2018-07-29 09:21:38,2458328.890,null
2018-07-29 11:08:22,2458328.964,null
2018-12-17 04:42:02,2458469.696,null
2018-12-17 06:28:47,2458469.770,null
2019-01-11 12:20:22,2458495.014,null
2019-02-05 12:15:26,2458520.011,null
2019-02-05 16:29:12,2458520.187,null
2019-06-16 10:53:47,2458650.954,null
2019-06-16 12:40:31,2458651.028,null
2019-07-15 22:35:20,2458680.441,null
2019-07-16 00:22:04,2458680.515,null
2019-08-10 01:01:49,2458705.543,18.76
2019-08-10 02:48:23,2458705.617,18.78

