Gaia19dmo
#Date,JD,averagemag.
2015-01-19 09:57:53,2457041.915,null
2015-02-16 17:28:49,2457070.228,null
2015-07-04 16:40:11,2457208.195,null
2015-07-04 18:26:20,2457208.268,null
2015-07-30 00:17:25,2457233.512,null
2015-08-26 16:15:49,2457261.178,null
2015-08-26 18:02:33,2457261.252,null
2016-01-07 18:51:17,2457395.286,null
2016-02-02 22:56:02,2457421.456,null
2016-02-26 18:38:48,2457445.277,null
2016-07-14 05:47:55,2457583.742,null
2016-07-14 07:34:04,2457583.815,null
2016-08-13 11:26:00,2457613.976,null
2016-08-13 13:12:44,2457614.051,null
2016-09-04 17:23:14,2457636.224,null
2016-09-04 19:09:24,2457636.298,null
2017-01-17 00:15:40,2457770.511,null
2017-02-16 15:03:11,2457801.127,null
2017-03-07 03:09:21,2457819.631,null
2017-03-07 07:23:07,2457819.808,null
2017-08-29 07:44:44,2457994.823,null
2017-08-29 09:30:53,2457994.896,null
2017-09-13 19:49:59,2458010.326,null
2017-09-13 21:36:43,2458010.400,null
2018-01-27 08:49:09,2458145.867,null
2018-03-04 14:17:37,2458182.096,null
2018-03-04 16:04:22,2458182.170,null
2018-03-14 16:12:41,2458192.175,null
2018-03-14 20:25:52,2458192.351,null
2018-03-14 22:12:38,2458192.425,null
2018-06-17 04:00:35,2458286.667,null
2018-06-17 05:47:20,2458286.741,null
2018-06-27 17:53:46,2458297.246,null
2018-06-27 22:07:29,2458297.422,null
2018-06-27 23:53:39,2458297.496,null
2018-12-20 18:04:46,2458473.253,null
2018-12-20 22:18:32,2458473.430,null
2018-12-21 00:05:18,2458473.504,null
2019-01-04 16:27:05,2458488.185,null
2019-02-06 17:47:09,2458521.241,null
2019-06-25 05:02:41,2458659.710,null
2019-06-25 06:49:26,2458659.784,null
2019-07-14 17:04:49,2458679.212,null
2019-07-14 18:50:59,2458679.285,null
2019-08-11 07:32:57,2458706.815,18.50
2019-08-11 09:19:30,2458706.889,18.52

