Gaia19dof
#Date,JD,averagemag.
2015-02-20 14:32:58,2457074.106,null
2015-02-20 16:19:44,2457074.180,null
2015-03-16 02:35:44,2457097.608,null
2015-03-16 04:22:29,2457097.682,null
2015-04-15 08:20:29,2457127.848,null
2015-05-28 07:24:18,2457170.809,null
2015-05-28 09:11:04,2457170.883,null
2015-05-28 13:24:49,2457171.059,null
2015-05-28 15:11:35,2457171.133,null
2015-05-28 19:24:45,2457171.309,null
2015-05-28 21:11:31,2457171.383,null
2015-06-02 03:15:38,2457175.636,null
2015-06-02 07:29:24,2457175.812,null
2015-06-02 09:16:09,2457175.886,null
2015-06-02 13:29:20,2457176.062,null
2015-06-02 15:16:05,2457176.136,null
2015-06-02 19:29:50,2457176.312,null
2015-09-12 10:23:27,2457277.933,null
2015-09-12 12:10:12,2457278.007,null
2015-10-07 16:11:31,2457303.175,null
2015-11-05 03:54:39,2457331.663,null
2015-11-05 05:41:23,2457331.737,null
2016-03-02 09:44:09,2457449.906,null
2016-03-30 03:36:53,2457477.651,null
2016-04-25 03:28:56,2457503.645,null
2016-04-25 05:15:06,2457503.719,null
2016-08-06 12:33:13,2457607.023,null
2016-08-06 18:33:42,2457607.273,null
2016-08-07 00:33:36,2457607.523,null
2016-08-07 02:20:21,2457607.597,null
2016-08-07 06:34:05,2457607.774,null
2016-08-07 08:20:50,2457607.848,null
2016-08-07 12:34:34,2457608.024,null
2016-08-07 14:20:44,2457608.098,null
2016-08-07 18:34:28,2457608.274,null
2016-08-08 00:34:57,2457608.524,null
2016-09-22 05:28:55,2457653.728,null
2016-09-22 07:15:39,2457653.803,null
2016-10-21 06:54:57,2457682.788,null
2016-10-21 11:08:41,2457682.964,null
2016-11-14 23:03:45,2457707.461,null
2016-11-15 00:50:30,2457707.535,null
2017-03-13 08:04:28,2457825.836,null
2017-04-13 17:58:05,2457857.249,null
2017-05-05 17:57:51,2457879.249,null
2017-05-05 19:44:37,2457879.323,null
2017-08-13 14:48:20,2457979.117,null
2017-08-13 16:35:04,2457979.191,null
2017-08-24 20:54:45,2457990.371,null
2017-08-24 22:40:54,2457990.445,null
2017-10-03 03:45:03,2458029.656,null
2017-11-05 19:29:45,2458063.312,null
2017-11-05 21:16:30,2458063.386,null
2017-11-25 07:34:53,2458082.816,null
2017-11-25 09:21:38,2458082.890,null
2018-02-03 09:30:54,2458152.896,null
2018-02-03 13:44:40,2458153.073,null
2018-02-03 15:31:25,2458153.147,null
2018-02-03 19:45:11,2458153.323,null
2018-02-03 21:31:56,2458153.397,null
2018-02-04 01:45:07,2458153.573,null
2018-02-04 03:31:52,2458153.647,null
2018-02-04 07:45:38,2458153.823,null
2018-02-04 09:32:23,2458153.897,null
2018-02-04 13:45:34,2458154.073,null
2018-02-04 19:46:05,2458154.324,null
2018-02-08 13:49:45,2458158.076,null
2018-02-08 19:50:16,2458158.327,null
2018-02-08 21:36:26,2458158.400,null
2018-02-09 01:50:12,2458158.577,null
2018-02-09 03:36:57,2458158.651,null
2018-02-09 07:50:43,2458158.827,null
2018-02-09 09:36:54,2458158.901,null
2018-02-09 13:50:39,2458159.077,null
2018-02-09 15:37:25,2458159.151,null
2018-02-09 21:37:21,2458159.401,null
2018-03-24 13:28:59,2458202.062,null
2018-04-28 06:56:57,2458236.790,null
2018-05-16 01:02:08,2458254.543,null
2018-05-16 02:48:19,2458254.617,null
2018-08-23 03:46:29,2458353.657,null
2018-09-08 17:36:02,2458370.233,null
2018-11-23 04:20:35,2458445.681,null
2018-11-23 08:34:19,2458445.857,null
2018-11-23 10:21:03,2458445.931,null
2018-11-23 14:34:48,2458446.108,null
2018-11-23 16:20:57,2458446.181,null
2018-12-03 08:41:55,2458455.862,null
2018-12-03 14:41:49,2458456.112,null
2018-12-03 16:28:34,2458456.187,null
2018-12-03 20:42:18,2458456.363,null
2018-12-03 22:28:28,2458456.436,null
2019-02-10 16:37:28,2458525.193,null
2019-02-10 20:51:14,2458525.369,null
2019-02-10 22:37:59,2458525.443,null
2019-02-28 16:47:38,2458543.200,null
2019-02-28 21:01:24,2458543.376,null
2019-04-04 14:39:11,2458578.111,null
2019-05-12 21:41:14,2458616.404,null
2019-05-13 01:55:00,2458616.580,null
2019-05-25 14:02:24,2458629.085,null
2019-05-25 15:49:09,2458629.159,null
2019-08-15 08:49:52,2458710.868,18.07
2019-08-15 10:36:26,2458710.942,18.11
2019-08-15 14:50:05,2458711.118,18.18
2019-08-15 16:36:39,2458711.192,18.15
2019-09-03 17:02:35,2458730.210,untrusted
2019-09-03 21:16:39,2458730.387,null

