Gaia19doj
#Date,JD,averagemag.
2014-10-29 05:44:00,2456959.739,18.41
2014-10-29 07:30:35,2456959.813,18.38
2014-12-02 11:22:39,2456993.974,untrusted
2014-12-02 13:09:14,2456994.048,untrusted
2015-02-20 11:24:22,2457073.975,18.43
2015-02-20 13:10:56,2457074.049,18.40
2015-02-20 17:24:36,2457074.225,18.46
2015-02-20 19:11:10,2457074.299,18.42
2015-03-09 11:33:31,2457090.982,18.40
2015-03-09 13:20:05,2457091.056,18.39
2015-03-09 17:33:44,2457091.232,18.45
2015-04-16 23:04:06,2457129.461,18.50
2015-04-17 00:50:40,2457129.535,18.47
2015-05-22 18:08:13,2457165.256,null
2015-09-17 03:10:07,2457282.632,null
2015-09-17 07:23:18,2457282.808,null
2015-10-06 13:25:52,2457302.060,18.38
2015-10-06 15:12:27,2457302.134,18.34
2015-11-09 12:54:03,2457336.038,null
2015-12-19 06:30:48,2457375.771,18.40
2015-12-19 08:17:23,2457375.845,18.41
2015-12-19 12:31:04,2457376.022,18.38
2015-12-19 14:17:38,2457376.096,18.41
2016-01-02 02:28:02,2457389.603,18.44
2016-01-02 06:41:42,2457389.779,18.46
2016-01-02 08:28:17,2457389.853,18.43
2016-01-02 12:41:57,2457390.029,18.42
2016-01-02 14:28:32,2457390.103,18.40
2016-03-02 12:34:09,2457450.024,18.35
2016-03-02 14:20:43,2457450.098,18.32
2016-03-25 00:37:27,2457472.526,18.30
2016-03-25 02:24:00,2457472.600,18.32
2016-04-27 07:58:06,2457505.832,18.31
2016-06-05 05:16:53,2457544.720,null
2016-06-19 11:22:12,2457558.974,null
2016-09-26 16:13:43,2457658.176,null
2016-09-26 20:27:29,2457658.352,null
2016-10-19 14:24:33,2457681.100,null
2016-10-19 16:11:19,2457681.175,null
2016-11-19 15:51:26,2457712.161,null
2017-03-13 21:06:51,2457826.380,null
2017-03-13 22:53:01,2457826.453,null
2017-04-09 09:00:12,2457852.875,null
2017-05-08 14:40:57,2457882.112,null
2017-05-08 16:27:41,2457882.186,null
2017-06-19 15:21:04,2457924.140,null
2017-06-19 19:34:48,2457924.316,null
2017-06-29 03:27:17,2457933.644,null
2017-06-29 07:41:01,2457933.820,null
2017-06-29 09:27:46,2457933.894,null
2017-08-18 19:43:47,2457984.322,null
2017-08-18 23:57:33,2457984.498,null
2017-08-19 01:43:43,2457984.572,null
2017-08-19 05:57:28,2457984.748,null
2017-08-24 18:02:18,2457990.252,null
2017-08-24 19:49:03,2457990.326,null
2017-08-25 00:02:49,2457990.502,null
2017-08-25 01:48:59,2457990.576,null
2017-10-07 12:42:32,2458034.030,null
2017-11-02 22:46:33,2458060.449,untrusted
2017-11-30 22:38:00,2458088.443,null
2018-03-25 06:02:40,2458202.752,null
2018-04-24 03:57:49,2458232.665,18.29
2018-07-04 16:16:48,2458304.178,18.19
2018-07-04 20:30:34,2458304.355,null
2018-07-04 22:17:01,2458304.428,18.23
2018-07-05 02:30:41,2458304.605,18.26
2018-07-05 04:17:15,2458304.679,18.25
2018-07-05 08:30:58,2458304.855,null
2018-07-05 10:17:29,2458304.929,18.16
2018-07-05 14:31:27,2458305.105,null
2018-07-07 08:32:40,2458306.856,18.23
2018-07-07 14:33:03,2458307.106,null
2018-07-07 16:19:28,2458307.180,18.14
2018-07-07 20:33:32,2458307.357,null
2018-07-07 22:19:42,2458307.430,null
2018-07-08 02:33:21,2458307.606,18.12
2018-07-08 04:19:55,2458307.680,18.15
2018-07-08 08:33:35,2458307.857,18.12
2018-07-08 10:20:06,2458307.931,null
2018-08-28 06:51:56,2458358.786,18.26
2018-08-28 08:38:31,2458358.860,18.31
2018-09-08 12:59:33,2458370.041,18.31
2018-09-08 14:46:07,2458370.115,18.36
2018-10-18 12:04:06,2458410.003,null
2018-11-17 11:47:58,2458439.992,null
2018-11-17 13:34:16,2458440.065,18.34
2018-12-11 23:49:00,2458464.492,null
2018-12-12 01:35:33,2458464.566,18.37
2018-12-12 05:49:32,2458464.743,null
2019-02-11 05:44:36,2458525.739,18.39
2019-02-11 11:44:50,2458525.989,18.37
2019-02-11 13:31:21,2458526.063,null
2019-02-11 17:45:06,2458526.240,null
2019-02-11 19:31:38,2458526.314,18.36
2019-02-11 23:45:18,2458526.490,18.41
2019-02-12 01:31:52,2458526.564,18.34
2019-02-12 05:45:30,2458526.740,null
2019-02-12 07:32:15,2458526.814,null
2019-02-12 11:45:59,2458526.990,null
2019-02-12 13:32:44,2458527.064,null
2019-02-12 17:45:58,2458527.240,18.35
2019-02-12 19:32:32,2458527.314,18.41
2019-02-12 23:46:12,2458527.490,18.39
2019-02-13 01:32:46,2458527.564,18.36
2019-02-13 07:32:59,2458527.815,18.37
2019-02-13 13:33:12,2458528.065,18.40
2019-02-15 19:35:11,2458530.316,18.42
2019-02-16 01:35:24,2458530.566,18.39
2019-02-16 07:36:01,2458530.817,null
2019-02-16 11:49:17,2458530.993,18.35
2019-02-16 13:35:51,2458531.067,18.32
2019-02-16 17:49:30,2458531.243,18.34
2019-02-16 19:36:04,2458531.317,18.30
2019-02-16 23:50:09,2458531.493,null
2019-02-17 01:36:17,2458531.567,untrusted
2019-02-17 05:50:03,2458531.743,null
2019-02-17 07:36:48,2458531.817,null
2019-02-17 11:50:11,2458531.993,18.31
2019-02-17 13:36:43,2458532.067,null
2019-02-17 17:50:27,2458532.243,null
2019-02-17 19:36:58,2458532.317,18.33
2019-02-17 23:50:38,2458532.493,18.37
2019-04-05 17:24:32,2458579.225,18.26
2019-04-05 19:11:05,2458579.299,18.32
2019-05-08 16:54:19,2458612.204,18.17
2019-05-30 16:49:45,2458634.201,null
2019-05-30 18:36:17,2458634.275,18.29
2019-08-15 19:43:42,2458711.322,15.78
2019-08-15 23:57:22,2458711.498,15.84
2019-08-16 01:43:56,2458711.572,15.83
2019-08-16 05:57:36,2458711.748,15.90
2019-08-16 07:44:11,2458711.822,15.92
2019-08-16 11:57:51,2458711.999,16.01
2019-08-16 13:44:25,2458712.073,16.03
2019-08-16 17:58:06,2458712.249,16.10
2019-08-16 19:44:55,2458712.323,null
2019-08-16 23:58:21,2458712.499,16.19
2019-08-17 01:44:55,2458712.573,16.22
2019-08-17 05:58:36,2458712.749,16.33
2019-08-17 11:58:51,2458712.999,16.38
2019-08-23 00:04:34,2458718.503,18.14
2019-08-23 01:51:15,2458718.577,null
2019-08-23 06:04:50,2458718.753,18.12
2019-08-23 07:51:24,2458718.827,18.15
2019-08-23 12:05:05,2458719.004,18.19
2019-08-23 13:51:39,2458719.078,18.14
2019-08-23 18:05:20,2458719.254,18.20
2019-08-23 19:51:54,2458719.328,18.17
2019-08-24 00:05:34,2458719.504,18.18
2019-08-24 01:52:09,2458719.578,18.15
2019-08-24 07:52:23,2458719.828,18.25
2019-10-10 02:00:37,2458766.584,null
2019-11-11 09:33:46,2458798.898,18.30
2019-11-11 11:20:21,2458798.972,18.30
2019-12-02 04:18:21,2458819.679,null
2019-12-02 06:04:45,2458819.753,18.26
2020-03-05 04:21:05,2458913.681,18.29
2020-03-05 06:07:39,2458913.755,untrusted
2020-03-20 12:30:55,2458929.021,18.34
2020-04-26 08:23:46,2458965.850,18.35

