Gaia19dxm
#Date,JD,averagemag.
2014-08-01 00:15:20,2456870.511,16.64
2014-08-01 06:15:33,2456870.761,16.62
2014-08-01 08:02:07,2456870.835,16.61
2014-08-01 12:15:47,2456871.011,16.63
2014-08-01 14:02:21,2456871.085,16.60
2014-08-01 18:16:27,2456871.261,null
2014-08-01 20:02:37,2456871.335,null
2014-08-02 00:16:14,2456871.511,16.62
2014-08-02 02:02:48,2456871.585,16.59
2014-08-02 06:16:27,2456871.761,16.62
2014-08-02 08:03:01,2456871.835,16.59
2014-08-02 14:03:15,2456872.086,16.59
2014-08-26 02:26:54,2456895.602,16.58
2014-08-26 06:40:41,2456895.778,null
2014-09-22 00:43:20,2456922.530,untrusted
2014-09-22 02:29:54,2456922.604,untrusted
2014-10-10 21:51:46,2456941.411,untrusted
2014-10-10 23:38:21,2456941.485,untrusted
2014-11-07 23:35:18,2456969.483,16.57
2015-02-03 02:46:58,2457056.616,16.56
2015-02-03 04:33:33,2457056.690,16.55
2015-03-15 01:32:37,2457096.564,16.51
2015-03-15 03:19:11,2457096.638,16.53
2015-03-31 13:35:37,2457113.066,16.55
2015-07-09 01:33:12,2457212.565,16.57
2015-08-15 13:09:20,2457250.048,null
2015-08-15 17:23:05,2457250.224,null
2015-09-12 01:10:40,2457277.549,16.60
2015-09-12 05:24:20,2457277.725,16.59
2015-10-23 23:01:23,2457319.459,16.60
2015-10-24 00:47:57,2457319.533,16.61
2015-11-22 04:52:50,2457348.703,16.59
2015-11-22 06:39:24,2457348.777,16.56
2015-12-21 16:36:30,2457378.192,16.67
2016-02-14 05:34:27,2457432.732,16.65
2016-02-14 09:48:08,2457432.908,16.70
2016-03-25 16:17:06,2457473.179,16.75
2016-04-12 02:32:51,2457490.606,16.82
2016-05-21 13:29:32,2457530.062,16.83
2016-06-17 13:17:29,2457557.054,null
2016-06-17 15:04:14,2457557.128,null
2016-07-20 18:55:02,2457590.288,null
2016-07-20 20:41:12,2457590.362,null
2016-08-29 14:17:07,2457630.095,null
2016-08-29 18:30:17,2457630.271,null
2016-08-29 20:17:02,2457630.345,null
2016-09-25 12:33:30,2457657.023,null
2016-09-25 14:20:15,2457657.097,null
2016-11-04 12:10:56,2457697.008,null
2016-11-04 13:57:41,2457697.082,null
2016-12-04 23:55:34,2457727.497,null
2016-12-05 01:42:20,2457727.571,null
2016-12-31 23:42:32,2457754.488,null
2017-02-06 22:46:08,2457791.449,null
2017-02-07 00:32:53,2457791.523,null
2017-02-24 12:10:42,2457809.007,null
2017-02-24 13:56:52,2457809.081,null
2017-04-06 04:52:19,2457849.703,null
2017-04-06 06:38:29,2457849.777,null
2017-04-24 22:53:02,2457868.453,null
2017-06-02 09:56:40,2457906.914,null
2017-06-02 11:43:24,2457906.988,null
2017-07-01 23:27:00,2457936.477,null
2017-08-02 15:25:36,2457968.143,null
2017-08-02 17:12:21,2457968.217,null
2017-09-13 10:48:03,2458009.950,null
2017-09-13 15:01:48,2458010.126,null
2017-10-10 03:04:57,2458036.628,null
2017-10-10 04:51:07,2458036.702,null
2017-11-16 16:28:33,2458074.186,16.73
2017-11-16 20:42:14,2458074.363,16.76
2018-01-12 03:56:12,2458130.664,16.70
2018-03-08 01:09:03,2458185.548,16.62
2018-04-17 17:51:41,2458226.244,16.63
2018-04-17 19:38:15,2458226.318,16.63
2018-05-08 05:50:05,2458246.743,16.58
2018-06-14 12:48:25,2458284.034,16.56
2018-07-16 18:28:48,2458316.270,16.58
2018-08-15 22:34:19,2458346.440,16.56
2018-08-16 00:20:53,2458346.515,16.56
2018-09-27 16:10:52,2458389.174,16.55
2018-09-27 17:57:26,2458389.248,16.55
2018-10-24 22:11:58,2458416.425,16.49
2018-10-24 23:58:43,2458416.499,null
2018-11-28 15:50:29,2458451.160,16.47
2018-11-28 17:37:03,2458451.234,16.46
2019-01-23 09:13:26,2458506.884,16.43
2019-03-03 08:03:35,2458545.836,untrusted
2019-03-03 09:50:09,2458545.910,16.35
2019-03-19 15:53:21,2458562.162,16.29
2019-03-19 20:07:01,2458562.338,16.35
2019-04-29 06:52:38,2458602.787,16.29
2019-04-29 08:39:12,2458602.861,16.29
2019-05-21 18:47:58,2458625.283,16.37
2019-07-27 01:52:16,2458691.578,16.35
2019-07-27 03:38:50,2458691.652,16.36
2019-09-06 04:18:29,2458732.680,16.27
2019-09-06 06:05:03,2458732.754,16.27
2019-09-22 22:46:37,2458749.449,16.23
2019-09-23 00:33:12,2458749.523,16.20
2019-11-02 07:17:22,2458789.804,16.30
2019-11-23 21:50:42,2458811.410,untrusted
2019-12-27 21:49:33,2458845.409,16.32
2020-01-29 17:16:18,2458878.220,16.43
2020-01-29 19:02:53,2458878.294,16.36
2020-02-25 19:57:48,2458905.332,untrusted
2020-02-26 00:11:28,2458905.508,16.47
2020-04-07 19:54:50,2458947.330,null
2020-04-07 21:41:18,2458947.404,16.42
2020-05-06 16:38:37,2458976.193,16.45

