Gaia19dzm
#Date,JD,averagemag.
2015-03-01 10:47:21,2457082.950,null
2015-03-01 15:01:07,2457083.126,null
2015-03-20 15:06:33,2457102.130,null
2015-03-20 16:53:18,2457102.204,null
2015-04-20 20:47:45,2457133.366,null
2015-04-20 22:34:31,2457133.441,null
2015-09-09 03:52:47,2457274.662,null
2015-10-01 15:48:05,2457297.158,null
2015-10-30 09:26:48,2457325.894,null
2016-03-09 22:09:23,2457457.423,null
2016-03-09 23:56:08,2457457.497,null
2016-04-03 16:05:44,2457482.171,null
2016-04-03 17:52:29,2457482.245,null
2016-04-30 09:58:15,2457508.915,null
2016-04-30 11:45:00,2457508.990,null
2016-09-18 04:59:35,2457649.708,null
2016-09-18 06:46:19,2457649.782,null
2016-10-15 12:29:17,2457677.020,null
2016-11-08 10:34:10,2457700.940,null
2017-03-20 02:28:22,2457832.603,null
2017-04-18 18:27:11,2457862.269,null
2017-04-18 20:13:56,2457862.343,null
2017-05-10 12:29:49,2457884.021,null
2017-05-10 14:16:34,2457884.095,null
2017-09-28 19:30:03,2458025.313,null
2017-10-30 14:46:31,2458057.116,null
2017-11-17 13:02:01,2458075.043,null
2017-11-17 14:48:45,2458075.117,null
2018-03-30 15:40:03,2458208.153,null
2018-05-04 09:13:30,2458242.884,null
2018-05-19 09:22:32,2458257.891,null
2018-05-19 13:35:43,2458258.066,null
2018-05-19 15:22:29,2458258.141,null
2018-08-25 09:18:53,2458355.888,null
2018-08-25 11:05:38,2458355.962,null
2018-08-25 15:19:22,2458356.138,null
2018-08-25 17:05:31,2458356.212,null
2018-08-25 21:19:15,2458356.388,null
2018-08-25 23:06:00,2458356.463,null
2018-08-26 03:19:44,2458356.639,null
2018-08-26 05:05:53,2458356.712,null
2018-08-26 09:19:37,2458356.889,null
2018-08-26 11:06:22,2458356.963,null
2018-08-26 15:20:06,2458357.139,null
2018-08-26 17:06:50,2458357.213,null
2018-08-26 21:19:59,2458357.389,null
2018-08-26 23:06:44,2458357.463,null
2018-08-27 05:07:12,2458357.713,null
2018-08-27 11:07:05,2458357.963,null
2018-08-27 17:07:34,2458358.214,null
2018-08-27 21:21:18,2458358.390,null
2018-08-27 23:07:27,2458358.464,null
2018-08-28 03:21:11,2458358.640,null
2018-08-28 05:07:56,2458358.714,null
2018-08-28 09:21:39,2458358.890,null
2018-08-28 11:07:49,2458358.964,null
2018-08-28 15:21:33,2458359.140,null
2018-08-28 17:08:17,2458359.214,null
2018-08-28 21:22:01,2458359.390,null
2018-08-28 23:08:11,2458359.464,null
2018-08-29 03:21:55,2458359.640,null
2018-10-09 10:24:57,2458400.934,null
2018-11-16 01:57:47,2458438.582,null
2018-11-16 03:43:57,2458438.656,null
2018-11-16 07:57:40,2458438.832,null
2018-11-16 09:44:25,2458438.906,null
2018-11-24 08:03:28,2458446.836,null
2018-11-24 09:49:37,2458446.909,null
2018-11-24 14:03:21,2458447.086,null
2018-11-24 15:50:06,2458447.160,null
2019-02-21 23:11:50,2458536.467,null
2019-02-22 03:25:36,2458536.643,null
2019-02-22 05:12:21,2458536.717,null
2019-02-22 09:26:07,2458536.893,null
2019-03-04 15:34:22,2458547.149,null
2019-03-04 17:20:32,2458547.223,null
2019-04-10 10:51:44,2458583.953,null
2019-08-27 02:38:09,2458722.610,null
2019-08-27 04:24:53,2458722.684,null
2019-08-27 08:38:02,2458722.860,null
2019-08-27 10:24:47,2458722.934,null
2019-09-07 22:37:28,2458734.443,18.53
2019-09-08 02:51:07,2458734.619,18.50
2019-10-14 16:28:45,2458771.187,18.52
2019-10-14 18:15:18,2458771.261,null
2020-02-27 03:27:33,2458906.644,20.41
2020-02-27 07:41:15,2458906.820,20.32

