Gaia19ear
#Date,JD,averagemag.
2015-02-27 22:50:43,2457081.452,null
2015-02-28 03:04:29,2457081.628,null
2015-03-21 21:05:24,2457103.379,null
2015-03-21 22:52:10,2457103.453,null
2015-04-19 22:39:04,2457132.444,null
2015-09-07 09:53:24,2457272.912,null
2015-09-07 11:40:08,2457272.986,null
2015-10-02 11:29:30,2457297.979,null
2015-10-28 21:27:51,2457324.394,null
2015-10-28 23:14:36,2457324.468,null
2016-03-08 18:00:06,2457456.250,null
2016-03-08 22:13:52,2457456.426,null
2016-04-04 22:04:37,2457483.420,null
2016-04-04 23:50:48,2457483.494,null
2016-04-29 05:48:58,2457507.742,null
2016-09-16 18:47:21,2457648.283,null
2016-10-16 10:37:42,2457677.943,null
2016-10-16 12:23:51,2457678.017,null
2016-11-06 16:34:48,2457699.191,null
2016-11-06 18:20:57,2457699.265,null
2017-03-19 06:46:40,2457831.782,null
2017-04-20 00:26:02,2457863.518,null
2017-04-20 02:12:13,2457863.592,null
2017-05-08 20:19:26,2457882.347,null
2017-05-09 00:32:37,2457882.523,null
2017-09-27 13:31:31,2458024.064,null
2017-10-31 20:42:12,2458058.363,null
2017-11-01 00:55:56,2458058.539,null
2017-11-15 02:47:26,2458072.616,null
2017-11-15 07:01:10,2458072.792,null
2017-11-15 08:47:54,2458072.867,null
2018-03-29 19:58:24,2458207.332,null
2018-03-29 21:44:34,2458207.406,null
2018-05-06 13:27:02,2458245.060,null
2018-05-06 15:13:47,2458245.135,null
2018-05-06 19:27:34,2458245.311,null
2018-05-06 21:13:44,2458245.385,null
2018-05-16 09:22:08,2458254.890,null
2018-05-16 13:35:54,2458255.067,null
2018-05-16 15:22:04,2458255.140,null
2018-05-16 19:35:50,2458255.317,null
2018-08-20 15:13:20,2458351.134,null
2018-08-20 17:00:04,2458351.208,null
2018-08-20 21:13:48,2458351.385,null
2018-08-20 23:00:33,2458351.459,null
2018-09-01 05:06:36,2458362.713,null
2018-09-01 09:20:20,2458362.889,null
2019-02-19 11:13:02,2458533.967,null
2019-02-19 15:26:13,2458534.143,null
2019-03-06 21:34:39,2458549.399,null
2019-03-06 23:21:25,2458549.473,null
2019-04-09 15:10:05,2458583.132,null
2019-08-24 14:32:11,2458720.106,null
2019-08-24 16:18:55,2458720.180,null
2019-09-10 02:54:39,2458736.621,18.78
2019-09-10 04:41:13,2458736.695,18.74

