Gaia19efx
#Date,JD,averagemag.
2014-08-30 00:57:32,2456899.540,null
2014-08-30 02:44:17,2456899.614,null
2014-11-11 21:47:26,2456973.408,null
2015-01-13 14:34:56,2457036.108,null
2015-01-13 16:21:41,2457036.182,null
2015-01-30 10:24:00,2457052.933,null
2015-03-11 07:19:48,2457092.805,null
2015-03-11 09:06:33,2457092.880,null
2015-03-31 09:04:16,2457112.878,null
2015-05-07 06:29:08,2457149.770,null
2015-06-08 00:09:35,2457181.507,null
2015-07-08 07:47:12,2457211.824,null
2015-08-20 07:24:12,2457254.808,null
2015-08-20 11:37:58,2457254.985,null
2015-09-17 05:38:46,2457282.735,null
2015-09-17 07:25:31,2457282.809,null
2015-10-22 17:18:17,2457318.221,null
2015-10-22 19:05:03,2457318.295,null
2015-11-25 04:47:07,2457351.699,null
2015-11-25 06:33:52,2457351.774,null
2015-12-18 00:28:11,2457374.520,null
2016-01-25 15:32:07,2457413.147,null
2016-01-25 17:18:52,2457413.221,null
2016-02-10 23:21:42,2457429.473,null
2016-03-21 16:07:23,2457469.172,null
2016-04-12 16:01:48,2457491.168,null
2016-04-12 20:15:33,2457491.344,null
2016-05-18 07:35:13,2457526.816,null
2016-05-18 09:21:58,2457526.890,null
2016-06-21 20:59:46,2457561.375,null
2016-07-21 01:09:51,2457590.549,null
2016-07-21 02:56:36,2457590.623,null
2016-09-02 02:34:13,2457633.607,null
2016-09-02 06:47:59,2457633.783,null
2016-10-01 00:44:46,2457662.531,null
2016-10-01 02:31:32,2457662.605,null
2016-11-02 14:12:43,2457695.092,null
2016-12-07 05:46:49,2457729.741,null
2016-12-07 07:32:59,2457729.815,null
2016-12-28 05:43:48,2457750.739,null
2017-02-05 10:29:48,2457789.937,null
2017-02-05 12:16:33,2457790.011,null
2017-02-21 19:41:26,2457806.320,null
2017-02-21 23:55:11,2457806.497,null
2017-04-02 04:45:15,2457845.698,null
2017-04-26 10:36:19,2457869.942,null
2017-05-30 17:51:24,2457904.244,null
2017-07-06 23:27:51,2457941.478,null
2017-07-07 03:41:00,2457941.653,null
2017-08-04 03:42:11,2457969.654,null
2017-08-04 05:28:21,2457969.728,null
2017-09-15 11:06:15,2458011.963,null
2017-10-15 09:11:34,2458041.883,null
2017-10-15 10:58:20,2458041.957,null
2017-11-14 08:55:54,2458071.872,null
2017-12-20 02:07:36,2458107.589,null
2017-12-20 03:54:21,2458107.663,null
2018-01-08 08:07:49,2458126.839,null
2018-03-06 02:38:35,2458183.610,null
2018-04-13 17:48:08,2458222.242,null
2018-04-13 19:34:53,2458222.316,null
2018-05-10 07:22:03,2458248.807,null
2018-06-12 11:12:18,2458281.967,null
2018-06-12 12:59:03,2458282.041,null
2018-07-22 04:48:13,2458321.700,null
2018-07-22 06:34:58,2458321.774,null
2018-08-18 16:51:09,2458349.202,null
2018-08-18 18:37:55,2458349.276,null
2018-09-28 06:15:44,2458389.761,null
2018-09-28 10:29:29,2458389.937,null
2018-10-29 10:14:32,2458420.927,null
2018-10-29 12:01:17,2458421.001,null
2018-11-25 17:48:08,2458448.242,null
2019-01-01 15:06:05,2458485.129,null
2019-01-01 16:52:15,2458485.203,null
2019-01-19 09:07:08,2458502.880,null
2019-01-19 10:53:53,2458502.954,null
2019-02-28 07:49:01,2458542.826,null
2019-02-28 09:35:46,2458542.900,null
2019-03-18 19:49:15,2458561.326,null
2019-04-25 12:52:37,2458599.037,null
2019-04-25 14:39:22,2458599.111,null
2019-05-24 14:22:36,2458628.099,null
2019-06-25 08:07:22,2458659.838,null
2019-07-22 19:51:28,2458687.327,null
2019-07-22 21:38:13,2458687.402,null
2019-09-02 22:27:22,2458729.436,null
2019-09-03 00:14:07,2458729.510,null
2019-09-21 23:02:52,2458748.460,16.46
2019-09-22 00:49:26,2458748.534,16.46
2019-10-29 13:10:15,2458786.049,18.30
2019-11-26 16:07:45,2458814.172,19.29
2019-12-26 11:21:10,2458843.973,null
2019-12-26 15:34:55,2458844.149,null
2020-02-03 17:14:56,2458883.219,null
2020-02-03 19:01:29,2458883.293,20.80

