Gaia19ego
#Date,JD,averagemag.
2015-01-14 23:24:45,2457037.476,null
2015-02-14 03:20:17,2457067.639,null
2015-07-08 23:00:01,2457212.458,null
2015-08-02 04:51:49,2457236.703,null
2015-08-02 06:38:33,2457236.777,null
2015-08-31 16:33:32,2457266.190,null
2015-08-31 18:19:42,2457266.264,null
2016-01-04 06:29:39,2457391.771,null
2016-01-04 10:43:25,2457391.947,null
2016-01-29 16:38:14,2457417.193,null
2016-01-29 18:24:25,2457417.267,null
2016-02-24 10:29:35,2457442.937,null
2016-02-24 12:15:45,2457443.011,null
2016-07-18 12:06:06,2457588.004,null
2016-07-18 13:52:16,2457588.078,null
2016-08-16 11:47:25,2457616.991,null
2016-08-16 13:34:10,2457617.065,null
2016-09-10 11:42:29,2457641.988,null
2016-09-10 13:28:38,2457642.062,null
2017-01-13 17:54:24,2457767.246,null
2017-02-12 02:45:54,2457796.615,null
2017-03-05 08:45:36,2457817.865,null
2017-03-05 12:59:22,2457818.041,null
2017-07-29 14:35:53,2457964.108,null
2017-07-29 16:22:38,2457964.182,null
2017-09-01 08:07:28,2457997.839,null
2017-09-01 09:54:13,2457997.913,null
2017-09-20 08:12:30,2458016.842,null
2017-09-20 09:59:14,2458016.916,null
2018-01-24 04:13:54,2458142.676,null
2018-01-24 08:27:40,2458142.853,null
2018-03-14 20:03:28,2458192.336,null
2018-03-14 21:50:13,2458192.410,null
2018-06-19 22:24:25,2458289.434,null
2018-06-20 00:10:35,2458289.507,null
2018-07-02 16:29:58,2458302.187,null
2018-07-02 18:16:42,2458302.262,null
2018-08-09 17:30:43,2458340.230,null
2018-09-19 16:57:00,2458381.206,null
2018-09-19 21:10:44,2458381.382,null
2018-09-19 22:57:29,2458381.457,null
2018-09-20 03:10:38,2458381.632,null
2018-09-20 04:57:23,2458381.707,null
2018-09-20 09:11:07,2458381.883,null
2018-09-26 15:16:03,2458388.136,null
2018-09-26 17:02:47,2458388.210,null
2018-09-26 21:15:57,2458388.386,null
2018-09-26 23:02:41,2458388.460,null
2018-09-27 03:16:25,2458388.636,null
2018-09-27 05:03:10,2458388.711,null
2018-09-27 11:03:04,2458388.960,null
2018-12-17 09:54:20,2458469.913,null
2018-12-17 11:40:30,2458469.986,null
2018-12-17 15:54:16,2458470.163,null
2018-12-30 04:03:37,2458482.669,null
2018-12-30 05:50:22,2458482.743,null
2019-02-03 21:38:45,2458518.402,null
2019-03-13 20:55:51,2458556.372,null
2019-03-13 22:42:37,2458556.446,null
2019-03-22 21:03:05,2458565.377,null
2019-03-22 22:49:50,2458565.451,null
2019-03-23 03:03:36,2458565.628,null
2019-06-28 23:24:25,2458663.475,null
2019-06-29 01:11:09,2458663.549,null
2019-08-08 07:49:22,2458703.826,null
2019-08-08 09:36:06,2458703.900,null
2019-09-17 03:47:13,2458743.658,null
2019-09-17 05:33:24,2458743.732,18.67
2019-09-17 09:47:03,2458743.908,18.16
2019-09-25 15:55:43,2458752.164,19.14
2019-09-25 17:42:17,2458752.238,19.16
2019-09-25 21:55:56,2458752.414,19.10
2019-09-25 23:42:30,2458752.488,19.21

