Gaia19ehc
#Date,JD,averagemag.
2014-08-26 18:54:55,2456896.288,19.22
2014-08-26 20:41:29,2456896.362,19.18
2014-10-08 11:48:03,2456938.992,untrusted
2014-11-09 15:40:40,2456971.153,19.19
2014-11-09 17:27:14,2456971.227,19.18
2015-01-11 20:37:17,2457034.359,19.16
2015-02-01 14:33:53,2457055.107,19.16
2015-04-02 07:24:41,2457114.809,null
2015-04-02 09:11:26,2457114.883,null
2015-06-07 18:20:05,2457181.264,null
2015-07-10 23:59:19,2457214.500,19.05
2015-08-17 01:23:43,2457251.558,19.05
2015-09-16 13:15:52,2457282.053,19.04
2015-10-21 05:09:16,2457316.715,null
2015-11-22 22:42:32,2457349.446,19.00
2015-11-23 00:29:07,2457349.520,19.03
2015-12-18 16:31:41,2457375.189,19.04
2016-01-24 03:36:33,2457411.650,19.07
2016-02-13 09:34:02,2457431.899,19.02
2016-03-22 14:29:45,2457470.104,19.07
2016-04-14 08:23:45,2457492.850,null
2016-05-20 19:39:55,2457529.319,19.20
2016-06-20 21:08:36,2457560.381,19.13
2016-06-21 01:22:15,2457560.557,19.09
2016-07-23 07:06:39,2457592.796,19.04
2016-07-23 08:53:13,2457592.870,19.09
2016-08-30 00:44:36,2457630.531,19.09
2016-08-30 02:31:10,2457630.605,19.00
2016-09-29 18:35:23,2457661.275,19.02
2016-11-01 12:16:03,2457694.011,19.03
2016-12-05 01:30:09,2457727.563,18.99
2016-12-29 05:35:06,2457751.733,19.03
2017-02-04 04:35:41,2457788.691,19.02
2017-02-04 06:22:15,2457788.765,19.07
2017-02-24 05:56:01,2457808.747,19.08
2017-02-24 07:43:06,2457808.822,null
2017-04-03 10:53:52,2457846.954,19.09
2017-04-03 12:40:27,2457847.028,19.05
2017-04-27 12:32:11,2457871.022,19.05
2017-04-27 16:45:51,2457871.199,19.05
2017-07-05 05:34:50,2457939.733,19.03
2017-07-05 09:48:29,2457939.909,19.02
2017-08-05 21:36:42,2457971.400,19.01
2017-08-05 23:23:16,2457971.474,19.01
2017-09-12 15:14:48,2458009.135,19.03
2017-09-12 17:01:22,2458009.209,18.96
2017-10-13 15:02:46,2458040.127,null
2017-10-13 16:49:16,2458040.201,19.05
2017-11-13 14:45:03,2458071.115,19.05
2017-12-17 21:53:02,2458105.412,19.06
2018-01-09 15:46:33,2458128.157,19.07
2018-02-16 06:57:39,2458165.790,19.02
2018-02-16 08:44:14,2458165.864,untrusted
2018-03-08 12:55:20,2458186.038,19.05
2018-05-11 01:32:15,2458249.564,18.98
2018-05-11 05:46:01,2458249.740,null
2018-06-15 01:00:36,2458284.542,18.99
2018-07-19 16:53:14,2458319.204,18.97
2018-07-19 18:39:48,2458319.278,18.94
2018-08-19 16:44:10,2458350.197,18.98
2018-08-19 18:30:44,2458350.271,18.96
2018-09-25 22:22:38,2458387.432,19.00
2018-10-27 10:06:39,2458418.921,null
2018-10-27 11:53:09,2458418.995,19.02
2018-11-25 11:37:22,2458447.984,19.03
2018-12-30 15:06:28,2458483.129,untrusted
2018-12-30 16:53:20,2458483.204,null
2019-01-21 04:48:12,2458504.700,18.95
2019-02-28 01:57:16,2458542.581,18.95
2019-02-28 03:43:50,2458542.655,18.94
2019-03-20 21:40:46,2458563.403,18.93
2019-05-24 20:33:01,2458628.356,18.88
2019-05-25 00:46:41,2458628.532,18.87
2019-06-28 00:20:50,2458662.514,18.83
2019-06-28 02:07:24,2458662.588,18.85
2019-07-24 19:59:58,2458689.333,18.84
2019-07-24 21:46:32,2458689.407,18.83
2019-09-02 22:18:55,2458729.430,null
2019-09-24 05:01:33,2458750.709,18.68
2019-09-24 06:48:07,2458750.783,18.78
2019-10-31 08:53:11,2458787.870,18.74
2019-10-31 13:06:51,2458788.046,18.73
2019-11-26 21:57:41,2458814.415,18.62
2019-12-28 23:25:38,2458846.476,18.60
2020-01-31 23:07:22,2458880.463,18.65
2020-02-01 00:53:56,2458880.537,18.68
2020-03-01 01:58:14,2458909.582,18.67
2020-03-01 06:11:54,2458909.758,18.65
2020-04-05 09:26:57,2458944.894,18.66
2020-05-08 09:03:30,2458977.877,18.71

