Gaia19eia
#Date,JD,averagemag.
2014-08-31 03:36:39,2456900.650,19.12
2014-10-04 22:52:26,2456935.453,untrusted
2015-01-07 07:48:04,2457029.825,19.36
2015-01-07 09:34:38,2457029.899,19.34
2015-01-24 13:48:47,2457047.076,19.15
2015-02-27 19:04:30,2457081.295,null
2015-02-27 20:51:15,2457081.369,null
2015-04-06 20:20:56,2457119.348,null
2015-04-07 00:34:40,2457119.524,null
2015-04-07 02:21:25,2457119.598,null
2015-04-24 06:44:08,2457136.781,null
2015-04-24 08:30:53,2457136.855,null
2015-04-24 12:44:03,2457137.031,null
2015-04-24 14:30:37,2457137.105,18.98
2015-06-26 14:26:50,2457200.102,19.03
2015-06-26 18:40:30,2457200.278,19.02
2015-06-26 20:27:05,2457200.352,18.90
2015-07-18 06:50:37,2457221.785,19.01
2015-07-18 08:37:11,2457221.859,19.01
2015-08-23 06:30:51,2457257.771,null
2015-08-23 08:17:25,2457257.845,19.19
2015-09-29 17:47:40,2457295.241,19.22
2015-09-29 19:34:14,2457295.315,19.24
2015-10-14 23:53:45,2457310.496,18.98
2015-10-15 01:40:20,2457310.570,18.99
2016-01-17 08:49:12,2457404.868,18.89
2016-01-17 10:35:45,2457404.941,18.87
2016-02-07 04:30:16,2457425.688,18.97
2016-03-10 02:12:19,2457457.592,19.02
2016-03-10 03:58:53,2457457.666,18.99
2016-04-26 09:33:06,2457504.898,18.83
2016-04-26 13:46:46,2457505.074,18.82
2016-04-26 15:33:20,2457505.148,18.87
2016-04-26 19:47:00,2457505.324,untrusted
2016-04-26 21:33:34,2457505.398,18.93
2016-04-27 01:47:13,2457505.574,18.95
2016-04-27 03:33:47,2457505.648,18.96
2016-04-27 07:47:27,2457505.825,19.08
2016-04-27 09:34:24,2457505.899,null
2016-04-27 13:48:08,2457506.075,null
2016-04-27 15:34:18,2457506.149,null
2016-04-27 19:48:02,2457506.325,null
2016-04-27 21:34:28,2457506.399,19.00
2016-04-28 01:48:07,2457506.575,19.04
2016-04-28 07:48:26,2457506.825,null
2016-04-28 13:48:33,2457507.075,18.95
2016-04-30 19:50:32,2457509.327,18.94
2016-05-01 01:50:45,2457509.577,18.87
2016-05-01 07:50:58,2457509.827,18.86
2016-05-01 09:37:32,2457509.901,18.85
2016-05-01 13:51:12,2457510.077,18.91
2016-05-01 15:37:46,2457510.151,untrusted
2016-05-01 19:51:25,2457510.327,18.95
2016-05-01 21:37:59,2457510.401,18.97
2016-05-02 01:51:39,2457510.578,19.01
2016-05-02 03:38:13,2457510.652,19.05
2016-05-02 07:51:52,2457510.828,19.06
2016-05-02 09:38:26,2457510.902,19.12
2016-05-02 13:52:06,2457511.078,null
2016-05-02 15:38:40,2457511.152,19.11
2016-05-02 19:52:20,2457511.328,19.01
2016-05-02 21:38:54,2457511.402,19.03
2016-05-03 03:39:08,2457511.652,18.98
2016-07-07 09:38:37,2457576.902,18.98
2016-07-07 13:52:18,2457577.078,19.02
2016-08-02 09:41:43,2457602.904,19.01
2016-09-02 15:26:42,2457634.144,18.80
2016-09-02 19:40:23,2457634.320,18.84
2016-10-12 18:44:46,2457674.281,untrusted
2016-10-12 20:31:50,2457674.355,null
2016-10-23 14:38:25,2457685.110,18.75
2016-10-23 18:52:06,2457685.286,18.74
2016-12-11 05:07:51,2457733.714,18.77
2016-12-11 11:08:05,2457733.964,18.78
2016-12-11 12:54:39,2457734.038,18.78
2016-12-11 17:08:19,2457734.214,18.72
2016-12-11 18:54:53,2457734.288,18.75
2016-12-11 23:08:32,2457734.464,18.74
2016-12-12 00:55:06,2457734.538,18.77
2016-12-12 05:08:46,2457734.714,18.74
2016-12-12 06:55:20,2457734.788,18.80
2016-12-12 12:55:40,2457735.039,null
2016-12-12 18:55:47,2457735.289,18.79
2016-12-13 00:56:00,2457735.539,18.80
2016-12-13 06:56:13,2457735.789,18.82
2016-12-13 11:09:53,2457735.965,18.81
2016-12-13 12:56:26,2457736.039,18.74
2016-12-13 17:10:06,2457736.215,18.70
2016-12-13 18:56:40,2457736.289,18.75
2016-12-13 23:10:42,2457736.466,null
2016-12-14 00:56:54,2457736.540,18.72
2016-12-14 05:10:33,2457736.716,18.70
2016-12-14 06:57:07,2457736.790,18.71
2016-12-14 11:10:47,2457736.966,18.72
2017-01-26 15:52:20,2457780.161,19.11
2017-01-26 17:38:54,2457780.235,19.09
2017-02-20 05:02:15,2457804.710,18.91
2017-03-21 10:43:34,2457833.947,18.74
2017-03-21 12:30:08,2457834.021,18.80
2017-07-19 06:12:54,2457953.759,19.25
2017-07-19 10:26:35,2457953.935,19.37
2017-08-17 16:19:37,2457983.180,18.83
2017-08-17 18:06:12,2457983.254,18.93
2017-09-13 22:10:53,2458010.424,19.17
2017-10-26 21:03:55,2458053.378,18.89
2017-10-26 22:50:30,2458053.452,untrusted
2017-10-27 03:04:21,2458053.628,null
2017-10-27 04:50:44,2458053.702,18.95
2017-11-01 10:55:24,2458058.955,19.01
2017-11-01 15:09:04,2458059.131,19.05
2017-11-01 16:55:39,2458059.205,18.99
2017-11-01 21:09:19,2458059.381,19.01
2017-12-19 19:22:43,2458107.307,18.92
2017-12-19 21:09:17,2458107.381,18.92
2017-12-28 09:14:41,2458115.885,19.23
2017-12-28 13:28:20,2458116.061,19.27
