Gaia19eim
#Date,JD,averagemag.
2014-10-02 19:34:43,2456933.316,untrusted
2014-10-02 21:21:17,2456933.390,untrusted
2014-11-16 01:48:10,2456977.575,18.58
2014-11-16 06:02:14,2456977.752,null
2014-11-16 07:48:24,2456977.825,null
2014-11-24 12:07:58,2456986.006,18.54
2014-11-24 13:54:32,2456986.080,18.51
2015-01-05 16:47:25,2457028.200,18.60
2015-01-26 22:44:33,2457049.448,18.58
2015-01-27 00:31:08,2457049.522,18.55
2015-02-28 06:04:29,2457081.753,null
2015-04-10 03:55:58,2457122.664,null
2015-04-10 05:42:08,2457122.738,null
2015-04-10 09:55:53,2457122.914,null
2015-04-10 11:42:39,2457122.988,null
2015-04-28 23:54:03,2457141.496,null
2015-04-29 04:07:48,2457141.672,null
2015-04-29 05:54:33,2457141.746,null
2015-04-29 10:08:18,2457141.922,null
2015-06-22 09:51:29,2457195.911,null
2015-06-22 11:38:14,2457195.985,null
2015-07-19 21:48:32,2457223.409,18.61
2015-08-20 15:27:26,2457255.144,18.62
2015-08-20 17:13:59,2457255.218,18.62
2015-09-28 10:15:38,2457293.928,18.52
2015-09-28 14:29:17,2457294.104,18.58
2015-10-13 08:33:56,2457308.857,null
2015-10-13 10:20:05,2457308.931,null
2015-11-26 18:56:25,2457353.289,18.57
2015-11-26 20:43:00,2457353.363,18.57
2015-12-06 19:03:13,2457363.294,null
2015-12-06 20:49:58,2457363.368,null
2016-01-16 05:52:17,2457403.745,null
2016-02-09 17:44:03,2457428.239,null
2016-02-09 19:30:26,2457428.313,18.53
2016-03-10 19:14:26,2457458.302,18.54
2016-03-10 23:28:07,2457458.478,untrusted
2016-04-26 17:08:37,2457505.214,18.60
2016-04-26 23:08:52,2457505.464,18.59
2016-04-27 00:55:51,2457505.539,null
2016-04-27 05:09:06,2457505.715,18.58
2016-04-27 06:55:41,2457505.789,18.60
2016-05-12 19:07:41,2457521.297,null
2016-05-12 23:20:51,2457521.473,null
2016-05-13 01:07:25,2457521.547,untrusted
2016-05-13 05:21:21,2457521.723,null
2016-05-13 07:07:39,2457521.797,untrusted
2016-05-13 11:21:19,2457521.973,untrusted
2016-07-03 23:01:10,2457573.459,untrusted
2016-07-04 00:47:44,2457573.533,untrusted
2016-08-03 00:35:03,2457603.524,null
2016-08-31 04:33:22,2457631.690,null
2016-10-10 21:24:21,2457672.392,18.50
2016-10-10 23:10:55,2457672.466,18.49
2016-10-22 15:30:06,2457684.146,18.58
2016-10-22 17:16:40,2457684.220,18.58
2016-12-06 01:52:57,2457728.578,null
2016-12-06 03:39:07,2457728.652,null
2016-12-18 13:58:52,2457741.083,18.55
2016-12-18 15:45:27,2457741.157,18.56
2017-01-26 00:58:04,2457779.540,18.57
2017-02-22 20:07:03,2457807.338,18.57
2017-02-22 21:53:38,2457807.412,18.56
2017-03-22 15:47:48,2457835.158,18.54
2017-03-22 20:01:29,2457835.334,18.52
2017-05-13 07:45:17,2457886.823,18.51
2017-05-13 09:31:51,2457886.897,18.53
2017-05-13 13:45:31,2457887.073,18.53
2017-05-13 15:32:06,2457887.147,18.54
2017-05-13 19:45:45,2457887.323,18.51
2017-05-13 21:32:20,2457887.397,18.50
2017-05-30 07:57:08,2457903.831,18.61
2017-05-30 09:43:42,2457903.905,18.55
2017-05-30 13:57:22,2457904.082,18.62
2017-05-30 15:43:56,2457904.156,18.61
2017-05-30 19:57:36,2457904.332,18.58
2017-07-16 03:19:23,2457950.638,18.60
2017-08-17 19:09:16,2457983.298,18.63
2017-09-11 08:46:22,2458007.866,untrusted
2017-10-23 17:41:37,2458050.237,18.54
2017-10-23 19:28:11,2458050.311,18.56
2017-10-23 23:41:50,2458050.487,18.56
2017-11-02 05:47:49,2458059.742,18.54
2017-11-02 07:34:24,2458059.816,18.59
2017-12-16 05:59:35,2458103.750,18.60
2017-12-31 16:17:57,2458119.179,18.54
2018-02-05 23:14:50,2458155.469,null
2018-03-09 09:09:38,2458186.882,18.59
2018-03-09 10:56:12,2458186.956,18.62
2018-04-03 16:59:01,2458212.208,18.52
2018-04-03 21:12:42,2458212.384,18.53
2018-05-27 20:58:30,2458266.374,null
2018-05-27 22:44:39,2458266.448,null
2018-06-17 09:08:21,2458286.881,null
2018-06-17 10:54:45,2458286.955,untrusted
2018-06-17 15:08:25,2458287.131,18.59
2018-07-28 08:41:34,2458327.862,18.57
2018-09-01 02:06:30,2458362.588,null
2018-09-22 08:02:32,2458383.835,18.59
2018-09-22 09:49:05,2458383.909,null
2018-11-05 00:36:07,2458427.525,18.51
2018-11-05 02:22:41,2458427.599,18.58
2018-11-05 06:36:21,2458427.775,18.56
2018-11-13 00:42:02,2458435.529,18.53
2018-11-13 02:28:36,2458435.603,18.58
2018-12-26 11:13:24,2458478.968,18.59
2018-12-26 12:59:59,2458479.042,18.62
2019-01-13 19:01:36,2458497.293,18.61
2019-02-17 04:36:48,2458531.692,null
2019-03-24 22:15:10,2458567.427,18.63
2019-03-25 00:01:44,2458567.501,18.54
2019-04-16 04:24:10,2458589.683,18.45
2019-04-16 06:10:44,2458589.757,18.53
2019-04-16 10:24:25,2458589.934,18.53
2019-06-09 22:09:13,2458644.423,18.50
2019-06-09 23:55:47,2458644.497,18.52
2019-06-10 04:09:27,2458644.673,18.50
2019-06-10 05:56:01,2458644.747,18.50
2019-07-04 06:01:02,2458668.751,18.45
2019-07-04 10:14:42,2458668.927,18.52
2019-07-17 01:19:07,2458681.555,18.46
2019-07-17 05:32:46,2458681.731,18.51
2019-08-22 07:16:48,2458717.803,untrusted
2019-08-22 09:03:21,2458717.877,18.39
2019-09-28 10:34:30,2458754.941,18.09
2019-09-28 14:48:09,2458755.117,18.07
2019-10-20 09:20:25,2458776.889,17.59
2019-10-20 11:06:59,2458776.963,17.59
2019-10-20 15:20:39,2458777.139,17.58
2019-10-20 17:07:13,2458777.213,17.59
2019-12-12 01:03:53,2458829.544,17.61
2019-12-12 05:17:34,2458829.721,17.62
2020-01-03 23:57:34,2458852.498,18.07
2020-01-04 01:44:08,2458852.572,18.05
2020-02-06 13:28:06,2458886.061,18.29
2020-03-12 23:10:58,2458921.466,18.41
2020-03-30 11:43:08,2458938.988,untrusted
2020-03-30 15:56:49,2458939.164,18.49

