Gaia19ejn
#Date,JD,averagemag.
2015-01-09 21:24:14,2457032.392,null
2015-01-09 23:10:59,2457032.466,null
2015-02-13 21:01:51,2457067.376,null
2015-03-22 08:17:36,2457103.846,null
2015-03-22 10:04:21,2457103.920,null
2015-04-05 04:11:29,2457117.675,null
2015-04-05 08:25:14,2457117.851,null
2015-07-12 23:13:05,2457216.467,null
2015-07-13 00:59:15,2457216.541,null
2015-08-02 23:10:20,2457237.466,null
2015-08-03 00:57:04,2457237.540,null
2015-09-05 10:39:00,2457270.944,null
2015-09-05 12:25:45,2457271.018,null
2016-01-02 16:24:32,2457390.184,null
2016-01-02 18:11:18,2457390.258,null
2016-01-25 12:14:44,2457413.010,null
2016-02-24 16:10:55,2457443.174,null
2016-04-05 03:15:27,2457483.636,null
2016-04-05 05:02:12,2457483.710,null
2016-04-12 21:22:10,2457491.390,null
2016-04-12 23:08:20,2457491.464,null
2016-04-13 03:22:06,2457491.640,null
2016-07-22 14:03:13,2457592.086,null
2016-08-16 19:52:34,2457617.328,null
2016-09-15 19:34:33,2457647.316,null
2017-01-12 07:21:54,2457765.807,null
2017-01-12 11:35:40,2457765.983,null
2017-02-08 05:29:08,2457792.729,null
2017-03-06 06:41:42,2457818.779,null
2017-03-06 08:28:27,2457818.853,null
2017-06-15 15:49:17,2457920.159,null
2017-06-15 17:36:01,2457920.233,null
2017-06-15 21:49:46,2457920.410,null
2017-06-15 23:35:56,2457920.483,null
2017-06-16 03:49:40,2457920.659,null
2017-06-16 05:36:25,2457920.734,null
2017-06-16 09:50:09,2457920.910,null
2017-06-16 11:36:19,2457920.984,null
2017-06-16 15:50:03,2457921.160,null
2017-06-16 17:36:48,2457921.234,null
2017-06-16 21:50:32,2457921.410,null
2017-06-16 23:36:42,2457921.484,null
2017-06-17 03:50:27,2457921.660,null
2017-06-17 05:37:11,2457921.734,null
2017-06-17 09:50:56,2457921.910,null
2017-06-17 11:37:40,2457921.984,null
2017-06-17 15:50:50,2457922.160,null
2017-06-17 17:37:35,2457922.234,null
2017-06-17 21:51:19,2457922.411,null
2017-06-17 23:38:04,2457922.485,null
2017-06-18 03:51:48,2457922.661,null
2017-08-02 14:44:43,2457968.114,null
2017-08-02 16:30:53,2457968.188,null
2017-08-31 20:25:47,2457997.351,null
2017-08-31 22:12:31,2457997.425,null
2017-09-27 02:20:08,2458023.597,null
2017-09-27 04:06:18,2458023.671,null
2018-01-23 08:09:12,2458141.840,null
2018-03-16 15:34:38,2458194.149,null
2018-03-16 19:48:24,2458194.325,null
2018-06-23 06:28:45,2458292.770,null
2018-06-23 10:42:29,2458292.946,null
2018-06-23 12:28:39,2458293.020,null
2018-07-04 10:48:29,2458303.950,null
2018-07-04 12:34:39,2458304.024,null
2018-07-04 16:48:23,2458304.200,null
2018-08-13 21:51:08,2458344.411,null
2018-08-13 23:37:53,2458344.485,null
2018-09-16 11:11:17,2458377.966,null
2018-09-16 15:25:01,2458378.142,null
2018-10-07 21:29:26,2458399.395,null
2018-10-07 23:15:36,2458399.469,null
2018-12-16 17:23:05,2458469.224,null
2018-12-16 21:36:51,2458469.401,null
2018-12-16 23:23:01,2458469.474,null
2018-12-17 03:36:47,2458469.651,null
2018-12-17 05:23:32,2458469.725,null
2018-12-17 09:37:17,2458469.901,null
2018-12-17 11:24:03,2458469.975,null
2018-12-17 15:37:13,2458470.151,null
2018-12-17 17:23:59,2458470.225,null
2018-12-17 21:37:44,2458470.401,null
2018-12-17 23:24:30,2458470.475,null
2018-12-18 03:37:40,2458470.651,null
2018-12-18 05:24:25,2458470.725,null
2018-12-18 09:38:11,2458470.902,null
2018-12-18 11:24:56,2458470.976,null
2018-12-18 15:38:42,2458471.152,null
2018-12-18 17:24:52,2458471.226,null
2018-12-18 21:38:38,2458471.402,null
2018-12-18 23:25:23,2458471.476,null
2018-12-19 03:39:09,2458471.652,null
2018-12-19 05:25:19,2458471.726,null
2018-12-19 09:39:05,2458471.902,null
2018-12-19 11:25:50,2458471.976,null
2018-12-19 15:39:36,2458472.153,null
2018-12-19 17:25:46,2458472.226,null
2018-12-19 21:39:32,2458472.402,null
2018-12-19 23:26:17,2458472.477,null
2018-12-20 03:40:03,2458472.653,null
2018-12-20 05:26:48,2458472.727,null
2018-12-20 09:39:59,2458472.903,null
2018-12-20 11:26:44,2458472.977,null
2018-12-20 15:40:30,2458473.153,null
2018-12-20 17:27:15,2458473.227,null
2018-12-20 21:40:26,2458473.403,null
2018-12-20 23:27:11,2458473.477,null
2018-12-21 03:40:57,2458473.653,null
2018-12-21 05:27:42,2458473.728,null
2018-12-21 09:41:28,2458473.904,null
2018-12-21 11:27:38,2458473.978,null
2018-12-21 15:41:24,2458474.154,null
2018-12-21 17:28:09,2458474.228,null
2019-02-03 05:06:46,2458517.713,null
2019-03-26 20:52:47,2458569.370,null
2019-07-02 23:40:09,2458667.486,null
2019-07-03 01:26:53,2458667.560,null
2019-08-07 14:06:54,2458703.088,null
2019-08-07 15:53:39,2458703.162,null
2019-09-11 15:43:50,2458738.155,null
2019-09-11 17:30:34,2458738.230,null
2019-09-29 22:14:05,2458756.426,17.52
2019-09-30 00:00:39,2458756.500,17.52

