Gaia19emq
#Date,JD,averagemag.
2015-02-21 18:23:02,2457075.266,null
2015-02-21 20:09:11,2457075.340,null
2015-03-27 07:33:25,2457108.815,null
2015-04-11 17:51:52,2457124.244,null
2015-04-11 19:38:01,2457124.318,null
2015-09-01 19:04:52,2457267.295,null
2015-09-01 20:51:37,2457267.369,null
2015-10-09 14:21:58,2457305.099,null
2015-10-09 18:35:45,2457305.275,null
2015-10-09 20:22:30,2457305.349,null
2015-10-19 02:30:21,2457314.604,null
2015-10-19 06:44:07,2457314.781,null
2015-10-19 08:30:53,2457314.855,null
2015-10-19 12:44:04,2457315.031,null
2016-01-17 02:05:35,2457404.587,null
2016-01-17 03:52:19,2457404.661,null
2016-01-17 08:06:03,2457404.838,null
2016-01-17 09:52:13,2457404.911,null
2016-01-26 09:58:07,2457413.915,null
2016-01-26 14:11:51,2457414.092,null
2016-01-26 15:58:00,2457414.165,null
2016-03-03 07:31:13,2457450.813,null
2016-07-22 22:19:19,2457592.430,null
2016-07-23 02:33:05,2457592.606,null
2016-08-07 20:41:58,2457608.362,null
2016-08-07 22:28:08,2457608.436,null
2016-09-11 16:03:20,2457643.169,null
2017-01-23 09:07:25,2457776.880,null
2017-01-23 10:54:09,2457776.954,null
2017-02-10 18:17:54,2457795.262,null
2017-08-01 05:01:52,2457966.710,null
2017-08-01 06:48:38,2457966.784,null
2017-08-23 17:04:22,2457989.211,null
2017-08-23 18:50:32,2457989.285,null
2017-09-22 10:50:29,2458018.952,null
2018-02-01 17:35:44,2458151.233,null
2018-03-24 05:10:02,2458201.715,null
2018-08-11 12:11:10,2458342.008,null
2018-09-08 00:03:32,2458369.502,null
2018-09-08 01:49:42,2458369.576,null
2018-10-02 18:01:00,2458394.251,null
2019-02-11 14:29:57,2458526.104,null
2019-03-12 08:06:54,2458554.838,null
2019-04-03 00:16:23,2458576.511,null
2019-04-03 02:02:32,2458576.585,null
2019-08-16 10:59:49,2458711.958,null
2019-08-16 12:46:34,2458712.032,null
2019-09-15 14:06:22,2458742.088,16.84
2019-10-07 07:04:04,2458763.794,17.21
2020-02-18 16:19:29,2458898.180,null
2020-02-18 18:05:37,2458898.254,19.72
2020-03-21 05:40:03,2458929.736,19.94
2020-03-21 07:26:36,2458929.810,20.00
2020-04-08 12:07:39,2458948.005,20.03
2020-04-08 13:54:13,2458948.079,20.15

