Gaia19eng
#Date,JD,averagemag.
2014-08-28 01:59:45,2456897.583,18.68
2014-09-29 12:35:04,2456930.024,untrusted
2014-09-29 16:48:44,2456930.201,untrusted
2014-09-29 18:35:19,2456930.275,untrusted
2015-01-03 01:44:17,2457025.572,18.70
2015-01-03 03:30:50,2457025.646,18.70
2015-01-26 09:20:19,2457048.889,18.64
2015-02-25 01:12:09,2457078.550,null
2015-02-25 02:58:54,2457078.624,null
2015-06-24 14:42:05,2457198.113,18.68
2015-06-24 18:55:46,2457198.289,18.73
2015-07-23 00:52:33,2457226.536,null
2015-07-23 02:38:44,2457226.610,null
2015-08-20 12:42:07,2457255.029,18.75
2015-10-02 23:38:31,2457298.485,18.74
2015-10-03 01:25:05,2457298.559,18.71
2015-10-03 05:38:46,2457298.735,18.74
2015-10-03 07:25:20,2457298.809,18.72
2015-10-08 05:43:19,2457303.738,18.73
2015-10-08 07:29:53,2457303.812,18.72
2015-10-08 11:43:34,2457303.989,18.72
2015-10-08 13:30:08,2457304.063,18.72
2015-11-27 09:55:58,2457353.914,18.74
2015-11-27 11:42:32,2457353.988,18.72
2015-11-27 15:56:12,2457354.164,18.70
2015-11-27 17:42:46,2457354.238,18.69
2015-12-02 23:46:51,2457359.491,18.68
2015-12-03 04:00:30,2457359.667,18.72
2015-12-03 05:47:04,2457359.741,18.70
2015-12-03 10:00:44,2457359.917,18.70
2016-01-13 14:48:50,2457401.117,18.71
2016-02-09 14:30:28,2457428.104,18.71
2016-02-09 16:17:02,2457428.178,18.69
2016-03-07 04:07:21,2457454.672,18.70
2016-07-05 09:53:50,2457574.912,18.70
2016-07-05 14:07:31,2457575.089,18.69
2016-08-06 01:52:38,2457606.578,18.72
2016-08-06 03:39:13,2457606.652,18.68
2016-08-30 09:35:31,2457630.900,18.65
2016-12-05 00:36:27,2457727.525,18.66
2016-12-05 04:50:06,2457727.701,18.69
2016-12-16 06:41:51,2457738.779,18.71
2016-12-16 10:55:30,2457738.955,18.63
2017-01-23 03:54:36,2457776.663,untrusted
2017-01-23 05:41:09,2457776.737,18.63
2017-02-23 10:51:42,2457807.953,18.64
2017-03-18 10:52:55,2457830.953,18.65
2017-03-18 12:39:29,2457831.027,18.70
2017-05-23 06:38:17,2457896.777,18.66
2017-05-23 10:51:58,2457896.953,18.66
2017-05-23 12:38:32,2457897.027,18.64
2017-05-23 16:52:13,2457897.203,18.72
2017-05-23 18:38:47,2457897.277,18.64
2017-05-23 22:52:28,2457897.453,18.71
2017-05-24 00:39:02,2457897.527,18.71
2017-05-24 04:52:42,2457897.703,18.70
2017-05-24 06:39:17,2457897.777,18.69
2017-05-24 10:52:57,2457897.953,18.69
2017-05-31 04:59:14,2457904.708,untrusted
2017-05-31 10:59:28,2457904.958,18.74
2017-05-31 12:46:03,2457905.032,18.70
2017-05-31 16:59:43,2457905.208,18.71
2017-05-31 18:46:18,2457905.282,18.66
2017-05-31 22:59:58,2457905.458,18.68
2017-06-01 00:46:33,2457905.532,18.74
2017-06-01 05:00:13,2457905.708,18.69
2017-06-01 06:46:48,2457905.783,18.73
2017-07-17 06:27:51,2457951.769,18.68
2017-08-20 16:14:14,2457986.177,18.67
2017-08-20 18:00:48,2457986.251,18.68
2017-09-10 00:02:51,2458006.502,18.63
2017-09-10 04:16:48,2458006.678,null
2017-12-14 13:10:07,2458102.049,18.68
2017-12-30 02:58:57,2458117.624,18.65
2018-02-03 02:10:36,2458152.591,18.71
2018-03-11 07:40:20,2458188.820,18.69
2018-03-11 11:53:59,2458188.996,18.68
2018-03-11 13:40:33,2458189.070,18.65
2018-03-29 00:02:09,2458206.501,18.68
2018-03-29 01:48:43,2458206.575,untrusted
2018-03-29 06:02:22,2458206.752,18.66
2018-03-29 07:48:56,2458206.826,18.69
2018-06-01 19:47:35,2458271.325,18.68
2018-06-02 00:01:23,2458271.501,null
2018-06-02 01:47:50,2458271.575,18.66
