Gaia19enm
#Date,JD,averagemag.
2014-09-09 06:49:19,2456909.784,untrusted
2014-10-13 09:56:57,2456943.915,untrusted
2015-02-27 11:12:28,2457080.967,null
2015-03-26 21:14:33,2457108.385,19.34
2015-03-26 23:01:08,2457108.459,19.26
2015-04-19 23:01:09,2457132.459,null
2015-04-20 03:14:34,2457132.635,19.27
2015-09-01 15:43:52,2457267.155,19.34
2015-09-01 17:30:26,2457267.229,19.33
2015-10-02 03:20:04,2457297.639,19.37
2015-10-23 09:16:31,2457318.886,null
2015-10-23 11:02:40,2457318.960,null
2016-03-08 22:35:53,2457456.442,19.31
2016-04-10 10:15:17,2457488.927,null
2016-04-10 12:02:03,2457489.001,null
2016-04-28 12:09:52,2457507.007,null
2016-04-28 16:23:38,2457507.183,null
2016-09-11 16:52:47,2457643.203,19.29
2016-10-16 04:15:03,2457677.677,null
2016-10-31 10:18:51,2457692.930,19.32
2016-10-31 12:05:25,2457693.004,19.30
2017-01-31 20:02:55,2457785.335,19.30
2017-02-01 00:16:36,2457785.512,19.35
2017-02-01 02:03:29,2457785.586,null
2017-02-10 01:46:38,2457794.574,19.28
2017-02-10 03:33:13,2457794.648,19.34
2017-03-19 13:09:25,2457832.048,untrusted
2017-04-28 12:42:38,2457872.030,19.29
2017-04-28 14:29:13,2457872.104,untrusted
2017-04-28 18:42:54,2457872.280,19.30
2017-04-28 20:29:29,2457872.354,19.30
2017-04-29 00:43:10,2457872.530,19.29
2017-04-29 02:29:45,2457872.604,19.31
2017-05-04 08:35:10,2457877.858,null
2017-05-04 12:48:35,2457878.034,19.36
2017-05-04 14:35:10,2457878.108,19.33
2017-05-04 18:48:51,2457878.284,19.27
2017-05-04 20:35:25,2457878.358,19.26
2017-05-05 00:49:06,2457878.534,19.32
2017-05-05 02:35:41,2457878.608,19.27
2017-08-04 01:51:57,2457969.578,19.29
2017-08-04 03:38:31,2457969.652,19.30
2017-08-04 07:52:14,2457969.828,null
2017-08-04 09:38:58,2457969.902,null
2017-08-15 19:59:10,2457981.333,19.28
2017-08-15 21:45:44,2457981.407,19.33
2017-08-16 01:59:23,2457981.583,19.26
2017-09-22 13:23:52,2458019.058,19.29
2017-09-22 15:10:25,2458019.132,19.27
2017-11-01 20:21:03,2458059.348,null
2017-11-02 00:34:47,2458059.524,null
2017-11-02 02:21:31,2458059.598,null
2017-11-02 06:34:40,2458059.774,null
2017-11-06 12:38:05,2458064.026,null
2017-11-06 14:24:49,2458064.101,null
2017-11-06 18:38:16,2458064.277,19.31
2017-11-06 20:24:50,2458064.351,untrusted
2017-11-07 02:25:03,2458064.601,19.33
2018-02-08 14:40:03,2458158.111,19.31
2018-02-08 16:26:38,2458158.185,19.29
2018-03-30 08:20:59,2458207.848,19.25
2018-08-12 04:42:56,2458342.696,null
2018-08-12 08:56:30,2458342.873,19.37
2018-08-12 10:43:04,2458342.947,19.34
2018-09-01 20:58:07,2458363.374,19.26
2018-09-01 22:45:08,2458363.448,null
2018-10-03 08:31:59,2458394.856,19.39
2019-02-17 17:32:37,2458532.231,null
2019-02-17 21:45:58,2458532.407,19.30
2019-03-12 09:44:28,2458554.906,19.28
2019-03-12 11:31:03,2458554.980,19.30
2019-04-09 21:32:17,2458583.397,19.28
2019-04-09 23:18:52,2458583.471,19.29
2019-08-22 20:09:03,2458718.340,null
2019-08-22 21:55:30,2458718.414,19.14
2019-09-15 14:55:10,2458742.122,18.90
2019-09-15 16:41:44,2458742.196,18.89
2019-10-14 04:00:15,2458770.667,17.39
2019-10-14 05:46:49,2458770.741,17.38
2020-02-18 19:37:18,2458898.318,19.28
2020-02-18 21:23:53,2458898.392,untrusted
2020-03-15 08:37:25,2458923.859,19.27
2020-04-10 05:27:10,2458949.727,19.30

