Gaia19enn
#Date,JD,averagemag.
2014-11-26 10:18:28,2456987.929,null
2015-02-11 15:24:00,2457065.142,null
2015-02-11 19:37:45,2457065.318,null
2015-02-11 21:23:55,2457065.392,null
2015-02-12 01:37:39,2457065.568,null
2015-02-12 03:24:24,2457065.642,null
2015-02-12 07:38:09,2457065.818,null
2015-02-12 09:24:19,2457065.892,null
2015-02-12 13:38:03,2457066.068,null
2015-02-12 15:24:48,2457066.142,null
2015-02-12 19:38:33,2457066.318,null
2015-02-13 01:38:27,2457066.568,null
2015-02-19 01:43:51,2457072.572,null
2015-02-19 07:43:46,2457072.822,null
2015-02-19 09:30:31,2457072.896,null
2015-02-19 13:44:15,2457073.072,null
2015-02-19 15:31:00,2457073.147,null
2015-02-19 19:44:10,2457073.322,null
2015-02-19 21:30:55,2457073.396,null
2015-02-20 01:44:40,2457073.573,null
2015-02-20 03:31:24,2457073.647,null
2015-02-20 09:31:19,2457073.897,null
2015-04-20 13:37:36,2457133.068,null
2015-04-20 15:23:46,2457133.142,null
2015-05-17 13:36:48,2457160.067,null
2015-05-17 15:23:33,2457160.141,null
2015-06-16 21:10:07,2457190.382,null
2015-07-28 06:26:23,2457231.768,null
2015-07-28 08:13:09,2457231.842,null
2015-08-08 14:20:31,2457243.098,null
2015-08-08 18:34:17,2457243.274,null
2015-09-26 04:52:40,2457291.703,null
2015-09-26 06:38:49,2457291.777,null
2015-09-26 10:52:34,2457291.953,null
2015-09-26 12:39:19,2457292.027,null
2015-10-03 12:44:16,2457299.031,null
2015-10-03 16:58:00,2457299.207,null
2015-10-03 18:44:45,2457299.281,null
2015-11-14 21:43:30,2457341.405,null
2015-12-10 09:28:17,2457366.895,null
2015-12-10 11:15:01,2457366.969,null
2016-01-07 15:11:59,2457395.133,null
2016-01-07 16:58:44,2457395.207,null
2016-05-01 08:48:57,2457509.867,null
2016-05-01 10:35:07,2457509.941,null
2016-05-31 14:38:17,2457540.110,null
2016-05-31 16:25:02,2457540.184,null
2016-06-27 04:17:41,2457566.679,null
2016-08-10 13:23:19,2457611.058,null
2016-08-10 15:10:04,2457611.132,null
2016-08-10 19:23:49,2457611.308,null
2016-08-10 21:10:35,2457611.382,null
2016-08-17 07:29:29,2457617.812,null
2016-08-17 09:15:39,2457617.886,null
2016-08-17 13:29:24,2457618.062,null
2016-08-17 15:16:10,2457618.136,null
2016-10-04 23:46:59,2457666.491,null
2016-10-05 01:33:44,2457666.565,null
2016-10-16 11:52:58,2457677.995,null
2016-10-16 13:39:42,2457678.069,null
2016-11-24 16:48:31,2457717.200,null
2016-12-23 16:26:30,2457746.185,null
2016-12-23 18:13:15,2457746.259,null
2017-01-17 22:21:40,2457771.432,null
2017-01-18 00:07:50,2457771.505,null
2017-03-17 01:18:24,2457829.554,null
2017-03-17 05:32:09,2457829.731,null
2017-03-17 07:18:54,2457829.805,null
2017-03-17 11:32:40,2457829.981,null
2017-03-17 13:18:50,2457830.055,null
2017-03-17 17:32:35,2457830.231,null
2017-03-17 19:19:20,2457830.305,null
2017-03-17 23:33:05,2457830.481,null
2017-03-18 01:19:15,2457830.555,null
2017-03-18 05:33:01,2457830.731,null
2017-03-26 05:40:31,2457838.736,null
2017-03-26 11:40:26,2457838.986,null
2017-03-26 13:27:12,2457839.061,null
2017-03-26 17:40:57,2457839.237,null
2017-03-26 19:27:07,2457839.310,null
2017-03-26 23:40:53,2457839.487,null
2017-03-27 01:27:38,2457839.561,null
2017-03-27 05:41:23,2457839.737,null
2017-03-27 07:27:33,2457839.811,null
2017-05-13 05:22:40,2457886.724,null
2017-06-15 06:47:10,2457919.783,null
2017-07-08 06:46:20,2457942.782,null
2017-07-08 11:00:06,2457942.958,null
2017-08-25 03:42:41,2457990.655,null
2017-08-25 09:43:11,2457990.905,null
2017-08-25 11:29:21,2457990.979,null
2017-08-25 15:43:06,2457991.155,null
2017-08-25 17:29:51,2457991.229,null
2017-08-25 21:43:36,2457991.405,null
2017-08-25 23:29:46,2457991.479,null
2017-08-26 03:43:32,2457991.655,null
2017-08-26 05:30:17,2457991.729,null
2017-08-26 09:44:02,2457991.906,null
2017-08-26 11:30:12,2457991.979,null
2017-08-26 15:43:57,2457992.156,null
2017-08-26 21:44:27,2457992.406,null
2017-10-14 21:53:05,2458041.412,null
2017-10-30 03:56:45,2458056.664,null
2017-10-30 08:10:29,2458056.841,null
2017-12-05 13:16:55,2458093.053,null
2017-12-05 15:03:39,2458093.128,null
2018-01-07 14:35:57,2458126.108,null
2018-01-29 06:53:45,2458147.787,null
2018-01-29 08:39:54,2458147.861,null
2018-03-28 08:29:20,2458205.854,null
2018-03-28 12:43:05,2458206.030,null
2018-03-28 14:29:50,2458206.104,null
2018-03-28 18:43:36,2458206.280,null
2018-04-15 06:54:29,2458223.788,null
2018-04-15 08:41:14,2458223.862,null
2018-04-15 12:55:00,2458224.038,null
2018-04-15 14:41:10,2458224.112,null
2018-05-24 20:19:52,2458263.347,null
2018-05-25 00:33:38,2458263.523,null
2018-06-29 19:46:22,2458299.324,null
2018-07-19 06:03:31,2458318.752,null
2018-10-25 03:06:36,2458416.630,null
2018-10-25 04:52:46,2458416.703,null
2018-11-12 22:51:50,2458435.453,null
2018-12-16 14:24:06,2458469.100,null
2018-12-16 16:10:51,2458469.174,null
2019-01-23 19:53:56,2458507.329,null
2019-01-23 21:40:41,2458507.403,null
2019-01-24 01:54:25,2458507.579,null
2019-02-09 08:03:16,2458523.836,null
2019-02-09 09:50:00,2458523.910,null
2019-02-09 14:03:45,2458524.086,null
2019-02-09 15:49:55,2458524.160,null
2019-04-09 01:54:09,2458582.579,null
2019-04-09 03:40:54,2458582.653,null
2019-05-02 02:01:35,2458605.584,null
2019-05-02 03:48:21,2458605.659,null
2019-06-05 13:42:56,2458640.071,null
2019-06-05 15:29:41,2458640.146,null
2019-07-14 06:58:06,2458678.790,null
