Gaia19ewg
#Date,JD,averagemag.
2014-09-19 23:52:45,2456920.495,untrusted
2014-09-20 04:06:25,2456920.671,untrusted
2014-09-20 05:52:59,2456920.745,untrusted
2014-09-20 10:06:38,2456920.921,untrusted
2014-09-20 11:53:12,2456920.995,untrusted
2014-10-15 19:12:42,2456946.300,untrusted
2014-10-15 20:59:16,2456946.374,untrusted
2014-11-11 13:06:54,2456973.046,20.09
2014-11-11 14:53:28,2456973.120,20.16
2015-01-17 11:43:12,2457039.988,20.00
2015-01-30 23:47:31,2457053.491,19.97
2015-01-31 01:34:05,2457053.565,19.90
2015-03-16 10:09:25,2457097.923,20.06
2015-03-16 11:55:59,2457097.997,20.01
2015-03-26 22:16:13,2457108.428,untrusted
2015-03-27 00:02:48,2457108.502,20.10
2015-05-07 15:09:03,2457150.131,null
2015-05-07 16:55:13,2457150.205,null
2015-06-03 04:47:22,2457176.700,20.39
2015-07-04 10:35:33,2457207.941,untrusted
2015-08-23 08:32:35,2457257.856,null
2015-08-23 10:18:45,2457257.930,null
2015-08-23 14:32:31,2457258.106,null
2015-08-23 16:19:16,2457258.180,null
2015-08-23 22:19:10,2457258.430,20.31
2015-09-07 16:30:18,2457273.188,20.35
2015-09-07 20:44:22,2457273.364,null
2015-09-07 22:30:32,2457273.438,null
2015-09-08 02:44:17,2457273.614,null
2015-09-08 04:31:02,2457273.688,null
2015-10-27 16:08:40,2457323.173,null
2015-11-25 20:05:44,2457352.337,20.07
2015-11-25 21:52:50,2457352.412,null
2016-01-30 08:24:19,2457417.850,19.95
2016-02-10 06:43:41,2457428.780,20.11
2016-02-10 08:30:15,2457428.854,20.14
2016-03-25 18:52:27,2457473.286,20.25
2016-03-25 23:06:07,2457473.463,20.30
2016-04-08 05:12:35,2457486.717,20.44
2016-04-08 06:59:10,2457486.791,20.43
2016-05-18 00:02:16,2457526.502,20.25
2016-06-17 04:02:50,2457556.669,null
2016-06-17 05:49:15,2457556.743,20.36
2016-07-15 17:46:54,2457585.241,20.27
2016-07-15 22:00:35,2457585.417,20.30
2016-09-07 09:46:17,2457638.907,null
2016-09-07 11:33:02,2457638.981,null
2016-09-07 15:46:47,2457639.157,null
2016-09-07 17:32:57,2457639.231,null
2016-09-24 09:57:22,2457655.915,20.31
2016-09-24 11:43:55,2457655.989,20.30
2016-09-24 15:57:35,2457656.165,20.37
2016-09-24 17:44:09,2457656.239,20.40
2016-11-07 09:30:42,2457699.896,20.05
2016-11-07 11:17:16,2457699.970,19.99
2016-12-08 16:49:25,2457731.201,19.84
2016-12-31 08:53:54,2457753.871,19.65
2016-12-31 10:40:34,2457753.945,null
2017-02-10 20:54:44,2457795.371,19.78
2017-02-10 22:41:18,2457795.445,19.69
2017-02-11 02:54:58,2457795.622,null
2017-02-19 15:00:45,2457804.126,19.60
2017-02-19 16:47:19,2457804.200,19.61
2017-04-05 07:27:19,2457848.811,untrusted
2017-04-05 09:13:54,2457848.885,19.74
2017-04-21 19:32:13,2457865.314,19.62
2017-04-21 21:18:48,2457865.388,19.29
2017-05-29 14:33:13,2457903.106,19.79
2017-05-29 18:46:54,2457903.283,20.04
2017-07-02 18:29:09,2457937.270,19.77
2017-07-02 20:15:43,2457937.344,19.75
2017-07-28 06:34:37,2457962.774,19.94
2017-07-28 08:21:12,2457962.848,19.94
2017-07-28 12:35:05,2457963.024,null
2017-09-21 06:20:36,2458017.764,untrusted
2017-09-21 08:07:10,2458017.838,untrusted
2017-10-11 20:15:59,2458038.344,20.04
2017-10-12 00:29:38,2458038.521,20.03
2017-11-18 19:47:35,2458076.325,untrusted
2017-12-22 05:21:28,2458109.723,null
2017-12-22 07:08:02,2458109.797,19.90
2018-03-02 09:54:39,2458179.913,19.82
2018-03-02 11:41:14,2458179.987,untrusted
2018-03-02 15:54:54,2458180.163,19.87
2018-03-02 17:41:28,2458180.237,untrusted
2018-04-15 22:14:59,2458224.427,untrusted
2018-06-10 13:56:24,2458280.081,untrusted
2018-07-19 01:35:53,2458318.567,19.80
2018-07-19 03:22:27,2458318.641,19.88
2018-08-10 01:46:33,2458340.574,19.89
2018-08-10 03:33:08,2458340.648,untrusted
2018-08-10 07:46:48,2458340.824,19.90
2018-10-03 19:31:16,2458395.313,19.72
2018-10-03 21:17:50,2458395.387,19.87
2018-10-04 01:31:29,2458395.564,19.86
2018-10-27 19:34:16,2458419.315,19.95
2018-10-27 21:20:50,2458419.389,19.97
2018-11-30 01:08:04,2458452.547,null
2018-11-30 02:54:39,2458452.621,untrusted
2019-01-04 14:03:22,2458488.086,20.24
2019-03-06 00:29:35,2458548.521,20.02
2019-03-06 04:43:16,2458548.697,20.00
2019-03-06 06:29:50,2458548.771,untrusted
2019-03-14 10:49:22,2458556.951,20.16
2019-03-14 12:35:56,2458557.025,null
2019-04-26 17:18:19,2458600.221,20.16
2019-04-26 21:32:00,2458600.397,20.20
2019-05-19 21:29:12,2458623.395,19.91
2019-05-19 23:15:47,2458623.469,19.89
2019-06-22 10:53:06,2458656.954,19.90
2019-06-22 15:06:47,2458657.130,19.82
2019-07-24 16:43:27,2458689.197,19.75
2019-07-24 18:30:02,2458689.271,19.66
2019-09-08 19:44:12,2458735.322,19.03
2019-09-08 21:30:46,2458735.396,19.05
2019-09-09 01:44:26,2458735.573,19.07
2019-09-09 03:31:00,2458735.647,19.09
2019-09-17 13:54:15,2458744.079,19.22
2019-09-17 15:40:49,2458744.153,19.19
2019-09-17 19:54:29,2458744.330,19.22
2019-10-30 16:32:50,2458787.189,18.76
2019-10-30 18:19:24,2458787.263,18.78
2019-11-22 05:19:22,2458809.722,19.80
2019-11-22 07:05:56,2458809.796,19.77
2019-12-23 18:42:52,2458841.280,19.52
2019-12-23 20:29:26,2458841.354,19.48
2020-02-03 10:11:01,2458882.924,19.65
2020-02-03 14:24:40,2458883.100,19.63
2020-02-03 16:11:14,2458883.174,untrusted
2020-02-03 20:24:54,2458883.351,19.60
2020-02-20 08:44:59,2458899.865,19.27
2020-02-20 10:31:33,2458899.939,19.32
2020-02-20 14:45:13,2458900.115,19.31
2020-02-20 16:31:47,2458900.189,19.31
2020-04-12 16:42:51,2458952.196,19.79
2020-04-12 18:29:26,2458952.270,19.86
2020-05-10 07:27:31,2458979.811,19.60

