Gaia19exy
#Date,JD,averagemag.
2014-09-26 12:55:56,2456927.039,untrusted
2014-11-04 23:51:24,2456966.494,null
2014-11-29 17:42:35,2456991.238,13.52
2014-12-31 01:06:39,2457022.546,13.55
2015-02-07 04:56:54,2457060.706,13.56
2015-02-07 06:43:28,2457060.780,13.55
2015-03-03 17:02:04,2457085.210,13.56
2015-03-03 18:48:38,2457085.284,13.55
2015-03-03 23:02:18,2457085.460,13.56
2015-04-15 00:23:36,2457127.516,13.55
2015-05-15 18:09:31,2457158.257,13.54
2015-06-14 04:06:34,2457187.671,13.60
2015-06-14 05:53:08,2457187.745,13.59
2015-07-23 10:55:17,2457226.955,null
2015-08-10 10:57:58,2457244.957,null
2015-09-22 01:49:49,2457287.576,null
2015-09-22 03:36:34,2457287.650,null
2015-10-09 03:39:50,2457304.653,13.59
2015-11-16 06:56:09,2457342.789,13.61
2015-12-13 06:43:28,2457369.780,13.58
2015-12-13 08:30:02,2457369.854,13.57
2016-01-12 00:29:19,2457399.520,13.55
2016-01-12 02:15:54,2457399.594,13.55
2016-02-21 18:05:51,2457440.254,13.57
2016-02-21 19:52:26,2457440.328,13.57
2016-03-17 07:57:36,2457464.832,13.60
2016-03-17 12:11:16,2457465.008,13.61
2016-04-26 13:32:01,2457505.064,13.59
2016-05-29 05:23:26,2457537.725,null
2016-06-24 23:11:31,2457564.466,null
2016-06-25 00:57:40,2457564.540,null
2016-08-04 16:06:17,2457605.171,null
2016-08-04 17:52:27,2457605.245,null
2016-08-21 04:09:44,2457621.673,null
2016-08-21 05:56:29,2457621.748,null
2016-10-02 10:36:25,2457663.942,null
2016-10-02 14:49:36,2457664.118,null
2016-10-21 02:51:18,2457682.619,null
2016-10-21 04:38:03,2457682.693,null
2016-11-26 14:02:28,2457719.085,null
2016-11-26 15:49:13,2457719.159,null
2016-12-26 01:45:59,2457748.574,null
2016-12-26 03:32:44,2457748.648,null
2017-01-23 07:39:19,2457776.819,null
2017-01-23 09:25:29,2457776.893,null
2017-03-06 20:38:18,2457819.360,null
2017-03-06 22:25:03,2457819.434,null
2017-04-01 08:41:28,2457844.862,null
2017-04-01 10:28:13,2457844.936,null
2017-05-09 02:16:22,2457882.595,null
2017-06-12 09:31:13,2457916.897,null
2017-07-06 19:37:04,2457941.317,null
2017-07-06 21:23:49,2457941.392,null
2017-08-17 12:25:29,2457983.018,null
2017-09-02 02:16:51,2457998.595,null
2017-10-13 17:13:05,2458040.217,null
2017-10-13 18:59:50,2458040.292,null
2017-11-03 05:12:10,2458060.717,13.64
2017-11-03 06:58:45,2458060.791,13.63
2017-12-08 00:18:39,2458095.513,13.63
2018-01-09 05:58:37,2458127.749,13.64
2018-02-04 22:11:10,2458154.424,13.62
2018-02-04 23:57:45,2458154.498,13.63
2018-03-20 09:47:33,2458197.908,13.64
2018-03-20 11:34:07,2458197.982,13.63
2018-04-16 11:33:15,2458224.981,13.63
2018-05-21 05:09:39,2458259.715,13.63
2018-06-26 10:29:15,2458295.937,13.63
2018-07-18 14:39:21,2458318.111,13.65
2018-08-29 19:22:21,2458360.307,13.63
2018-08-29 21:08:55,2458360.381,13.63
2018-09-14 07:27:17,2458375.811,13.63
2018-09-14 09:13:51,2458375.885,13.63
2018-10-25 00:16:06,2458416.511,null
2018-11-16 12:11:17,2458439.008,13.64
2018-11-16 13:57:51,2458439.082,13.64
2018-12-19 13:26:40,2458472.060,13.64
2018-12-19 17:40:21,2458472.236,13.64
2019-01-23 17:17:54,2458507.221,13.63
2019-01-23 19:04:29,2458507.295,13.63
2019-02-18 01:07:31,2458532.547,13.63
2019-02-18 05:21:11,2458532.723,13.63
2019-04-02 10:56:50,2458575.956,13.65
2019-04-02 12:43:24,2458576.030,13.63
2019-05-01 06:36:35,2458604.775,13.63
2019-05-01 10:50:30,2458604.952,null
2019-06-02 10:29:42,2458636.937,13.63
2019-06-02 12:16:16,2458637.011,13.65
2019-07-10 05:26:49,2458674.727,13.64
2019-07-27 17:48:42,2458692.242,13.62
2019-07-27 19:35:16,2458692.316,13.63
2019-08-23 12:34:42,2458719.024,13.56
2019-08-23 14:21:16,2458719.098,13.56
2019-10-06 22:08:43,2458763.423,13.46
2019-10-07 02:22:24,2458763.599,13.47
2019-11-04 09:23:55,2458791.892,13.46
2019-11-04 11:10:30,2458791.966,13.46
2019-12-04 18:29:37,2458822.271,13.51
2019-12-04 22:43:18,2458822.447,13.49
2020-01-09 12:42:53,2458858.030,13.50
2020-01-28 01:19:08,2458876.555,13.51
2020-03-08 15:58:22,2458917.166,13.55
2020-03-08 17:44:56,2458917.240,13.61
2020-03-24 10:24:02,2458932.933,13.56
2020-03-24 12:10:36,2458933.007,13.55
2020-05-03 06:43:42,2458972.780,13.60
2020-05-03 08:30:15,2458972.854,13.60

