Gaia19ezi
#Date,JD,averagemag.
2014-08-17 10:56:40,2456886.956,null
2014-08-17 15:10:26,2456887.132,null
2014-08-17 16:57:12,2456887.206,null
2014-08-17 21:10:58,2456887.383,null
2014-08-17 22:57:08,2456887.456,null
2014-08-18 03:10:54,2456887.633,null
2014-08-18 04:57:39,2456887.707,null
2014-08-18 09:11:25,2456887.883,null
2014-08-26 21:20:19,2456896.389,null
2014-08-26 23:07:04,2456896.463,null
2014-08-27 03:20:50,2456896.639,null
2014-08-27 05:07:35,2456896.714,null
2014-08-27 09:20:46,2456896.889,null
2014-08-27 11:07:31,2456896.964,null
2014-08-27 15:21:17,2456897.140,null
2014-08-27 17:08:02,2456897.214,null
2014-08-27 21:21:48,2456897.390,null
2014-08-27 23:07:58,2456897.464,null
2014-08-28 03:21:44,2456897.640,null
2014-08-28 05:08:29,2456897.714,null
2014-08-28 09:22:15,2456897.890,null
2014-08-28 11:08:25,2456897.964,null
2014-08-28 17:08:56,2456898.215,null
2014-08-28 23:08:52,2456898.464,null
2014-08-29 05:09:23,2456898.715,null
2014-08-29 11:09:19,2456898.965,null
2014-08-29 17:09:50,2456899.215,null
2014-08-29 23:10:21,2456899.466,null
2014-08-30 05:10:17,2456899.715,null
2014-08-30 11:10:48,2456899.966,null
2014-08-30 17:10:44,2456900.216,null
2014-08-30 21:24:29,2456900.392,null
2014-08-30 23:11:15,2456900.466,null
2014-08-31 03:25:00,2456900.642,null
2014-08-31 05:11:11,2456900.716,null
2014-08-31 09:24:56,2456900.892,null
2014-08-31 11:11:42,2456900.966,null
2014-08-31 15:25:27,2456901.143,null
2014-08-31 17:11:37,2456901.216,null
2014-08-31 21:25:23,2456901.393,null
2014-08-31 23:12:08,2456901.467,null
2015-01-18 06:12:42,2457040.759,19.48
2015-01-18 07:59:16,2457040.833,untrusted
2015-02-06 06:10:43,2457059.757,19.42
2015-02-06 07:57:17,2457059.831,19.42
2015-05-13 02:52:04,2457155.619,19.32
2015-05-13 04:38:39,2457155.694,null
2015-05-27 15:00:00,2457170.125,null
2015-05-27 16:46:46,2457170.199,null
2015-07-04 14:19:25,2457208.097,19.63
2015-07-04 16:06:00,2457208.171,19.50
2015-08-11 19:58:36,2457246.332,null
2015-08-11 21:44:46,2457246.406,null
2015-08-27 21:55:41,2457262.414,19.41
2015-08-28 02:09:22,2457262.590,19.56
2015-08-28 03:56:24,2457262.664,null
2015-08-28 08:09:37,2457262.840,19.59
2015-11-06 14:19:24,2457333.097,19.63
2015-11-06 16:05:58,2457333.171,19.59
2015-11-06 20:19:38,2457333.347,19.48
2015-11-06 22:06:38,2457333.421,null
2015-11-20 22:14:22,2457347.427,19.49
2015-11-21 02:28:01,2457347.603,19.69
2015-11-21 04:14:35,2457347.677,19.57
2015-12-28 01:55:59,2457384.581,19.49
2016-02-01 07:07:12,2457419.797,19.62
2016-02-15 14:57:20,2457434.123,19.67
2016-02-15 19:10:59,2457434.299,untrusted
2016-05-21 23:40:24,2457530.486,untrusted
2016-06-10 09:58:07,2457549.915,null
2016-06-10 11:44:52,2457549.989,null
2016-07-15 03:30:42,2457584.646,null
2016-07-15 05:17:28,2457584.720,null
2016-11-15 03:27:32,2457707.644,null
2016-11-15 05:14:17,2457707.718,null
2016-11-15 09:28:01,2457707.894,null
2016-11-15 11:14:46,2457707.969,null
2016-12-06 11:16:47,2457728.970,null
2017-01-06 16:49:50,2457760.201,null
2017-02-14 15:24:25,2457799.142,null
2017-02-14 17:11:09,2457799.216,null
2017-02-23 09:30:09,2457807.896,null
2017-02-23 11:16:53,2457807.970,null
2017-06-01 08:07:47,2457905.839,null
2017-06-01 12:21:33,2457906.015,null
2017-06-25 06:19:47,2457929.764,null
2017-06-25 08:05:57,2457929.837,null
2017-07-26 18:05:18,2457961.254,null
2017-11-25 17:59:03,2458083.249,19.69
2017-11-25 19:45:50,2458083.323,null
2017-12-21 07:37:26,2458108.818,null
2018-01-17 05:32:02,2458135.731,null
2018-01-17 07:18:47,2458135.805,null
2018-06-12 07:28:42,2458281.812,19.53
2018-08-07 03:02:57,2458337.627,untrusted
2018-08-07 07:16:38,2458337.803,19.07
2018-12-06 13:07:58,2458459.047,19.00
2018-12-06 14:54:32,2458459.121,18.92
2019-01-04 12:46:30,2458488.032,untrusted
2019-01-04 14:33:04,2458488.106,19.02
2019-01-27 12:36:31,2458511.025,19.23
2019-01-27 14:23:18,2458511.100,null
2019-05-04 11:09:39,2458607.965,19.16
2019-05-04 15:23:20,2458608.141,19.05
2019-05-04 17:09:54,2458608.215,19.11
2019-05-12 09:29:53,2458615.896,19.07
2019-05-12 11:16:28,2458615.970,18.87
2019-05-12 15:30:08,2458616.146,18.91
2019-05-12 17:16:43,2458616.220,19.04
2019-06-23 10:24:29,2458657.934,null
2019-07-31 12:23:54,2458696.017,null
2019-11-06 22:56:12,2458794.456,18.47
2019-11-07 00:42:46,2458794.530,18.43
2019-11-07 04:56:25,2458794.706,18.41
2019-11-07 06:42:59,2458794.780,18.36
2019-11-15 05:05:03,2458802.712,18.35
2019-11-15 06:51:54,2458802.786,null
2019-11-15 11:05:16,2458802.962,18.48
2019-12-24 13:13:24,2458842.051,18.12
2019-12-24 14:59:57,2458842.125,18.10
2020-01-24 10:17:27,2458872.929,18.15
2020-01-24 14:31:06,2458873.105,18.22
2020-02-14 21:05:51,2458894.379,null
2020-02-14 22:52:19,2458894.453,18.23

