Gaia19fbg
#Date,JD,averagemag.
2014-11-01 08:06:30,2456962.838,18.51
2014-11-01 09:53:04,2456962.912,18.49
2014-11-20 03:52:40,2456981.662,18.46
2015-04-30 08:05:18,2457142.837,null
2015-04-30 09:52:03,2457142.911,null
2015-05-22 20:08:59,2457165.340,18.44
2015-05-22 21:55:34,2457165.414,untrusted
2015-06-22 01:55:19,2457195.580,null
2015-06-22 03:42:05,2457195.654,null
2015-11-10 21:11:22,2457337.383,18.46
2015-11-10 22:57:55,2457337.457,18.47
2015-12-04 21:00:29,2457361.375,untrusted
2015-12-31 02:44:14,2457387.614,untrusted
2015-12-31 04:30:47,2457387.688,18.41
2016-05-09 15:15:25,2457518.136,18.47
2016-07-01 16:51:55,2457571.203,null
2016-07-01 21:05:42,2457571.379,null
2016-11-19 22:18:00,2457712.429,18.40
2016-11-20 00:04:33,2457712.503,18.43
2016-12-18 09:54:58,2457740.913,18.45
2017-01-08 21:51:37,2457762.411,18.48
2017-05-20 07:35:41,2457893.816,18.53
2017-06-21 17:30:07,2457926.229,18.48
2017-06-21 19:16:42,2457926.303,18.55
2017-07-11 17:35:22,2457946.233,18.53
2017-07-11 19:21:56,2457946.307,18.52
2017-11-30 06:48:10,2458087.783,18.52
2017-11-30 08:34:47,2458087.857,null
2018-01-02 14:00:08,2458121.083,18.57
2018-01-02 18:13:47,2458121.260,18.55
2018-01-17 06:19:08,2458135.763,18.58
2018-01-17 08:05:42,2458135.837,18.58
2018-01-17 12:19:44,2458136.014,null
2018-05-31 08:47:33,2458269.866,untrusted
2018-07-07 18:29:59,2458307.271,18.54
2018-07-07 20:16:34,2458307.345,18.57
2018-07-20 08:25:26,2458319.851,18.56
2018-07-20 12:39:07,2458320.027,18.54
2018-07-20 14:25:42,2458320.101,18.53
2018-10-24 08:33:48,2458415.857,untrusted
2018-10-24 10:20:22,2458415.931,18.46
2018-11-05 02:39:53,2458427.611,null
2018-11-05 04:26:07,2458427.685,18.39
2018-11-05 08:39:46,2458427.861,18.49
2018-12-10 19:56:25,2458463.331,18.48
2019-04-21 16:12:55,2458595.176,18.37
2019-04-21 20:26:37,2458595.352,18.38
2019-04-21 22:13:11,2458595.426,18.37
2019-05-06 20:36:15,2458610.359,18.38
2019-05-06 22:22:49,2458610.433,untrusted
2019-06-11 09:59:16,2458645.916,untrusted
2019-10-25 13:14:49,2458782.052,18.18
2019-10-25 17:28:28,2458782.228,18.20
2019-10-25 19:15:01,2458782.302,18.19
2019-11-09 19:34:36,2458797.316,18.20
2019-11-09 23:48:15,2458797.492,18.17
2019-12-13 07:16:08,2458830.803,18.27
2019-12-13 09:02:41,2458830.877,18.24

