Gaia19fbm
#Date,JD,averagemag.
2014-09-20 02:56:18,2456920.622,untrusted
2014-09-27 12:21:39,2456928.015,untrusted
2014-10-27 12:10:01,2456958.007,18.82
2014-10-27 13:56:36,2456958.081,18.84
2014-12-29 07:47:57,2457020.825,untrusted
2014-12-29 12:01:36,2457021.001,untrusted
2014-12-29 13:48:10,2457021.075,untrusted
2014-12-29 18:01:50,2457021.251,untrusted
2014-12-29 19:48:24,2457021.325,untrusted
2015-02-14 07:23:35,2457067.808,18.78
2015-03-15 23:19:10,2457097.472,18.78
2015-03-16 01:05:44,2457097.546,18.78
2015-04-11 05:05:53,2457123.712,null
2015-05-22 17:40:05,2457165.236,18.81
2015-05-22 21:53:44,2457165.412,18.76
2015-06-03 10:00:01,2457176.917,18.78
2015-06-03 11:46:43,2457176.991,null
2015-07-19 20:25:49,2457223.351,18.80
2015-07-19 22:12:23,2457223.425,18.84
2015-08-03 10:19:16,2457237.930,null
2015-09-12 03:24:21,2457277.642,18.79
2015-09-12 07:38:02,2457277.818,18.85
2015-10-12 03:10:01,2457307.632,null
2015-11-08 07:20:49,2457334.806,18.80
2015-11-08 09:07:24,2457334.880,18.82
2015-12-28 13:03:19,2457385.044,null
2015-12-28 14:50:04,2457385.118,null
2015-12-28 19:03:14,2457385.294,null
2015-12-28 20:49:59,2457385.368,null
2016-01-15 02:59:59,2457402.625,untrusted
2016-01-15 07:13:38,2457402.801,18.81
2016-01-15 09:00:12,2457402.875,18.85
2016-01-15 13:13:52,2457403.051,18.81
2016-02-26 00:45:39,2457444.532,18.83
2016-03-29 00:16:30,2457476.511,18.86
2016-03-29 02:03:04,2457476.585,18.85
2016-04-21 06:09:15,2457499.756,null
2016-04-21 07:55:33,2457499.830,18.93
2016-06-03 22:49:17,2457543.451,null
2016-06-04 00:35:27,2457543.525,null
2016-06-13 10:55:17,2457552.955,null
2016-06-13 12:42:02,2457553.029,null
2016-07-29 17:11:54,2457599.217,null
2016-07-29 21:25:39,2457599.393,null
2016-08-16 09:30:19,2457616.896,null
2016-08-16 11:17:04,2457616.970,null
2016-09-22 16:32:55,2457654.190,null
2016-10-26 02:27:27,2457687.602,null
2016-10-26 04:13:37,2457687.676,null
2016-11-19 08:32:00,2457711.856,null
2016-11-19 10:18:45,2457711.930,null
2017-01-09 20:14:42,2457763.344,null
2017-01-09 22:01:27,2457763.418,null
2017-01-30 16:08:42,2457784.173,null
2017-01-30 20:21:51,2457784.349,null
2017-03-08 09:16:10,2457820.886,null
2017-03-08 11:02:54,2457820.960,null
2017-04-11 22:21:59,2457855.432,null
2017-05-02 02:33:54,2457875.607,null
2017-05-02 04:20:04,2457875.681,null
2017-06-16 08:53:12,2457920.870,null
2017-06-16 13:06:22,2457921.046,null
2017-06-25 01:12:52,2457929.551,null
2017-06-25 02:59:37,2457929.625,null
2017-06-25 07:12:47,2457929.801,null
2017-06-25 08:59:32,2457929.875,null
2017-08-09 17:50:00,2457975.243,null
2017-08-09 19:36:46,2457975.317,null
2017-10-04 07:05:00,2458030.795,null
2017-11-10 16:55:59,2458068.206,18.94
2017-11-10 18:42:34,2458068.280,18.95
2017-11-10 22:56:14,2458068.456,19.00
2017-12-01 12:52:12,2458089.036,18.96
2017-12-01 17:05:52,2458089.212,18.95
2017-12-01 18:52:26,2458089.286,18.97
2018-01-21 22:47:06,2458140.449,18.92
2018-01-22 00:33:40,2458140.523,18.91
2018-01-22 04:47:18,2458140.700,null
2018-02-15 04:48:16,2458164.700,untrusted
2018-03-19 22:22:57,2458197.433,18.97
2018-04-25 17:17:50,2458234.221,18.97
2018-04-25 21:31:29,2458234.397,18.92
2018-05-12 23:20:15,2458251.472,18.88
2018-06-28 02:01:14,2458297.584,18.86
2018-06-28 03:47:48,2458297.658,18.84
2018-06-28 08:01:28,2458297.834,18.85
2018-07-07 20:08:12,2458307.339,18.84
2018-07-07 21:54:46,2458307.413,18.87
2018-08-20 20:40:14,2458351.361,18.83
2018-09-13 12:50:12,2458375.035,18.82
2018-09-13 14:36:47,2458375.109,18.79
2018-10-16 00:28:14,2458407.520,18.82
2018-10-16 02:14:49,2458407.594,18.80
2018-11-27 06:06:05,2458449.754,18.65
2018-11-27 07:52:39,2458449.828,18.74
2018-11-27 12:06:19,2458450.004,18.76
2018-11-27 13:52:54,2458450.078,18.76
2018-12-14 18:17:37,2458467.262,18.76
2018-12-14 20:04:11,2458467.336,18.76
2018-12-15 00:17:51,2458467.512,18.75
2018-12-15 02:04:26,2458467.586,18.74
2019-02-02 23:56:52,2458517.498,18.74
2019-02-03 01:43:25,2458517.572,18.76
2019-03-01 23:49:11,2458544.492,18.70
2019-03-31 05:29:02,2458573.728,18.74
2019-03-31 07:15:36,2458573.803,18.74
