Gaia19fei
#Date,JD,averagemag.
2014-09-19 20:04:54,2456920.337,untrusted
2014-09-19 21:51:29,2456920.411,untrusted
2014-10-22 23:19:03,2456953.472,untrusted
2014-10-23 01:05:38,2456953.546,untrusted
2014-11-30 16:50:13,2456992.202,19.50
2014-11-30 18:36:48,2456992.276,19.32
2014-11-30 22:50:29,2456992.452,19.36
2014-12-01 00:37:04,2456992.526,untrusted
2015-03-04 18:03:33,2457086.252,null
2015-03-04 19:50:18,2457086.327,null
2015-03-05 00:04:01,2457086.503,null
2015-03-05 01:50:46,2457086.577,null
2015-03-15 18:10:07,2457097.257,18.47
2015-03-15 19:56:40,2457097.331,18.16
2015-03-16 00:10:19,2457097.507,18.09
2015-04-21 19:19:41,2457134.305,17.82
2015-06-03 12:33:25,2457177.023,null
2015-06-04 16:47:53,2457178.200,null
2015-06-04 18:34:38,2457178.274,null
2015-06-04 22:47:47,2457178.450,null
2015-06-05 00:34:31,2457178.524,null
2015-06-05 04:48:15,2457178.700,null
2015-06-05 06:35:00,2457178.774,null
2015-06-05 10:48:09,2457178.950,null
2015-06-05 12:34:53,2457179.024,null
2015-06-05 18:35:22,2457179.275,null
2015-09-13 12:48:27,2457279.034,null
2015-09-13 14:35:12,2457279.108,null
2015-09-30 14:42:00,2457296.113,19.34
2015-11-02 14:17:01,2457329.095,untrusted
2016-03-11 13:07:04,2457459.047,19.01
2016-03-11 14:53:37,2457459.121,19.22
2016-03-31 07:08:11,2457478.797,19.47
2016-03-31 08:54:45,2457478.871,19.58
2016-05-01 14:27:59,2457510.103,19.41
2016-09-21 21:41:04,2457653.404,19.29
2016-11-12 01:41:45,2457704.571,19.46
2016-11-12 03:28:20,2457704.645,19.60
2017-03-21 03:36:27,2457833.650,19.38
2017-03-21 05:23:00,2457833.724,19.37
2017-04-15 15:26:08,2457859.143,19.31
2017-05-12 04:58:01,2457885.707,19.43
2017-10-02 00:12:31,2458028.509,19.63
2017-10-02 04:26:13,2458028.685,19.45
2017-10-29 12:02:00,2458056.001,19.69
2017-11-22 00:00:56,2458079.501,19.51
2017-11-22 04:14:37,2458079.677,19.44
2018-03-31 12:31:33,2458209.022,null
2018-04-30 16:20:47,2458239.181,19.55
2018-05-22 10:17:40,2458260.929,19.34
2018-05-22 12:04:14,2458261.003,null
2018-10-12 13:23:03,2458404.058,19.31
2018-11-13 17:15:15,2458436.219,19.59
2018-11-13 19:01:50,2458436.293,19.70
2018-12-01 05:22:45,2458453.724,19.28
2018-12-01 07:09:20,2458453.798,19.42
2019-04-11 05:53:17,2458584.745,19.39
2019-04-11 07:39:51,2458584.819,19.43
2019-05-16 05:16:01,2458619.719,19.43
2019-05-16 07:02:35,2458619.793,19.32
2019-05-31 11:20:55,2458634.973,19.31
2019-05-31 13:07:28,2458635.047,19.55
2019-05-31 17:21:07,2458635.223,19.59
2019-10-15 09:28:37,2458771.895,18.04
2019-10-15 13:42:19,2458772.071,18.14
2019-11-18 17:12:43,2458806.217,18.07
2019-11-18 21:26:24,2458806.393,17.89
2019-12-02 21:48:21,2458820.409,18.10
2019-12-02 23:34:56,2458820.483,17.79
2020-03-03 22:53:24,2458912.454,17.77
2020-03-04 00:39:57,2458912.528,17.84
2020-03-04 04:53:36,2458912.704,17.66
2020-03-04 06:40:10,2458912.778,17.81
2020-03-12 12:48:41,2458921.034,17.70
2020-03-12 17:02:20,2458921.210,17.97
2020-03-12 18:48:54,2458921.284,17.87
2020-04-19 20:36:29,2458959.359,17.77

