Gaia19fem
#Date,JD,averagemag.
2014-09-19 16:59:05,2456920.208,untrusted
2014-09-19 18:45:39,2456920.282,untrusted
2014-10-21 21:50:51,2456952.410,untrusted
2014-11-24 13:27:21,2456986.061,18.21
2014-11-24 15:13:55,2456986.135,18.15
2015-03-11 16:57:48,2457093.207,18.22
2015-03-11 21:11:29,2457093.383,18.19
2015-03-11 22:58:04,2457093.457,18.24
2015-03-12 03:11:45,2457093.633,18.19
2015-03-12 04:58:20,2457093.707,18.22
2015-03-12 09:12:01,2457093.883,18.23
2015-03-12 10:58:36,2457093.957,18.23
2015-03-12 15:12:17,2457094.134,18.23
2015-03-12 16:58:51,2457094.208,18.23
2015-03-12 21:12:32,2457094.384,18.21
2015-03-13 03:12:47,2457094.634,18.24
2015-03-14 03:13:49,2457095.635,18.19
2015-03-14 09:14:04,2457095.885,18.21
2015-03-14 15:14:20,2457096.135,18.20
2015-03-14 17:00:54,2457096.209,18.22
2015-03-14 21:14:35,2457096.385,18.21
2015-03-14 23:01:10,2457096.459,18.19
2015-03-15 03:14:51,2457096.635,untrusted
2015-03-15 05:01:26,2457096.709,18.22
2015-03-15 09:15:07,2457096.885,18.16
2015-03-15 11:01:41,2457096.960,18.24
2015-03-15 17:01:58,2457097.210,18.19
2015-04-25 08:41:50,2457137.862,null
2015-04-25 10:28:08,2457137.936,18.01
2015-06-03 08:12:44,2457176.842,18.16
2015-06-03 09:59:18,2457176.916,18.05
2015-06-12 02:21:00,2457185.598,null
2015-06-12 04:07:45,2457185.672,null
2015-06-12 08:20:57,2457185.848,18.02
2015-06-12 10:07:42,2457185.922,null
2015-06-12 14:21:13,2457186.098,18.07
2015-09-14 21:45:26,2457280.407,18.12
2015-09-14 23:32:00,2457280.481,18.09
2015-09-25 09:51:51,2457290.911,18.20
2015-09-25 11:38:25,2457290.985,18.16
2015-09-25 15:52:16,2457291.161,null
2015-11-01 09:12:43,2457327.884,18.15
2015-11-01 10:59:16,2457327.958,18.13
2016-03-16 10:10:18,2457463.924,18.25
2016-03-16 11:56:52,2457463.998,18.24
2016-04-01 10:18:27,2457479.929,18.27
2016-05-05 05:40:16,2457513.736,null
2016-05-05 09:53:29,2457513.912,18.40
2016-09-21 16:48:02,2457653.200,18.27
2016-09-21 18:34:36,2457653.274,18.28
2016-10-10 22:49:19,2457672.451,18.37
2016-10-11 00:35:52,2457672.525,18.33
2016-11-10 22:20:57,2457703.431,18.24
2016-11-11 00:07:31,2457703.505,18.22
2017-03-25 08:25:25,2457837.851,18.34
2017-03-25 12:39:06,2457838.027,18.35
2017-04-16 18:40:12,2457860.278,18.29
2017-05-16 02:14:08,2457889.593,null
2017-10-01 07:16:48,2458027.803,18.75
2017-10-01 09:03:22,2458027.877,18.74
2017-10-26 01:06:43,2458052.546,18.73
2018-04-04 07:47:59,2458212.825,18.88
2018-04-04 09:34:34,2458212.899,untrusted
2018-05-01 19:38:58,2458240.319,18.82
2018-05-01 21:25:56,2458240.393,null
2018-05-26 13:37:49,2458265.068,18.67
2018-05-26 15:24:24,2458265.142,18.72
2018-10-11 14:24:33,2458403.100,18.70
2018-10-11 16:11:07,2458403.174,18.71
2018-11-09 20:01:02,2458432.334,18.72
2018-11-30 19:57:09,2458453.331,18.61
2018-11-30 21:43:43,2458453.405,18.64
2019-04-14 20:58:41,2458588.374,18.85
2019-04-14 22:45:16,2458588.448,18.79
2019-05-17 08:38:36,2458620.860,18.84
2019-05-17 10:25:11,2458620.934,untrusted
2019-06-05 04:32:39,2458639.689,18.99
2019-06-05 08:46:20,2458639.866,19.04
2019-10-19 00:29:40,2458775.521,untrusted
2019-11-19 19:51:53,2458807.328,19.42
2019-11-20 00:05:32,2458807.504,19.47
2019-12-07 06:31:24,2458824.772,19.42
2019-12-07 08:17:58,2458824.846,19.40
2020-04-18 17:49:13,2458958.243,18.87

