Gaia19fev
#Date,JD,averagemag.
2014-11-01 14:42:35,2456963.113,null
2014-11-01 18:56:20,2456963.289,null
2014-11-01 20:42:30,2456963.363,null
2015-01-13 13:51:11,2457036.077,null
2015-02-06 19:39:18,2457060.319,null
2015-03-19 00:24:33,2457100.517,null
2015-03-19 04:38:18,2457100.693,null
2015-03-31 10:43:48,2457112.947,null
2015-05-14 11:01:17,2457156.959,null
2015-05-14 15:15:02,2457157.135,null
2015-05-31 15:19:38,2457174.139,null
2015-05-31 17:05:48,2457174.212,null
2015-07-09 08:31:12,2457212.855,null
2015-07-09 10:17:57,2457212.929,null
2015-08-10 20:15:27,2457245.344,null
2015-09-07 08:16:14,2457272.845,null
2015-09-07 10:02:24,2457272.918,null
2015-10-26 19:57:05,2457322.331,null
2015-10-26 21:43:15,2457322.405,null
2015-11-17 15:51:35,2457344.161,null
2015-11-17 20:05:19,2457344.337,null
2015-12-25 13:36:43,2457382.067,null
2015-12-25 15:23:27,2457382.141,null
2016-01-27 02:48:13,2457414.617,null
2016-02-17 14:42:16,2457436.113,null
2016-03-30 07:19:54,2457477.805,null
2016-03-30 11:33:39,2457477.982,null
2016-04-10 17:39:42,2457489.236,null
2016-04-10 19:26:27,2457489.310,null
2016-05-24 16:15:46,2457533.178,null
2016-06-13 16:18:01,2457553.179,null
2016-07-20 09:40:12,2457589.903,null
2016-08-25 09:21:02,2457625.890,null
2016-08-25 11:07:48,2457625.964,null
2016-09-19 05:13:37,2457650.718,null
2016-09-19 09:27:22,2457650.894,null
2016-11-08 03:07:48,2457700.630,null
2016-11-08 04:54:33,2457700.705,null
2016-12-02 03:10:47,2457724.632,null
2016-12-02 04:56:57,2457724.706,null
2017-01-04 20:44:02,2457758.364,null
2017-01-04 22:30:11,2457758.438,null
2017-02-08 09:44:14,2457792.906,null
2017-02-27 09:19:05,2457811.888,null
2017-04-11 03:37:53,2457854.651,null
2017-04-11 07:51:03,2457854.827,null
2017-04-11 09:37:48,2457854.901,null
2017-04-22 13:57:53,2457866.082,null
2017-04-22 15:44:38,2457866.156,null
2017-06-04 20:27:22,2457909.352,null
2017-06-27 18:39:22,2457932.277,null
2017-06-27 20:26:07,2457932.351,null
2017-08-01 12:12:37,2457967.009,null
2017-09-10 11:51:26,2458006.994,null
2017-09-10 13:38:11,2458007.068,null
2017-10-02 13:47:53,2458029.075,null
2017-10-02 18:01:38,2458029.251,null
2017-10-02 19:47:48,2458029.325,null
2017-10-03 00:01:33,2458029.501,null
2017-11-20 11:39:45,2458077.986,null
2017-11-20 13:26:30,2458078.060,null
2017-12-16 19:21:49,2458104.307,null
2017-12-16 23:35:33,2458104.483,null
2018-03-09 22:18:16,2458187.429,null
2018-03-10 00:05:01,2458187.503,null
2018-04-22 14:47:08,2458231.116,null
2018-04-22 16:33:53,2458231.190,null
2018-05-05 04:40:31,2458243.695,null
2018-06-16 07:46:06,2458285.824,null
2018-08-13 15:09:27,2458344.132,null
2018-08-13 19:22:38,2458344.307,null
2018-09-26 19:02:05,2458388.293,null
2018-09-26 20:48:50,2458388.367,null
2018-09-27 01:02:01,2458388.543,null
2018-09-27 02:48:46,2458388.617,null
2018-10-17 02:59:48,2458408.625,null
2018-10-17 07:13:33,2458408.801,null
2018-10-17 08:59:42,2458408.875,null
2018-10-17 13:13:27,2458409.051,null
2018-12-02 12:49:23,2458455.034,null
2018-12-02 14:35:33,2458455.108,null
2018-12-31 00:35:20,2458483.525,null
2018-12-31 02:22:04,2458483.599,null
2019-01-27 06:17:27,2458510.762,null
2019-03-06 12:57:57,2458549.040,null
2019-03-06 17:11:42,2458549.216,null
2019-03-20 17:16:20,2458563.220,null
2019-03-20 19:02:30,2458563.293,null
2019-05-03 17:30:48,2458607.230,null
2019-05-03 21:44:33,2458607.406,null
2019-05-18 09:50:48,2458621.910,null
2019-05-18 11:36:58,2458621.984,null
2019-06-27 20:52:14,2458662.370,null
2019-06-27 22:39:00,2458662.444,null
2019-07-31 04:55:48,2458695.705,null
2019-09-09 13:17:22,2458736.054,null
2019-09-09 15:04:07,2458736.128,null
2019-09-23 19:39:25,2458750.319,null
2019-09-23 21:26:10,2458750.393,null
2019-11-06 10:34:02,2458793.940,20.05
2019-11-06 12:20:36,2458794.014,19.97
2019-11-20 16:55:26,2458808.205,18.23
2019-11-20 18:42:00,2458808.279,18.22
2019-12-28 19:07:26,2458846.297,19.67
2019-12-28 20:54:00,2458846.371,19.77
2020-01-25 03:59:17,2458873.666,20.78

