Gaia19fgt
#Date,JD,averagemag.
2014-11-01 18:29:58,2456963.271,null
2014-11-01 20:16:43,2456963.345,null
2015-01-07 11:56:32,2457029.998,null
2015-01-07 13:43:17,2457030.072,null
2015-03-14 12:41:10,2457096.029,null
2015-03-14 16:54:54,2457096.205,null
2015-04-06 18:33:31,2457119.273,null
2015-05-16 15:41:09,2457159.154,null
2015-06-04 23:28:32,2457178.478,null
2015-07-15 08:39:47,2457218.861,null
2015-08-09 02:34:27,2457243.607,null
2015-08-09 04:21:12,2457243.681,null
2015-09-13 03:49:48,2457278.660,null
2015-09-13 08:03:34,2457278.836,null
2015-10-17 03:30:03,2457312.646,null
2015-11-14 21:24:35,2457341.392,null
2015-11-15 01:38:20,2457341.568,null
2015-12-22 19:13:10,2457379.301,null
2015-12-22 20:59:55,2457379.375,null
2016-01-21 06:59:53,2457408.792,null
2016-02-20 06:39:34,2457438.777,null
2016-03-26 17:53:13,2457474.245,null
2016-04-17 11:48:37,2457495.992,null
2016-04-17 13:35:22,2457496.066,null
2016-05-27 22:40:19,2457536.445,null
2016-05-28 00:26:29,2457536.518,null
2016-06-16 18:27:45,2457556.269,null
2016-07-26 09:44:14,2457595.906,null
2016-07-26 11:30:25,2457595.979,null
2016-08-21 23:22:21,2457622.474,null
2016-09-24 16:57:40,2457656.207,null
2016-10-30 08:49:47,2457691.868,null
2016-10-30 10:36:32,2457691.942,null
2016-11-27 10:32:08,2457719.939,null
2016-11-27 14:45:53,2457720.115,null
2017-01-03 08:20:37,2457756.848,null
2017-01-03 10:07:22,2457756.922,null
2017-02-02 20:01:29,2457787.334,null
2017-02-02 21:48:14,2457787.408,null
2017-03-02 22:53:12,2457815.454,null
2017-04-08 16:00:42,2457852.167,null
2017-04-08 20:14:26,2457852.343,null
2017-04-29 09:58:25,2457872.916,null
2017-06-09 07:03:02,2457913.794,null
2017-06-29 19:03:06,2457934.294,null
2017-06-29 20:49:16,2457934.368,null
2017-08-07 13:58:20,2457973.082,null
2017-09-05 00:00:06,2458001.500,null
2017-09-05 01:46:51,2458001.574,null
2017-10-07 07:28:19,2458033.811,null
2017-11-13 05:19:06,2458070.722,null
2017-11-13 07:05:51,2458070.796,null
2017-12-11 05:15:31,2458098.719,null
2018-01-15 16:50:19,2458134.202,null
2018-02-16 06:10:57,2458165.758,null
2018-03-14 16:10:26,2458192.174,null
2018-03-14 17:57:10,2458192.248,null
2018-04-21 15:12:27,2458230.134,null
2018-05-11 10:58:39,2458249.957,null
2018-06-21 08:03:42,2458290.836,null
2018-06-21 09:50:27,2458290.910,null
2018-07-13 03:49:10,2458312.659,null
2018-08-19 19:17:49,2458350.304,null
2018-08-19 21:04:34,2458350.378,null
2018-09-19 01:03:29,2458380.544,null
2018-09-19 02:49:39,2458380.618,null
2018-10-20 00:50:21,2458411.535,null
2018-10-20 02:37:06,2458411.609,null
2018-11-27 00:27:09,2458449.519,null
2018-12-25 00:20:53,2458477.515,null
2019-01-27 17:56:35,2458511.248,null
2019-01-27 19:43:20,2458511.322,null
2019-03-01 17:24:33,2458544.225,null
2019-05-04 05:57:25,2458607.748,null
2019-05-04 10:11:10,2458607.924,null
2019-05-23 16:11:35,2458627.175,null
2019-05-23 17:57:45,2458627.248,null
2019-07-03 10:51:48,2458667.953,null
2019-07-31 19:04:44,2458696.295,null
2019-09-04 12:54:59,2458731.038,null
2019-09-04 14:41:44,2458731.112,null
2019-09-29 15:39:24,2458756.152,null
2019-11-07 04:09:11,2458794.673,null
2019-11-07 05:55:56,2458794.747,null
2019-11-25 16:44:18,2458813.197,17.64
2019-11-25 18:30:53,2458813.271,17.66
2020-01-03 01:04:49,2458851.545,untrusted
2020-01-03 02:51:23,2458851.619,19.14

