Gaia19fhk
#Date,JD,averagemag.
2015-03-08 00:48:21,2457089.534,null
2015-03-08 02:35:06,2457089.608,null
2015-03-26 02:35:25,2457107.608,null
2015-03-26 06:49:09,2457107.784,null
2015-04-29 07:57:13,2457141.831,null
2015-09-02 00:03:15,2457267.502,null
2015-09-02 01:50:00,2457267.576,null
2015-09-02 06:03:11,2457267.752,null
2015-09-23 06:11:37,2457288.758,null
2015-09-23 07:58:22,2457288.832,null
2015-10-26 05:52:14,2457321.745,null
2015-12-03 23:01:28,2457360.459,null
2015-12-04 00:47:38,2457360.533,null
2015-12-13 06:54:37,2457369.788,null
2015-12-13 11:08:23,2457369.964,null
2016-03-17 01:50:50,2457464.577,null
2016-03-17 03:37:34,2457464.651,null
2016-04-08 13:43:43,2457487.072,null
2016-04-08 15:30:27,2457487.146,null
2016-05-09 19:19:42,2457518.305,null
2016-05-09 21:06:27,2457518.379,null
2016-09-11 21:01:08,2457643.376,null
2016-09-12 01:14:19,2457643.552,null
2016-10-07 19:13:48,2457669.301,null
2016-11-04 20:47:34,2457697.366,null
2017-03-27 12:04:25,2457840.003,null
2017-04-23 05:48:51,2457866.742,null
2017-05-21 03:51:24,2457894.661,null
2017-05-21 05:38:08,2457894.735,null
2017-09-22 23:34:37,2458019.482,null
2017-09-23 03:48:23,2458019.659,null
2017-10-22 09:36:13,2458048.900,null
2017-10-22 11:22:58,2458048.974,null
2017-11-15 09:30:59,2458072.897,null
2018-04-07 07:10:28,2458215.799,null
2018-05-08 12:46:28,2458247.032,null
2018-05-08 17:00:12,2458247.208,null
2018-06-01 05:01:05,2458270.709,null
2018-06-01 06:47:15,2458270.783,null
2018-10-04 06:46:28,2458395.782,null
2018-11-05 16:35:14,2458428.191,null
2018-11-05 18:21:24,2458428.265,null
2018-11-25 10:36:36,2458447.942,null
2019-02-27 01:17:57,2458541.554,null
2019-02-27 03:04:42,2458541.628,null
2019-03-12 01:22:58,2458554.558,null
2019-03-12 03:09:08,2458554.631,null
2019-04-18 08:17:32,2458591.846,null
2019-05-25 01:47:47,2458628.575,null
2019-05-25 06:01:31,2458628.751,null
2019-05-25 07:48:16,2458628.825,null
2019-06-11 12:10:04,2458646.007,null
2019-06-11 13:56:14,2458646.081,null
2019-06-11 18:09:58,2458646.257,null
2019-06-11 19:56:43,2458646.331,null
2019-09-01 10:55:53,2458727.955,null
2019-09-01 12:42:39,2458728.030,null
2019-09-15 07:03:48,2458741.794,null
2019-10-22 13:18:22,2458779.054,null
2019-11-27 08:57:08,2458814.873,18.37
2019-11-27 10:43:42,2458814.947,18.38
2019-11-27 14:57:23,2458815.123,18.40
2019-12-13 05:05:59,2458830.712,19.27
2019-12-13 09:19:40,2458830.889,19.22
2019-12-13 11:06:14,2458830.963,19.25
2019-12-13 15:19:55,2458831.139,19.25

