Gaia19fjh
#Date,JD,averagemag.
2014-07-27 14:40:59,2456866.112,null
2014-07-27 20:40:55,2456866.362,null
2014-07-28 02:41:25,2456866.612,null
2014-07-28 06:55:10,2456866.788,null
2014-07-28 08:41:20,2456866.862,null
2014-07-28 12:55:05,2456867.038,null
2014-07-28 14:41:51,2456867.112,null
2014-07-28 18:55:36,2456867.289,null
2014-07-28 20:41:46,2456867.362,null
2014-07-29 00:55:31,2456867.539,null
2014-07-29 02:42:16,2456867.613,null
2014-07-29 06:56:01,2456867.789,null
2014-07-29 08:42:47,2456867.863,null
2014-07-29 12:55:57,2456868.039,null
2014-07-29 14:42:42,2456868.113,null
2014-07-29 18:56:27,2456868.289,null
2014-07-29 20:43:12,2456868.363,null
2014-07-30 00:56:57,2456868.540,null
2014-07-30 02:43:07,2456868.613,null
2014-07-30 06:56:53,2456868.790,null
2014-07-30 08:43:38,2456868.864,null
2014-07-30 12:57:23,2456869.040,null
2014-07-30 14:43:33,2456869.114,null
2014-07-30 18:57:18,2456869.290,null
2014-07-30 20:44:03,2456869.364,null
2014-07-31 00:57:49,2456869.540,null
2014-07-31 02:43:59,2456869.614,null
2014-07-31 06:57:44,2456869.790,null
2014-07-31 12:58:14,2456870.040,null
2014-11-06 21:12:26,2456968.384,20.85
2014-11-06 22:59:00,2456968.458,20.67
2015-01-04 20:25:05,2457027.351,null
2015-01-04 22:11:50,2457027.425,null
2015-02-04 03:51:29,2457057.661,untrusted
2015-03-07 13:45:24,2457089.073,null
2015-03-07 15:32:09,2457089.147,null
2015-04-09 15:11:25,2457122.133,null
2015-05-12 19:03:08,2457155.294,null
2015-05-12 20:49:54,2457155.368,null
2015-06-12 00:49:13,2457185.534,null
2015-06-12 02:35:23,2457185.608,null
2015-07-18 18:10:32,2457222.257,null
2015-07-18 19:57:18,2457222.331,null
2015-08-13 01:49:58,2457247.576,null
2015-08-13 06:03:43,2457247.753,null
2015-09-20 05:11:02,2457285.716,null
2015-09-20 06:57:47,2457285.790,null
2015-10-13 18:50:54,2457309.285,null
2015-11-18 22:15:42,2457345.428,null
2015-11-19 00:01:52,2457345.501,null
2015-12-15 05:48:17,2457371.742,null
2015-12-15 10:01:26,2457371.918,null
2016-01-17 03:29:47,2457404.646,null
2016-01-17 05:16:32,2457404.720,null
2016-02-17 09:09:28,2457435.882,null
2016-03-19 20:50:40,2457467.369,null
2016-04-21 16:17:32,2457500.179,null
2016-05-25 14:06:50,2457534.088,null
2016-05-25 15:53:22,2457534.162,20.90
2016-06-23 19:54:25,2457563.329,null
2016-07-31 01:12:35,2457600.550,null
2016-07-31 02:58:45,2457600.624,null
2016-08-24 19:05:52,2457625.296,null
2016-10-01 18:12:58,2457663.259,null
2016-10-25 12:05:17,2457687.004,null
2016-11-29 23:18:43,2457722.471,null
2016-12-27 05:03:00,2457749.710,null
2016-12-27 06:49:45,2457749.785,null
2017-01-28 10:35:06,2457781.941,null
2017-01-28 12:21:51,2457782.015,null
2017-03-01 11:36:21,2457813.984,null
2017-03-01 13:23:06,2457814.058,null
2017-04-02 05:18:18,2457845.721,20.06
2017-05-04 16:59:43,2457878.208,19.92
2017-06-08 06:19:03,2457912.763,null
2017-07-06 12:08:05,2457941.006,null
2017-08-13 03:35:55,2457978.650,19.53
2017-08-13 05:22:29,2457978.724,19.83
2017-09-06 05:16:27,2458002.720,20.00
2017-09-06 09:30:12,2458002.896,null
2017-10-13 22:23:24,2458040.433,null
2017-11-07 04:14:11,2458064.677,untrusted
2017-12-11 21:31:23,2458099.397,null
2018-01-09 07:27:32,2458127.811,20.78
2018-02-10 01:03:14,2458159.544,null
2018-02-10 02:49:16,2458159.618,untrusted
2018-03-14 14:28:25,2458192.103,null
2018-03-14 18:42:10,2458192.279,null
2018-04-15 18:23:36,2458224.266,null
2018-05-17 13:52:19,2458256.078,19.94
2018-06-21 23:35:04,2458291.483,untrusted
2018-06-22 01:21:36,2458291.557,null
2018-07-19 05:25:54,2458318.726,null
2018-08-26 04:37:43,2458356.693,null
2018-08-26 06:23:53,2458356.767,null
2018-09-18 22:31:25,2458380.438,20.45
2018-10-26 03:38:44,2458417.652,20.60
2018-11-19 21:28:31,2458442.395,null
2018-11-19 23:14:41,2458442.469,null
2019-01-22 08:30:35,2458505.855,null
2019-02-22 20:08:12,2458537.339,20.38
2019-02-22 21:54:46,2458537.413,untrusted
2019-03-27 19:47:33,2458570.325,null
2019-03-27 21:34:18,2458570.399,null
2019-04-29 07:27:41,2458602.811,20.30
2019-04-29 09:14:15,2458602.885,20.30
2019-05-30 13:11:51,2458634.050,untrusted
2019-07-05 12:37:28,2458670.026,null
2019-07-05 14:23:51,2458670.100,untrusted
2019-07-26 02:34:13,2458690.607,null
2019-07-26 04:20:24,2458690.681,null
2019-08-28 09:57:34,2458723.915,null
2019-08-28 11:43:44,2458723.989,null
2019-10-01 05:21:24,2458757.723,null
2019-10-01 07:08:09,2458757.797,null
2019-11-02 08:28:45,2458789.853,20.38
2019-11-02 12:42:24,2458790.029,20.46
2019-12-02 01:55:43,2458819.580,18.68
2019-12-02 03:42:17,2458819.654,18.68
2020-01-05 03:37:07,2458853.651,null
2020-01-29 16:33:22,2458878.190,19.77
2020-03-06 00:34:45,2458914.524,null
2020-03-29 01:25:29,2458937.559,null
2020-03-29 03:11:32,2458937.633,20.34
2020-05-05 09:26:07,2458974.893,20.84

