Gaia19fjv
#Date,JD,averagemag.
2014-10-27 02:31:13,2456957.605,18.74
2014-10-27 04:17:47,2456957.679,18.72
2014-11-30 08:00:28,2456991.834,null
2014-11-30 09:46:40,2456991.907,18.68
2015-03-04 16:19:08,2457086.180,null
2015-03-04 22:19:40,2457086.430,null
2015-03-05 02:32:57,2457086.606,18.60
2015-03-05 04:19:31,2457086.680,18.56
2015-03-05 08:33:12,2457086.856,18.60
2015-03-05 10:19:47,2457086.930,18.57
2015-03-05 14:33:28,2457087.107,18.59
2015-03-05 16:20:03,2457087.181,18.59
2015-03-05 20:33:44,2457087.357,untrusted
2015-03-05 22:20:18,2457087.431,18.58
2015-03-06 02:33:59,2457087.607,18.59
2015-03-06 04:20:34,2457087.681,18.60
2015-03-06 08:34:15,2457087.857,18.60
2015-03-06 10:20:49,2457087.931,untrusted
2015-03-06 14:34:30,2457088.107,18.58
2015-03-06 16:21:05,2457088.181,18.60
2015-03-06 22:21:21,2457088.431,18.57
2015-03-07 04:21:37,2457088.682,18.56
2015-04-19 20:13:47,2457132.343,null
2015-04-19 21:59:54,2457132.417,18.59
2015-05-25 19:39:57,2457168.319,null
2015-05-25 21:26:08,2457168.393,null
2015-06-10 15:33:35,2457184.148,null
2015-06-10 19:47:21,2457184.325,null
2015-09-17 04:18:13,2457282.679,null
2015-09-17 06:04:57,2457282.753,null
2015-10-03 04:21:31,2457298.682,18.73
2015-10-03 06:08:05,2457298.756,18.68
2015-11-06 23:25:44,2457333.476,18.68
2016-03-08 15:35:41,2457456.150,18.68
2016-03-08 17:22:16,2457456.224,18.62
2016-03-08 21:35:57,2457456.400,18.64
2016-03-26 09:45:37,2457473.907,18.67
2016-03-26 11:32:12,2457473.981,18.63
2016-04-29 23:10:46,2457508.466,18.66
2016-06-09 14:38:27,2457549.110,18.65
2016-06-09 16:25:01,2457549.184,18.65
2016-06-18 04:32:10,2457557.689,18.62
2016-06-18 08:45:51,2457557.865,18.63
2016-06-18 10:32:26,2457557.939,18.65
2016-09-25 23:19:58,2457657.472,18.66
2016-10-16 19:02:46,2457678.294,null
2016-11-16 18:34:12,2457709.274,18.63
2017-03-18 12:08:04,2457831.006,18.58
2017-03-18 13:54:38,2457831.080,18.61
2017-04-11 06:10:37,2457854.757,18.58
2017-04-11 07:57:12,2457854.831,untrusted
2017-05-10 23:57:10,2457884.498,null
2017-10-06 01:46:39,2458032.574,18.53
2017-10-06 03:33:13,2458032.648,18.56
2017-10-31 07:33:40,2458057.815,null
2017-10-31 09:20:25,2458057.889,null
2017-11-27 13:19:02,2458085.055,18.62
2018-03-29 01:19:04,2458206.555,18.62
2018-03-29 03:05:39,2458206.629,18.65
2018-04-26 07:10:42,2458234.799,18.67
2018-04-26 08:57:17,2458234.873,18.68
2018-05-21 19:05:26,2458260.295,18.67
2018-10-16 14:52:38,2458408.120,18.65
2018-10-16 16:39:12,2458408.194,18.65
2018-11-15 02:29:57,2458437.604,untrusted
2018-12-07 20:27:38,2458460.353,18.65
2018-12-07 22:14:12,2458460.427,18.60
2019-04-09 02:30:38,2458582.605,18.56
2019-05-11 02:09:34,2458614.590,18.48
2019-05-11 03:56:08,2458614.664,18.46
2019-06-01 03:58:26,2458635.666,18.46
2019-10-13 05:00:17,2458769.709,18.37
2019-10-13 06:46:51,2458769.783,18.35
2019-11-13 20:09:21,2458801.340,18.30
2019-12-03 12:58:26,2458821.041,18.28
2019-12-03 14:45:00,2458821.115,18.27
2020-03-06 13:25:34,2458915.059,18.29
2020-03-06 15:12:09,2458915.133,18.28
2020-03-16 03:25:01,2458924.642,null
2020-03-16 07:38:15,2458924.818,18.26
2020-03-16 09:24:49,2458924.892,18.30
2020-04-24 03:46:00,2458963.657,18.28
2020-04-24 05:32:35,2458963.731,18.27

