Gaia19fkr
#Date,JD,averagemag.
2014-11-04 05:47:58,2456965.742,19.05
2014-11-29 11:38:53,2456990.985,18.62
2014-11-29 13:25:27,2456991.059,18.66
2014-12-30 01:06:53,2457021.546,untrusted
2015-02-08 12:43:31,2457062.030,untrusted
2015-02-08 16:57:11,2457062.206,19.26
2015-02-08 18:43:55,2457062.280,null
2015-03-03 05:05:37,2457084.712,19.32
2015-03-03 06:52:11,2457084.786,19.24
2015-03-03 11:06:05,2457084.963,null
2015-04-15 22:40:36,2457128.445,untrusted
2015-04-16 00:27:10,2457128.519,19.37
2015-05-16 16:25:11,2457159.184,18.90
2015-05-16 18:11:45,2457159.258,19.13
2015-06-14 04:10:12,2457187.674,null
2015-07-24 09:07:12,2457227.880,17.98
2015-07-24 10:53:48,2457227.954,null
2015-08-09 10:58:25,2457243.957,null
2015-09-22 01:46:03,2457287.574,null
2015-09-22 03:32:13,2457287.647,null
2015-10-08 07:50:38,2457303.827,null
2015-10-08 09:36:48,2457303.901,null
2015-11-15 08:40:12,2457341.861,18.44
2015-12-13 06:40:00,2457369.778,18.47
2015-12-13 08:26:35,2457369.852,18.46
2016-01-11 00:30:12,2457398.521,untrusted
2016-02-23 07:53:49,2457441.829,18.14
2016-02-23 12:07:57,2457442.006,null
2016-02-23 13:54:03,2457442.079,18.08
2016-03-17 08:01:44,2457464.835,19.04
2016-03-17 12:15:23,2457465.011,18.96
2016-04-27 05:49:07,2457505.742,18.93
2016-04-27 07:35:41,2457505.816,18.89
2016-05-30 05:24:30,2457538.725,19.67
2016-08-05 11:50:31,2457605.993,null
2016-08-05 16:03:42,2457606.169,18.41
2016-08-20 04:09:04,2457620.673,19.17
2016-08-20 05:55:38,2457620.747,19.31
2016-10-02 04:31:50,2457663.689,19.07
2016-10-20 10:34:43,2457681.941,null
2016-11-25 15:47:11,2457718.158,20.62
2016-12-26 07:42:38,2457748.821,18.52
2016-12-26 09:29:12,2457748.895,18.47
2017-01-22 03:26:43,2457775.644,19.01
2017-01-22 07:40:24,2457775.820,18.93
2017-03-08 08:40:18,2457820.861,18.62
2017-03-08 10:26:52,2457820.935,18.64
2017-03-08 14:40:32,2457821.111,18.60
2017-03-08 16:27:06,2457821.185,18.68
2017-04-01 20:45:25,2457845.365,19.24
2017-04-01 22:31:59,2457845.439,19.20
2017-06-13 09:31:38,2457917.897,19.11
2017-07-06 09:26:26,2457940.893,null
2017-08-18 02:08:49,2457983.589,19.48
2017-08-18 06:22:29,2457983.766,19.19
2017-09-01 00:28:26,2457997.520,19.23
2017-09-01 02:15:00,2457997.594,19.07
2017-10-13 06:55:42,2458039.789,18.53
2017-11-02 17:08:35,2458060.214,19.31
2017-11-02 18:55:33,2458060.289,null
2017-12-07 04:31:14,2458094.688,18.94
2018-01-09 22:09:54,2458128.424,18.11
2018-01-09 23:56:28,2458128.498,18.24
2018-02-03 17:59:36,2458153.250,18.59
2018-02-03 22:13:16,2458153.426,18.70
2018-03-21 21:50:38,2458199.410,19.49
2018-03-21 23:37:12,2458199.484,19.28
2018-04-17 05:37:02,2458225.734,18.98
2018-05-21 15:26:54,2458260.144,19.17
2018-06-27 08:42:29,2458296.863,18.75
2018-06-27 10:29:03,2458296.937,19.06
2018-07-17 20:41:18,2458317.362,19.12
2018-07-17 22:27:52,2458317.436,19.20
2018-08-30 07:18:56,2458360.805,18.86
2018-08-30 09:05:27,2458360.879,null
2018-09-13 01:24:54,2458374.559,18.57
2018-09-13 03:11:29,2458374.633,18.67
2018-10-24 07:58:38,2458415.832,19.21
2018-12-18 13:26:15,2458471.060,19.38
2018-12-18 17:39:56,2458471.236,19.16
2019-01-24 17:16:43,2458508.220,19.47
2019-01-24 19:03:17,2458508.294,19.35
2019-02-17 05:24:22,2458531.725,null
2019-02-17 07:10:32,2458531.799,null
2019-04-03 17:00:14,2458577.208,19.44
2019-04-03 18:46:48,2458577.283,19.40
2019-05-02 04:53:10,2458605.704,18.65
2019-05-02 06:39:44,2458605.778,18.61
2019-06-02 12:19:44,2458637.014,19.28
2019-07-11 03:39:23,2458675.652,18.89
2019-07-11 05:25:57,2458675.726,19.00
2019-07-28 19:38:17,2458693.318,19.36
2019-07-28 23:51:57,2458693.494,19.29
2019-07-29 01:38:31,2458693.568,null
2019-08-22 12:30:15,2458718.021,null
2019-08-22 14:16:41,2458718.095,19.28
2019-10-08 02:21:06,2458764.598,19.01
2019-10-08 04:07:40,2458764.672,untrusted
2019-12-04 22:39:50,2458822.444,17.47
2019-12-05 00:26:24,2458822.518,17.58
2020-01-10 06:45:26,2458858.782,untrusted
2020-01-10 08:32:01,2458858.856,untrusted
2020-01-27 07:16:24,2458875.803,19.00
2020-03-08 22:02:43,2458917.419,19.03
2020-03-08 23:49:17,2458917.493,18.95
2020-03-23 10:24:59,2458931.934,18.81
2020-03-23 12:11:33,2458932.008,18.68
2020-05-02 12:45:11,2458972.031,18.71
2020-05-02 14:31:45,2458972.105,19.14

