Gaia19flh
#Date,JD,averagemag.
2014-10-30 11:23:21,2456960.975,18.76
2014-10-30 13:09:56,2456961.049,18.76
2015-04-22 00:51:43,2457134.536,18.84
2015-05-22 16:43:17,2457165.197,18.79
2015-05-22 18:29:51,2457165.271,18.82
2015-06-15 06:22:51,2457188.766,18.68
2015-09-23 21:04:52,2457289.378,null
2015-09-24 01:18:38,2457289.555,null
2015-09-24 03:05:23,2457289.629,null
2015-09-24 07:19:09,2457289.805,null
2015-09-24 09:05:19,2457289.879,null
2015-09-29 19:23:44,2457295.308,18.75
2015-09-29 21:10:19,2457295.382,untrusted
2015-09-30 01:24:00,2457295.558,18.76
2015-09-30 03:10:34,2457295.632,18.75
2015-11-10 02:18:54,2457336.596,18.72
2015-12-11 12:12:51,2457368.009,18.77
2015-12-11 13:59:26,2457368.083,18.75
2015-12-31 18:19:42,2457388.264,18.78
2015-12-31 20:06:16,2457388.338,18.79
2016-05-02 06:14:12,2457510.760,untrusted
2016-05-02 08:00:46,2457510.834,18.76
2016-06-05 17:38:39,2457545.235,18.77
2016-06-24 13:25:59,2457564.060,18.75
2016-09-30 22:01:31,2457662.418,18.68
2016-10-01 02:15:12,2457662.594,18.68
2016-10-14 14:22:42,2457676.099,18.69
2016-10-14 16:09:16,2457676.173,18.68
2016-11-19 19:42:43,2457712.321,null
2016-11-19 21:29:29,2457712.395,null
2016-12-27 01:17:57,2457749.554,18.70
2016-12-27 03:04:31,2457749.628,18.70
2016-12-27 07:18:12,2457749.804,18.67
2016-12-27 09:04:47,2457749.878,18.71
2017-01-08 03:14:10,2457761.635,18.69
2017-01-08 07:27:51,2457761.811,18.68
2017-01-08 09:14:26,2457761.885,18.70
2017-01-08 13:28:07,2457762.061,18.70
2017-03-22 15:08:27,2457835.131,18.67
2017-03-22 16:55:01,2457835.205,18.71
2017-03-22 21:08:40,2457835.381,18.67
2017-03-22 22:55:14,2457835.455,18.68
2017-04-05 11:03:03,2457848.960,18.65
2017-04-05 15:16:42,2457849.137,18.68
2017-04-05 17:03:16,2457849.211,18.67
2017-05-13 14:45:19,2457887.115,18.71
2017-05-13 16:31:53,2457887.189,18.65
2017-06-20 19:56:21,2457925.331,18.65
2017-06-20 21:42:54,2457925.405,18.70
2017-07-04 02:01:58,2457938.585,18.67
2017-07-04 03:48:32,2457938.659,18.65
2017-10-10 10:39:33,2458036.944,18.67
2017-10-29 04:43:11,2458055.697,18.70
2017-11-30 16:15:53,2458088.178,18.67
2018-03-31 16:15:48,2458209.178,18.68
2018-03-31 18:02:22,2458209.252,untrusted
2018-03-31 22:16:01,2458209.428,18.74
2018-04-01 00:02:35,2458209.502,18.75
2018-04-22 12:05:09,2458231.004,null
2018-07-07 04:39:27,2458306.694,18.74
2018-07-07 08:53:06,2458306.870,18.77
2018-07-07 10:39:40,2458306.944,18.73
2018-07-07 14:53:19,2458307.120,18.74
2018-07-07 16:39:53,2458307.194,untrusted
2018-07-07 20:53:32,2458307.371,18.75
2018-07-11 08:56:23,2458310.872,18.75
2018-07-11 14:56:36,2458311.123,18.75
2018-07-11 16:43:10,2458311.197,18.75
2018-07-11 20:56:49,2458311.373,18.74
2018-07-11 22:43:23,2458311.447,18.73
2018-07-12 04:43:37,2458311.697,18.75
2018-10-20 07:31:05,2458411.813,18.70
2018-10-20 11:44:46,2458411.989,18.72
2018-11-12 11:41:36,2458434.987,null
2018-11-12 13:28:22,2458435.061,null
2018-12-11 07:13:22,2458463.801,18.65
2018-12-11 11:27:04,2458463.977,18.61
2019-04-11 07:11:18,2458584.800,18.63
2019-05-07 23:16:01,2458611.469,18.59
2019-05-08 01:02:35,2458611.543,18.59
2019-10-15 14:10:48,2458772.091,null
2019-10-15 15:57:23,2458772.165,18.41
2019-11-10 21:10:58,2458798.383,18.39
2019-11-10 22:57:32,2458798.457,untrusted
2019-12-07 00:03:44,2458824.503,18.40
2019-12-07 04:17:25,2458824.679,18.36
2020-04-27 13:00:19,2458967.042,18.36
2020-04-27 14:46:53,2458967.116,18.39

