Gaia19fll
#Date,JD,averagemag.
2014-10-31 13:13:31,2456962.051,untrusted
2014-11-26 23:16:54,2456988.470,untrusted
2015-04-21 11:00:19,2457133.959,untrusted
2015-05-21 12:28:03,2457164.019,null
2015-06-15 10:31:47,2457188.939,18.92
2015-09-23 21:10:14,2457289.382,null
2015-09-24 01:24:00,2457289.558,null
2015-09-24 03:10:45,2457289.632,null
2015-10-01 13:30:09,2457297.063,19.51
2015-10-01 15:16:43,2457297.137,19.37
2015-11-11 06:35:29,2457337.775,19.37
2015-12-11 12:17:36,2457368.012,19.25
2015-12-11 14:04:30,2457368.086,null
2016-01-02 20:08:39,2457390.339,null
2016-01-03 00:22:25,2457390.516,null
2016-05-01 18:09:19,2457510.256,19.51
2016-05-01 19:55:53,2457510.330,untrusted
2016-06-04 07:23:34,2457543.808,null
2016-06-24 23:35:20,2457564.483,null
2016-06-25 01:22:04,2457564.557,null
2016-10-01 16:07:43,2457663.172,null
2016-10-01 20:20:54,2457663.348,null
2016-10-15 10:14:52,2457676.927,null
2016-11-21 01:45:37,2457713.573,null
2016-12-26 07:22:03,2457748.807,null
2016-12-26 09:08:13,2457748.881,null
2017-01-11 15:18:45,2457765.138,null
2017-01-11 19:32:31,2457765.314,null
2017-01-11 21:19:16,2457765.388,null
2017-03-20 21:02:06,2457833.376,null
2017-03-20 22:48:51,2457833.451,null
2017-03-21 03:02:35,2457833.627,null
2017-03-21 04:49:20,2457833.701,null
2017-03-21 09:02:29,2457833.877,null
2017-03-21 10:49:14,2457833.951,null
2017-04-03 21:10:58,2457847.383,null
2017-04-03 22:57:43,2457847.457,null
2017-04-04 03:11:27,2457847.633,null
2017-05-13 02:40:21,2457886.611,null
2017-05-13 04:27:06,2457886.685,null
2017-06-19 03:41:27,2457923.654,null
2017-07-05 01:58:59,2457939.583,null
2017-07-05 03:45:44,2457939.657,null
2017-10-11 06:31:28,2458037.772,null
2017-10-29 16:48:38,2458056.200,null
2017-10-29 18:34:43,2458056.274,19.33
2017-12-01 22:17:59,2458089.429,19.17
2018-03-30 16:10:24,2458208.174,15.74
2018-03-30 17:56:57,2458208.248,null
2018-04-21 04:14:27,2458229.677,null
2018-04-21 06:00:43,2458229.750,19.32
2018-05-24 09:48:31,2458262.909,null
2018-05-24 11:34:40,2458262.982,null
2018-07-04 04:36:33,2458303.692,19.54
2018-07-04 08:50:13,2458303.868,19.62
2018-07-04 10:37:05,2458303.942,null
2018-07-14 08:56:45,2458313.873,null
2018-07-14 10:42:51,2458313.946,19.50
2018-10-21 07:35:26,2458412.816,19.56
2018-10-21 11:49:04,2458412.992,null
2018-11-12 23:46:27,2458435.491,null
2018-12-12 19:15:43,2458465.303,null
2019-04-10 11:19:41,2458583.972,untrusted
2019-04-10 13:06:14,2458584.046,19.30
2019-05-06 17:13:13,2458610.218,null
2019-05-06 18:59:38,2458610.291,19.34
2019-06-04 16:55:04,2458639.205,19.45
2019-06-04 18:41:41,2458639.279,null
2019-10-14 16:00:44,2458771.167,19.35
2019-10-14 20:14:25,2458771.343,19.32
2019-11-09 15:11:38,2458797.133,null
2019-11-09 16:58:23,2458797.207,null
2019-12-06 22:21:53,2458824.432,14.87
2019-12-07 00:08:28,2458824.506,14.81

