Gaia19fmk
#Date,JD,averagemag.
2014-11-19 06:35:07,2456980.774,null
2014-11-19 08:21:16,2456980.848,null
2014-11-29 12:41:03,2456991.029,null
2014-11-29 14:27:13,2456991.102,null
2015-01-14 22:56:03,2457037.456,null
2015-01-15 00:42:13,2457037.529,null
2015-01-15 04:55:58,2457037.706,null
2015-01-21 23:01:36,2457044.459,null
2015-01-22 00:48:21,2457044.534,null
2015-01-22 05:01:31,2457044.709,null
2015-01-22 06:48:17,2457044.784,null
2015-03-04 11:39:57,2457085.986,null
2015-03-04 15:53:43,2457086.162,null
2015-03-30 21:44:11,2457112.406,null
2015-04-28 21:35:37,2457141.400,null
2015-04-28 23:22:22,2457141.474,null
2015-08-26 15:17:00,2457261.137,null
2015-08-26 17:03:09,2457261.211,null
2015-09-25 20:59:14,2457291.374,null
2015-10-21 08:46:58,2457316.866,null
2015-12-02 19:29:40,2457359.312,null
2015-12-02 21:16:24,2457359.386,null
2015-12-03 01:29:34,2457359.562,null
2015-12-08 13:33:57,2457365.065,null
2015-12-08 15:20:42,2457365.139,null
2015-12-08 19:34:26,2457365.316,null
2015-12-08 21:21:11,2457365.390,null
2016-01-24 05:50:46,2457411.744,null
2016-01-24 07:37:32,2457411.818,null
2016-02-04 17:58:08,2457423.249,null
2016-03-14 11:00:52,2457461.959,null
2016-04-13 16:45:45,2457492.198,null
2016-04-13 18:31:56,2457492.272,null
2016-05-09 16:46:57,2457518.199,null
2016-05-09 18:33:43,2457518.273,null
2016-05-09 22:47:28,2457518.450,null
2016-07-10 10:41:59,2457579.946,null
2016-07-10 12:28:44,2457580.020,null
2016-07-10 16:42:29,2457580.196,null
2016-07-10 18:28:38,2457580.270,null
2016-07-10 22:42:23,2457580.446,null
2016-07-11 00:29:08,2457580.520,null
2016-07-11 04:42:53,2457580.696,null
2016-07-11 06:29:38,2457580.771,null
2016-07-11 12:29:32,2457581.021,null
2016-07-20 12:36:43,2457590.025,null
2016-07-20 16:50:28,2457590.202,null
2016-07-20 18:37:12,2457590.276,null
2016-07-20 22:50:57,2457590.452,null
2016-07-21 00:37:42,2457590.526,null
2016-07-21 04:50:51,2457590.702,null
2016-07-21 06:37:36,2457590.776,null
2016-07-21 10:51:21,2457590.952,null
2016-09-06 10:25:43,2457637.935,null
2016-09-06 12:12:28,2457638.009,null
2016-10-09 03:55:41,2457670.664,null
2016-10-09 05:42:25,2457670.738,null
2016-10-30 21:50:26,2457692.410,null
2016-10-30 23:36:36,2457692.484,null
2017-02-01 20:35:49,2457786.358,null
2017-02-02 00:49:00,2457786.534,null
2017-02-17 04:03:29,2457801.669,null
2017-03-25 13:32:35,2457838.064,null
2017-03-25 15:18:46,2457838.138,null
2017-04-29 07:12:11,2457872.800,null
2017-04-29 08:58:56,2457872.874,null
2017-05-21 13:21:33,2457895.057,null
2017-05-21 15:07:43,2457895.130,null
2017-05-21 19:21:29,2457895.307,null
2017-07-22 01:14:54,2457956.552,null
2017-07-22 03:01:39,2457956.626,null
2017-07-22 07:15:24,2457956.802,null
2017-07-22 09:02:08,2457956.876,null
2017-08-09 21:11:13,2457975.383,null
2017-08-10 01:24:57,2457975.559,null
2017-09-18 00:56:44,2458014.539,null
2017-09-18 02:43:28,2458014.614,null
2017-10-23 02:00:14,2458049.583,null
2017-10-23 06:13:58,2458049.760,null
2017-11-10 06:14:02,2458067.760,null
2018-02-11 21:12:32,2458161.384,null
2018-02-11 22:59:17,2458161.458,null
2018-03-02 21:14:18,2458180.385,null
2018-03-02 23:01:04,2458180.459,null
2018-04-05 22:28:45,2458214.437,null
2018-05-16 14:20:53,2458255.098,null
2018-05-16 16:07:03,2458255.172,null
2018-05-16 20:20:49,2458255.348,null
2018-05-16 22:07:34,2458255.422,null
2018-06-02 04:19:21,2458271.680,null
2018-06-02 08:33:06,2458271.856,null
2018-06-02 10:19:16,2458271.930,null
2018-06-02 14:33:02,2458272.106,null
2018-08-03 02:25:46,2458333.601,null
2018-08-03 04:12:31,2458333.675,null
2018-08-26 20:29:25,2458357.354,null
2018-08-26 22:16:10,2458357.428,null
2018-11-05 20:55:23,2458428.372,null
2018-11-06 01:09:07,2458428.548,null
2018-11-20 01:12:48,2458442.551,null
2018-11-20 02:59:32,2458442.625,null
2019-01-06 13:18:42,2458490.055,null
2019-01-06 17:32:27,2458490.231,null
2019-01-06 19:19:12,2458490.305,null
2019-01-06 23:32:57,2458490.481,null
2019-01-07 01:19:08,2458490.555,null
2019-01-07 05:32:53,2458490.731,null
2019-01-07 07:19:38,2458490.805,null
2019-01-07 11:33:23,2458490.982,null
2019-01-07 13:19:33,2458491.055,null
2019-01-07 17:33:19,2458491.231,null
2019-01-07 19:20:04,2458491.306,null
2019-01-07 23:33:49,2458491.482,null
2019-01-08 01:20:34,2458491.556,null
2019-01-08 05:33:44,2458491.732,null
2019-01-08 07:20:29,2458491.806,null
2019-01-08 11:34:15,2458491.982,null
2019-01-08 13:21:00,2458492.056,null
2019-02-22 04:16:08,2458536.678,null
2019-02-22 06:02:53,2458536.752,null
2019-04-17 11:39:12,2458590.986,null
