Gaia19fpw
#Date,JD,averagemag.
2014-08-31 22:44:44,2456901.448,null
2015-01-09 04:43:16,2457031.697,20.82
2015-01-24 04:49:12,2457046.701,null
2015-01-24 06:35:16,2457046.774,untrusted
2015-03-01 05:49:36,2457082.743,null
2015-04-04 05:29:24,2457116.729,null
2015-04-04 09:43:10,2457116.905,null
2015-04-26 11:37:39,2457138.984,null
2015-04-26 15:51:24,2457139.161,null
2015-06-26 15:45:01,2457200.156,null
2015-06-26 17:31:11,2457200.230,null
2015-06-26 21:44:55,2457200.406,null
2015-06-26 23:31:40,2457200.480,null
2015-07-15 03:54:43,2457218.663,null
2015-07-15 05:41:28,2457218.737,null
2015-07-15 09:55:12,2457218.913,null
2015-08-23 23:12:59,2457258.467,null
2015-09-28 10:31:27,2457293.939,20.63
2015-10-16 20:44:59,2457312.365,null
2015-10-16 22:31:29,2457312.439,20.53
2016-01-19 01:30:37,2457406.563,20.65
2016-02-06 17:45:58,2457425.240,20.71
2016-02-06 19:32:32,2457425.314,20.86
2016-03-11 11:12:50,2457458.967,null
2016-03-11 12:59:35,2457459.041,null
2016-04-20 04:50:52,2457498.702,null
2016-04-20 06:37:05,2457498.776,20.67
2016-04-20 10:50:48,2457498.952,null
2016-04-20 12:37:20,2457499.026,20.71
2016-05-07 00:48:52,2457515.534,20.71
2016-05-07 05:02:32,2457515.710,untrusted
2016-05-07 06:49:06,2457515.784,untrusted
2016-05-07 11:02:47,2457515.960,20.54
2016-07-07 10:55:25,2457576.955,null
2016-07-07 12:41:35,2457577.029,null
2016-07-07 16:55:19,2457577.205,null
2016-07-07 18:42:04,2457577.279,null
2016-07-31 04:59:43,2457600.708,null
2016-07-31 06:45:52,2457600.782,null
2016-10-11 09:40:10,2457672.903,null
2016-10-11 11:26:40,2457672.977,untrusted
2016-10-25 23:30:58,2457687.480,null
2016-12-12 15:50:36,2457735.160,untrusted
2016-12-12 21:50:51,2457735.410,20.78
2016-12-13 02:04:32,2457735.586,20.80
2016-12-13 03:51:06,2457735.660,21.02
2016-12-13 08:04:47,2457735.837,null
2016-12-13 09:51:21,2457735.911,20.88
2016-12-13 14:05:17,2457736.087,null
2016-12-13 15:52:02,2457736.161,null
2016-12-13 20:05:48,2457736.337,null
2016-12-13 21:51:50,2457736.411,20.75
2016-12-14 02:05:30,2457736.587,untrusted
2016-12-14 03:52:05,2457736.661,21.05
2016-12-14 08:05:45,2457736.837,20.72
2016-12-14 09:52:23,2457736.911,null
2016-12-14 14:06:09,2457737.088,null
2016-12-14 15:52:54,2457737.162,null
2017-01-28 06:47:35,2457781.783,19.45
2017-01-28 08:34:09,2457781.857,untrusted
2017-03-22 19:45:37,2457835.323,untrusted
2017-03-22 21:32:22,2457835.397,null
2017-05-10 19:28:41,2457884.312,null
2017-05-10 21:15:26,2457884.386,null
2017-05-11 01:29:11,2457884.562,null
2017-05-11 03:15:56,2457884.636,null
2017-05-11 07:29:42,2457884.812,null
2017-05-11 09:15:52,2457884.886,null
2017-05-11 13:29:37,2457885.062,null
2017-05-11 15:16:22,2457885.136,null
2017-05-11 19:30:08,2457885.313,null
2017-05-11 21:16:18,2457885.386,null
2017-05-12 01:30:03,2457885.563,null
2017-05-12 03:16:29,2457885.636,20.68
2017-05-12 09:16:43,2457885.887,20.74
2017-05-12 15:17:14,2457886.137,null
2017-05-16 15:20:42,2457890.139,null
2017-05-16 21:20:57,2457890.390,untrusted
2017-05-17 01:34:57,2457890.566,null
2017-05-17 03:21:12,2457890.640,untrusted
2017-05-17 07:34:53,2457890.816,null
2017-05-17 09:21:26,2457890.890,21.06
2017-05-17 13:35:23,2457891.066,null
2017-05-17 15:22:08,2457891.140,null
2017-05-17 19:35:18,2457891.316,null
2017-05-17 21:21:55,2457891.390,20.74
2017-05-18 01:35:49,2457891.567,null
2017-05-18 03:22:10,2457891.640,untrusted
2017-05-18 07:35:50,2457891.817,20.76
2017-05-18 09:22:29,2457891.891,null
2017-05-18 13:36:14,2457892.067,null
2017-07-19 13:27:47,2457954.061,20.72
2017-07-19 15:14:21,2457954.135,20.93
2017-08-16 01:23:09,2457981.558,null
2017-10-25 01:43:51,2458051.572,20.80
2017-10-25 05:57:46,2458051.748,null
2017-10-25 07:44:31,2458051.823,null
2017-11-04 18:03:36,2458062.253,null
2017-11-04 19:50:21,2458062.327,null
2017-12-21 10:18:41,2458108.930,untrusted
2017-12-21 12:05:16,2458109.004,20.84
2017-12-21 16:18:56,2458109.180,20.87
2017-12-28 10:24:38,2458115.934,null
2017-12-28 12:11:23,2458116.008,null
2018-02-07 21:16:14,2458157.386,null
2018-03-05 15:06:15,2458183.129,null
2018-04-03 08:57:10,2458211.873,null
2018-04-03 10:43:21,2458211.947,null
2018-07-31 14:37:43,2458331.110,null
2018-07-31 16:24:09,2458331.183,20.66
2018-08-31 02:21:38,2458361.598,null
2018-09-26 02:08:34,2458387.589,null
2018-11-07 20:38:43,2458430.360,untrusted
2018-11-08 00:52:22,2458430.536,20.71
2018-11-08 02:38:56,2458430.610,20.48
2018-11-14 00:57:07,2458436.540,untrusted
2018-11-14 02:43:45,2458436.614,null
2018-12-30 19:00:17,2458483.292,untrusted
2018-12-30 23:14:20,2458483.468,null
2019-01-10 23:20:41,2458494.473,untrusted
2019-01-11 01:07:16,2458494.547,20.82
2019-02-18 12:09:38,2458533.007,null
2019-03-20 04:07:25,2458562.672,20.13
2019-03-20 05:54:04,2458562.746,null
2019-04-14 23:54:32,2458588.496,21.00
2019-04-15 04:08:33,2458588.673,null
2019-06-15 04:02:44,2458649.669,null
2019-06-15 10:03:14,2458649.919,null
2019-06-15 11:49:24,2458649.993,null
2019-06-15 16:03:08,2458650.169,null
2019-06-15 17:49:33,2458650.243,20.74
2019-06-15 22:03:38,2458650.419,null
2019-06-15 23:49:47,2458650.493,20.91
2019-06-16 04:03:33,2458650.669,null
2019-06-16 05:50:18,2458650.743,null
2019-06-16 11:50:14,2458650.993,20.94
2019-06-24 17:57:08,2458659.248,20.62
2019-06-24 22:10:50,2458659.424,null
2019-06-24 23:57:22,2458659.498,untrusted
2019-06-25 04:11:01,2458659.674,20.58
2019-06-25 05:57:35,2458659.748,20.95
2019-06-25 10:11:14,2458659.924,null
2019-06-25 11:57:59,2458659.999,null
2019-06-25 16:11:44,2458660.175,null
2019-08-23 19:33:45,2458719.315,null
2019-08-23 21:20:30,2458719.389,null
2019-09-23 14:46:55,2458750.116,untrusted
2019-09-23 16:34:00,2458750.190,null
2019-10-19 09:34:48,2458775.899,null
2019-10-19 11:20:57,2458775.973,null
2019-12-16 19:20:01,2458834.306,19.13
2019-12-16 23:33:41,2458834.482,18.98
2019-12-17 01:20:15,2458834.556,19.24
2019-12-17 05:33:55,2458834.732,19.07
2019-12-17 07:20:30,2458834.806,19.04
2019-12-17 11:34:10,2458834.982,19.08
2019-12-17 13:20:44,2458835.056,19.06
2019-12-17 17:34:25,2458835.232,19.13
2019-12-26 17:44:23,2458844.239,null
2019-12-26 19:31:08,2458844.313,null
2019-12-26 23:44:54,2458844.490,null
2019-12-27 01:31:04,2458844.563,null
2019-12-27 05:44:41,2458844.739,untrusted
2019-12-27 07:31:16,2458844.813,20.66
2019-12-27 13:31:30,2458845.064,20.62
2020-02-09 13:36:33,2458889.067,null
2020-02-09 15:23:06,2458889.141,20.61

