Gaia19fqg
#Date,JD,averagemag.
2014-11-15 03:12:15,2456976.634,null
2014-11-15 07:25:24,2456976.809,null
2015-05-04 14:49:03,2457147.117,null
2015-05-31 08:41:40,2457173.862,null
2015-05-31 10:28:26,2457173.936,null
2015-06-28 08:37:22,2457201.859,null
2015-06-28 10:23:33,2457201.933,null
2015-11-01 14:39:35,2457328.111,null
2015-11-29 16:07:42,2457356.172,null
2015-12-23 08:10:07,2457379.840,null
2016-05-14 09:58:09,2457522.915,null
2016-05-14 11:44:55,2457522.990,null
2016-06-14 21:42:46,2457554.405,null
2016-06-14 23:29:32,2457554.479,null
2016-07-08 05:34:46,2457577.732,null
2016-07-08 09:48:32,2457577.909,null
2016-11-11 09:48:30,2457703.909,null
2016-12-12 21:15:56,2457735.386,null
2016-12-12 23:02:41,2457735.460,null
2017-01-01 03:13:44,2457754.635,null
2017-01-01 05:00:28,2457754.709,null
2017-04-05 13:06:20,2457849.046,null
2017-04-05 14:53:06,2457849.120,null
2017-04-05 19:06:16,2457849.296,null
2017-04-16 13:14:09,2457860.051,null
2017-04-16 15:00:55,2457860.126,null
2017-05-25 14:17:25,2457899.095,null
2017-07-01 13:56:00,2457936.081,null
2017-07-01 18:09:46,2457936.257,null
2017-07-01 19:55:56,2457936.331,null
2017-07-18 00:20:25,2457952.514,null
2017-07-18 02:07:10,2457952.588,null
2017-07-18 06:20:56,2457952.765,null
2017-10-04 06:45:17,2458030.781,null
2017-10-04 12:45:46,2458031.032,null
2017-10-04 14:31:56,2458031.106,null
2017-10-04 18:45:40,2458031.282,null
2017-10-04 20:32:25,2458031.356,null
2017-10-05 00:46:09,2458031.532,null
2017-10-05 02:32:19,2458031.606,null
2017-10-12 14:38:31,2458039.110,null
2017-10-12 18:52:15,2458039.286,null
2017-10-12 20:38:24,2458039.360,null
2017-10-13 00:52:08,2458039.536,null
2017-10-13 02:38:53,2458039.610,null
2017-12-27 01:19:33,2458114.555,null
2018-01-10 05:36:31,2458128.734,null
2018-01-10 07:23:16,2458128.808,null
2018-04-14 14:06:46,2458223.088,null
2018-05-01 15:58:58,2458240.166,null
2018-06-05 21:28:46,2458275.395,null
2018-10-12 01:51:09,2458403.577,null
2018-10-12 03:37:19,2458403.651,null
2018-10-31 01:55:43,2458422.580,null
2018-10-31 03:42:28,2458422.654,null
2018-12-02 19:26:45,2458455.310,null
2018-12-02 21:13:30,2458455.384,null
2019-01-10 20:14:03,2458494.343,null
2019-01-11 00:27:47,2458494.519,null
2019-01-11 02:14:32,2458494.593,null
2019-01-18 00:33:01,2458501.523,null
2019-01-18 02:19:11,2458501.597,null
2019-01-18 06:32:55,2458501.773,null
2019-01-18 08:19:40,2458501.847,null
2019-04-24 09:10:37,2458597.882,null
2019-04-24 10:57:23,2458597.957,null
2019-05-16 15:11:02,2458620.133,null
2019-06-17 08:53:51,2458651.871,null
2019-07-21 00:09:35,2458685.507,null
2019-07-21 04:23:21,2458685.683,null
2019-07-21 06:10:06,2458685.757,null
2019-07-21 10:23:17,2458685.933,null
2019-11-19 01:18:47,2458806.555,null
2019-12-18 18:46:08,2458836.282,18.96
2019-12-18 20:32:41,2458836.356,18.99

