Gaia19fql
#Date,JD,averagemag.
2014-08-30 07:59:44,2456899.833,untrusted
2014-10-02 06:42:35,2456932.780,untrusted
2014-10-02 10:56:16,2456932.956,untrusted
2015-01-04 21:27:47,2457027.394,18.57
2015-01-24 13:38:01,2457047.068,18.53
2015-01-24 15:24:34,2457047.142,18.55
2015-02-25 13:04:49,2457079.045,null
2015-02-25 14:50:58,2457079.119,null
2015-06-27 06:51:11,2457200.786,18.58
2015-06-27 08:37:45,2457200.860,18.55
2015-07-21 12:56:41,2457225.039,18.62
2015-07-21 14:43:15,2457225.113,18.58
2015-08-22 14:27:21,2457257.102,18.55
2015-10-02 17:46:50,2457298.241,18.59
2015-10-02 19:33:25,2457298.315,18.57
2015-10-11 07:40:16,2457306.820,null
2015-10-11 11:54:02,2457306.996,null
2016-01-14 22:30:45,2457402.438,18.54
2016-02-07 14:33:17,2457426.106,18.57
2016-03-07 14:13:06,2457455.092,18.60
2016-03-07 15:59:39,2457455.166,18.56
2016-07-07 15:49:18,2457577.159,18.54
2016-07-07 20:02:59,2457577.335,18.57
2016-08-05 01:58:34,2457605.582,18.55
2016-08-05 03:45:09,2457605.656,null
2016-09-01 19:49:39,2457633.326,18.57
2016-12-09 22:56:53,2457732.456,18.53
2016-12-10 00:43:27,2457732.530,18.52
2016-12-10 04:57:06,2457732.706,18.54
2016-12-10 06:43:40,2457732.780,18.55
2016-12-10 10:57:20,2457732.956,18.46
2016-12-10 12:43:54,2457733.030,18.58
2016-12-10 16:57:33,2457733.207,18.56
2016-12-10 18:44:07,2457733.281,18.55
2016-12-10 22:57:46,2457733.457,18.51
2016-12-11 00:44:20,2457733.531,18.49
2016-12-11 04:57:59,2457733.707,18.54
2016-12-11 06:44:33,2457733.781,18.54
2016-12-11 12:44:46,2457734.031,18.57
2016-12-11 16:58:26,2457734.207,18.58
2016-12-11 18:44:59,2457734.281,18.54
2016-12-11 22:58:39,2457734.457,18.51
2016-12-12 00:45:12,2457734.531,18.54
2016-12-12 04:58:52,2457734.708,18.57
2016-12-12 06:45:26,2457734.782,18.58
2016-12-12 10:59:05,2457734.958,18.54
2016-12-12 12:45:39,2457735.032,untrusted
2016-12-12 16:59:18,2457735.208,18.56
2016-12-12 18:45:52,2457735.282,18.55
2016-12-12 22:59:32,2457735.458,18.53
2017-01-24 09:49:08,2457777.909,untrusted
2017-02-20 22:52:16,2457805.453,18.57
2017-03-18 16:44:47,2457831.198,18.53
2017-03-18 18:31:20,2457831.272,18.56
2017-07-19 10:37:16,2457953.943,18.56
2017-08-20 04:21:15,2457985.681,18.56
2017-09-12 12:05:26,2458009.004,untrusted
2017-12-17 13:12:07,2458105.050,18.55
