Gaia19fqu
#Date,JD,averagemag.
2014-08-26 20:33:20,2456896.356,null
2014-08-26 22:19:31,2456896.430,null
2015-01-24 02:45:54,2457046.615,null
2015-02-15 12:54:30,2457069.038,null
2015-02-15 14:41:15,2457069.112,null
2015-06-29 01:30:13,2457202.563,null
2015-07-30 19:12:55,2457234.301,null
2015-07-30 20:59:40,2457234.375,null
2015-08-20 15:03:33,2457255.127,null
2016-01-06 20:28:11,2457394.353,null
2016-02-08 07:55:18,2457426.830,null
2016-02-08 09:42:02,2457426.904,null
2016-02-24 08:00:17,2457442.834,null
2016-02-24 09:47:02,2457442.908,null
2016-07-09 02:42:22,2457578.613,null
2016-08-14 14:12:56,2457615.092,null
2016-08-14 15:59:07,2457615.166,null
2016-08-28 10:07:46,2457628.922,null
2016-08-28 14:21:32,2457629.098,null
2016-08-28 16:08:17,2457629.172,null
2016-11-30 16:16:10,2457723.178,null
2016-11-30 18:02:19,2457723.252,null
2016-11-30 22:16:03,2457723.428,null
2016-12-01 00:02:48,2457723.502,null
2016-12-11 00:08:16,2457733.506,null
2016-12-11 04:21:59,2457733.682,null
2017-01-16 03:36:30,2457769.650,null
2017-01-16 05:23:15,2457769.724,null
2017-05-30 11:30:47,2457903.980,null
2017-05-30 13:16:58,2457904.053,null
2017-05-30 17:30:44,2457904.230,null
2017-06-13 05:40:32,2457917.736,null
2017-06-13 07:27:18,2457917.811,null
2017-06-13 11:41:04,2457917.987,null
2017-06-13 13:27:15,2457918.061,null
2017-07-20 05:16:48,2457954.720,null
2017-12-08 14:25:35,2458096.101,null
2017-12-26 08:26:10,2458113.852,null
2017-12-26 12:39:53,2458114.028,null
2018-01-26 13:53:49,2458145.079,null
2018-06-08 02:24:05,2458277.600,null
2018-06-08 06:37:16,2458277.776,null
2018-06-30 00:42:38,2458299.530,null
2018-06-30 02:29:24,2458299.604,null
2018-07-31 06:27:47,2458330.769,null
2018-12-17 19:43:09,2458470.322,null
2018-12-17 21:29:54,2458470.396,null
2019-01-09 21:20:14,2458493.389,null
2019-02-05 21:02:10,2458520.377,null
2019-06-18 09:33:50,2458652.898,null
2019-06-18 13:47:36,2458653.075,null
2019-07-15 13:42:49,2458680.071,null
2019-07-15 15:28:59,2458680.145,null
2019-08-10 10:16:59,2458705.928,null
2019-08-10 12:03:10,2458706.002,null
2019-12-19 19:54:26,2458837.329,18.64
2019-12-19 21:41:00,2458837.403,18.65
2020-01-14 14:50:48,2458863.119,19.51
2020-01-14 16:37:22,2458863.193,19.46
2020-02-07 21:42:55,2458887.405,null
2020-02-07 23:29:06,2458887.479,20.77

