Gaia19fta
#Date,JD,averagemag.
2014-11-16 08:16:44,2456977.845,null
2014-11-16 12:30:29,2456978.021,null
2014-11-30 18:34:25,2456992.274,null
2014-11-30 20:20:35,2456992.348,null
2015-01-12 06:46:57,2457034.783,null
2015-01-12 11:00:42,2457034.959,null
2015-01-25 12:52:57,2457048.037,null
2015-03-05 10:03:20,2457086.919,null
2015-03-05 11:50:05,2457086.993,null
2015-04-01 11:38:46,2457113.985,null
2015-05-01 11:28:14,2457143.978,null
2015-05-01 15:42:00,2457144.154,null
2015-06-18 09:23:23,2457191.891,null
2015-06-18 11:09:33,2457191.965,null
2015-07-08 21:35:06,2457212.399,null
2015-07-08 23:21:16,2457212.473,null
2015-07-09 03:35:00,2457212.649,null
2015-07-09 05:21:45,2457212.723,null
2015-08-23 21:11:04,2457258.383,null
2015-08-23 22:57:13,2457258.456,null
2015-09-24 10:37:07,2457289.942,null
2015-10-20 02:37:51,2457315.610,null
2015-10-20 04:24:36,2457315.684,null
2015-11-29 01:25:30,2457355.559,null
2015-11-29 03:11:39,2457355.633,null
2015-12-11 07:30:58,2457367.813,null
2015-12-11 09:17:08,2457367.887,null
2016-01-22 19:45:18,2457410.323,null
2016-03-15 17:10:46,2457463.216,null
2016-04-15 04:54:29,2457493.705,null
2016-05-13 00:39:46,2457521.528,null
2016-05-13 04:53:31,2457521.704,null
2016-07-02 16:35:31,2457572.191,null
2016-07-02 18:22:16,2457572.265,null
2016-07-24 18:31:48,2457594.272,null
2016-07-24 22:45:33,2457594.448,null
2016-07-25 00:32:18,2457594.522,null
2016-09-04 04:19:12,2457635.680,null
2016-09-04 06:05:56,2457635.754,null
2016-10-07 11:34:30,2457668.982,null
2016-10-30 03:41:17,2457691.654,null
2016-10-30 05:27:27,2457691.727,null
2016-12-10 08:20:13,2457732.847,null
2016-12-10 10:06:58,2457732.922,null
2016-12-21 02:25:50,2457743.601,null
2016-12-21 04:12:35,2457743.675,null
2017-02-01 06:58:14,2457785.790,null
2017-02-01 08:44:59,2457785.865,null
2017-03-27 01:41:05,2457839.570,null
2017-03-27 03:27:50,2457839.644,null
2017-04-30 07:21:56,2457873.807,null
2017-04-30 09:08:06,2457873.881,null
2017-05-25 21:13:17,2457899.384,null
2017-05-26 01:27:03,2457899.560,null
2017-07-16 19:09:27,2457951.298,null
2017-07-16 20:56:12,2457951.372,null
2017-08-10 09:02:01,2457975.876,null
2017-08-10 13:15:11,2457976.052,null
2017-09-16 00:49:42,2458012.535,null
2017-09-16 02:35:52,2458012.608,null
2017-10-21 06:07:33,2458047.755,null
2017-12-21 22:37:40,2458109.443,null
2017-12-22 00:24:25,2458109.517,null
2018-01-01 10:43:33,2458119.947,null
2018-01-01 12:30:18,2458120.021,null
2018-02-11 21:22:37,2458161.391,null
2018-02-11 23:09:22,2458161.465,null
2018-03-04 21:21:18,2458182.390,null
2018-03-04 23:07:28,2458182.464,null
2018-04-07 16:36:24,2458216.192,null
2018-04-07 20:50:09,2458216.368,null
2018-05-16 08:28:59,2458254.853,null
2018-05-16 10:15:44,2458254.928,null
2018-06-08 10:25:18,2458277.934,null
2018-06-08 14:39:03,2458278.110,null
2018-06-08 16:25:48,2458278.185,null
2018-07-30 02:20:35,2458329.598,null
2018-07-30 04:06:44,2458329.671,null
2018-08-26 04:05:21,2458356.670,null
2018-09-27 19:56:12,2458389.331,null
2018-11-03 14:49:50,2458426.118,null
2018-11-20 13:05:10,2458443.045,null
2018-11-20 14:51:20,2458443.119,null
2019-01-01 23:33:13,2458485.481,null
2019-01-02 01:19:23,2458485.555,null
2019-01-13 11:38:58,2458496.985,null
2019-01-13 13:25:43,2458497.060,null
2019-02-22 16:26:33,2458537.185,null
2019-02-22 18:13:18,2458537.259,null
2019-03-18 16:20:33,2458561.181,null
2019-03-18 18:06:43,2458561.255,null
2019-04-19 16:00:21,2458593.167,null
2019-04-19 17:46:31,2458593.241,null
2019-06-01 21:39:06,2458636.402,null
2019-06-01 23:25:51,2458636.476,null
2019-06-02 03:39:37,2458636.653,null
2019-06-02 05:26:22,2458636.727,null
2019-06-22 23:37:54,2458657.485,null
2019-06-23 03:51:04,2458657.660,null
2019-06-23 05:37:49,2458657.735,null
2019-06-23 09:51:34,2458657.911,null
2019-08-28 01:38:24,2458723.568,null
2019-08-28 03:25:08,2458723.642,null
2019-09-22 02:31:33,2458748.605,null
2019-10-23 21:51:38,2458780.411,null
2019-10-23 23:38:23,2458780.485,null
2019-12-04 17:33:13,2458822.231,null
2019-12-04 19:19:58,2458822.306,null
2019-12-04 23:33:42,2458822.482,null
2019-12-24 11:59:54,2458842.000,18.88
2019-12-24 18:00:09,2458842.250,18.90
2019-12-24 19:46:43,2458842.324,18.92

