Gaia20aad
#Date,JD,averagemag.
2014-09-07 08:48:43,2456907.867,untrusted
2014-12-29 12:50:09,2457021.035,untrusted
2014-12-29 14:36:43,2457021.109,untrusted
2015-01-15 00:54:40,2457037.538,untrusted
2015-01-15 02:41:14,2457037.612,19.09
2015-02-16 12:22:47,2457070.016,19.13
2015-02-16 14:09:21,2457070.090,19.12
2015-07-09 03:27:50,2457212.644,19.18
2015-07-09 07:41:31,2457212.820,19.19
2015-07-30 13:44:46,2457234.073,null
2015-07-30 15:31:31,2457234.147,null
2015-08-30 21:14:53,2457265.385,null
2015-08-31 01:28:08,2457265.561,19.23
2016-01-07 13:56:25,2457395.081,19.20
2016-01-07 15:42:58,2457395.155,19.17
2016-01-30 03:37:17,2457417.651,19.12
2016-02-26 19:30:10,2457445.313,19.12
2016-02-26 21:16:43,2457445.387,19.16
2016-07-18 08:49:42,2457587.868,null
2016-07-18 10:35:58,2457587.942,19.09
2016-08-13 20:43:49,2457614.364,19.05
2016-08-13 22:30:23,2457614.438,19.06
2016-09-09 14:39:17,2457641.111,19.11
2016-09-09 16:25:52,2457641.185,19.06
2017-01-16 09:04:06,2457769.878,19.02
2017-01-16 10:50:40,2457769.952,19.01
2017-02-12 17:54:21,2457797.246,19.01
2017-03-07 21:58:56,2457820.416,19.02
2017-03-07 23:45:29,2457820.490,untrusted
2017-07-29 05:22:21,2457963.724,null
2017-08-29 11:06:19,2457994.963,19.08
2017-09-19 12:58:08,2458016.040,19.10
2017-09-19 17:11:49,2458016.217,18.99
2017-09-19 18:58:24,2458016.291,untrusted
2018-01-26 17:34:59,2458145.233,19.09
2018-01-26 19:21:32,2458145.307,19.09
2018-03-17 11:03:11,2458194.961,19.02
2018-06-24 20:55:37,2458294.372,18.99
2018-06-25 02:55:53,2458294.622,19.01
2018-06-25 07:09:34,2458294.798,19.02
2018-06-25 08:56:09,2458294.872,18.99
2018-06-25 13:09:50,2458295.048,18.99
2018-06-25 14:56:24,2458295.123,18.94
2018-06-25 19:10:06,2458295.299,18.99
2018-06-25 20:56:40,2458295.373,18.97
2018-06-26 02:56:56,2458295.623,19.01
2018-06-26 08:57:12,2458295.873,19.04
2018-08-09 02:19:37,2458339.597,18.99
2018-08-09 06:33:18,2458339.773,18.95
2018-09-15 00:08:38,2458376.506,18.99
2018-09-15 01:55:13,2458376.580,18.98
2018-09-27 20:04:42,2458389.337,18.99
2018-09-28 00:18:23,2458389.513,18.97
2018-09-28 02:04:58,2458389.587,18.99
2018-09-28 06:18:39,2458389.763,untrusted
2018-12-25 13:19:26,2458478.055,18.88
2018-12-25 19:19:39,2458478.305,18.96
2018-12-26 01:19:53,2458478.555,18.88
2018-12-26 07:20:06,2458478.806,18.92
2018-12-26 13:20:19,2458479.056,18.91
2018-12-26 19:20:32,2458479.306,18.90
2018-12-27 01:20:45,2458479.556,18.93
2019-02-06 06:43:24,2458520.780,18.91
2019-02-06 08:29:57,2458520.854,18.96
2019-03-14 17:57:27,2458557.248,18.93
2019-03-14 19:44:01,2458557.322,18.93
2019-03-14 23:57:39,2458557.498,18.95
2019-03-25 12:03:26,2458568.002,18.96
2019-03-25 13:50:00,2458568.076,18.93
2019-06-30 03:51:50,2458664.661,18.90
2019-06-30 08:05:31,2458664.837,18.87
2019-07-15 02:14:01,2458679.593,18.92
2019-07-15 04:00:36,2458679.667,18.89
2019-08-10 18:35:37,2458706.275,18.83
2019-09-18 06:47:23,2458744.783,18.77
2019-09-18 08:33:58,2458744.857,18.73
2019-09-28 07:00:24,2458754.792,18.73
2019-09-28 08:46:58,2458754.866,18.74
2019-09-28 13:00:39,2458755.042,18.72
2019-12-30 19:58:20,2458848.332,18.67
2019-12-30 21:44:54,2458848.406,18.67
2020-01-14 04:04:39,2458862.670,18.67
2020-01-14 08:18:18,2458862.846,18.62
2020-02-16 21:52:46,2458896.412,null
2020-02-16 23:39:01,2458896.485,18.62

