Gaia20aex
#Date,JD,averagemag.
2015-01-01 23:50:41,2457024.494,19.59
2015-01-02 04:04:22,2457024.670,19.86
2015-01-19 16:09:51,2457042.174,untrusted
2015-01-19 17:56:26,2457042.248,19.58
2015-02-20 03:46:30,2457073.657,untrusted
2015-07-04 22:27:37,2457208.436,19.77
2015-07-05 00:14:10,2457208.510,19.63
2015-07-26 12:14:27,2457230.010,null
2015-07-26 16:27:36,2457230.186,null
2015-08-26 16:03:34,2457261.169,19.86
2016-01-11 06:57:20,2457398.790,19.63
2016-02-03 05:08:03,2457421.714,19.58
2016-02-03 06:54:37,2457421.788,19.38
2016-03-01 10:57:28,2457448.957,19.74
2016-03-01 12:44:03,2457449.031,untrusted
2016-07-14 01:21:34,2457583.557,18.94
2016-08-10 05:22:58,2457610.724,19.04
2016-09-05 05:10:53,2457636.716,19.41
2017-01-20 02:06:11,2457773.588,19.99
2017-01-20 06:19:53,2457773.764,19.98
2017-02-16 19:29:03,2457801.312,20.01
2017-02-16 21:15:37,2457801.386,untrusted
2017-03-11 09:16:28,2457823.886,19.66
2017-03-11 13:30:09,2457824.063,19.41
2017-07-24 20:06:07,2457959.338,19.07
2017-07-24 21:52:41,2457959.412,18.93
2017-08-25 09:26:41,2457990.894,18.89
2017-08-25 13:40:41,2457991.070,null
2017-09-15 01:38:58,2458011.569,19.82
2017-09-15 03:25:31,2458011.643,19.97
2018-01-30 08:52:35,2458148.870,18.81
2018-01-30 10:39:23,2458148.944,null
2018-03-04 02:29:04,2458181.604,20.30
2018-03-04 04:15:38,2458181.678,20.31
2018-03-20 08:37:41,2458197.860,19.73
2018-03-20 10:24:16,2458197.934,19.85
2018-03-20 14:37:57,2458198.110,19.95
2018-08-04 21:15:22,2458335.386,null
2018-08-04 23:01:35,2458335.459,20.41
2018-09-10 02:36:11,2458371.608,null
2018-09-10 04:22:20,2458371.682,null
2018-09-23 20:41:29,2458385.362,19.92
2018-09-23 22:28:03,2458385.436,19.88
2018-12-25 16:30:56,2458478.188,19.27
2018-12-25 18:17:30,2458478.262,19.31
2018-12-25 22:31:12,2458478.438,19.42
2019-01-04 10:38:54,2458487.944,20.26
2019-01-04 12:25:28,2458488.018,20.52
2019-02-09 22:03:49,2458524.419,18.85
2019-06-26 10:51:27,2458660.952,19.85
2019-06-26 12:38:01,2458661.026,untrusted
2019-06-26 16:51:40,2458661.203,19.98
2019-06-26 18:38:13,2458661.277,19.98
2019-07-10 04:58:28,2458674.707,19.92
2019-07-10 06:45:02,2458674.781,20.00
2019-07-10 10:58:41,2458674.957,19.98
2019-08-14 13:35:24,2458710.066,19.97
2019-08-14 15:21:57,2458710.140,19.98
2019-12-27 00:51:47,2458844.536,null
2019-12-27 05:05:28,2458844.712,18.81
2019-12-27 06:52:03,2458844.786,18.90
2020-01-09 17:25:08,2458858.226,18.27
2020-01-09 19:11:42,2458858.300,18.29
2020-02-12 20:52:14,2458892.370,19.04

