Gaia20aez
#Date,JD,averagemag.
2014-08-31 02:25:39,2456900.601,null
2014-08-31 04:11:50,2456900.675,null
2014-12-31 13:20:37,2457023.056,null
2014-12-31 15:07:22,2457023.130,null
2015-01-22 03:00:51,2457044.626,null
2015-02-19 18:51:47,2457073.286,null
2015-02-19 20:38:32,2457073.360,null
2015-07-01 09:02:41,2457204.877,null
2015-07-01 13:16:27,2457205.053,null
2015-07-27 03:02:04,2457230.626,null
2015-08-24 01:06:51,2457258.546,null
2015-08-24 02:53:01,2457258.620,null
2016-01-10 08:26:26,2457397.852,null
2016-01-10 10:12:35,2457397.925,null
2016-02-05 14:08:48,2457424.089,null
2016-03-01 02:00:16,2457448.584,null
2016-07-11 04:14:09,2457580.676,null
2016-07-11 08:27:21,2457580.852,null
2016-09-02 08:14:57,2457633.844,null
2016-09-02 10:01:43,2457633.918,null
2017-01-19 15:33:05,2457773.148,null
2017-02-19 12:13:33,2457804.009,null
2017-03-10 10:29:14,2457822.937,null
2017-03-10 12:15:58,2457823.011,null
2017-07-22 06:48:31,2457956.784,null
2017-08-25 18:22:25,2457991.266,null
2017-12-15 12:47:56,2458103.033,null
2017-12-15 14:34:40,2458103.107,null
2017-12-23 02:39:33,2458110.611,null
2017-12-23 06:53:17,2458110.787,null
2017-12-23 08:40:02,2458110.861,null
2018-01-30 00:03:41,2458148.503,null
2018-01-30 01:50:25,2458148.577,null
2018-03-08 07:13:15,2458185.801,null
2018-03-08 11:26:59,2458185.977,null
2018-03-08 13:13:08,2458186.051,null
2018-03-17 11:32:57,2458194.981,null
2018-03-17 17:32:50,2458195.231,null
2018-03-17 19:19:35,2458195.305,null
2018-03-17 23:33:19,2458195.481,null
2018-03-18 01:20:03,2458195.556,null
2018-06-14 02:16:20,2458283.595,null
2018-06-14 06:30:06,2458283.771,null
2018-06-14 08:16:51,2458283.845,null
2018-06-14 12:30:37,2458284.021,null
2018-06-14 14:16:47,2458284.095,null
2018-06-23 12:38:26,2458293.027,null
2018-06-23 14:25:12,2458293.101,null
2018-06-23 18:38:58,2458293.277,null
2018-06-23 20:25:08,2458293.351,null
2018-08-02 12:13:51,2458333.010,null
2018-09-10 23:35:59,2458372.483,null
2018-09-11 01:22:45,2458372.557,null
2018-09-11 05:36:31,2458372.734,null
2018-09-11 07:23:16,2458372.808,null
2018-09-19 11:43:21,2458380.988,null
2018-09-19 13:30:06,2458381.063,null
2018-09-19 17:43:52,2458381.239,null
2018-12-22 19:46:17,2458475.324,null
2018-12-22 21:33:01,2458475.398,null
2019-01-07 21:35:40,2458491.400,null
2019-02-09 13:11:53,2458524.050,null
2019-02-09 14:58:38,2458524.124,null
2019-06-21 15:21:52,2458656.140,null
2019-06-21 19:35:03,2458656.316,null
2019-06-21 21:21:49,2458656.390,null
2019-07-11 13:43:37,2458676.072,null
2019-07-11 15:29:48,2458676.146,null
2019-08-14 06:14:05,2458709.760,null
2019-12-22 20:12:48,2458840.342,null
2019-12-22 21:59:32,2458840.416,null
2020-01-10 20:42:25,2458859.363,18.60
2020-01-10 22:28:58,2458859.437,18.66

