Gaia20aft
#Date,JD,averagemag.
2014-10-31 20:50:10,2456962.368,null
2014-10-31 22:36:41,2456962.442,18.29
2014-12-01 14:27:16,2456993.102,untrusted
2014-12-01 16:13:50,2456993.176,untrusted
2014-12-27 14:23:23,2457019.100,untrusted
2015-02-14 09:48:21,2457067.909,18.24
2015-02-14 14:02:02,2457068.085,18.25
2015-02-14 15:48:36,2457068.159,18.24
2015-03-07 08:11:59,2457088.842,18.24
2015-03-07 09:58:33,2457088.916,18.25
2015-03-07 14:12:14,2457089.092,18.24
2015-03-07 15:58:48,2457089.166,untrusted
2015-04-15 15:36:25,2457128.150,18.29
2015-04-15 19:50:06,2457128.326,18.30
2015-05-19 19:22:54,2457162.308,null
2015-05-19 21:09:04,2457162.381,null
2015-06-11 09:08:00,2457184.881,null
2015-07-25 12:03:45,2457229.003,null
2015-07-25 13:50:30,2457229.077,null
2015-08-05 06:10:45,2457239.757,null
2015-08-05 07:57:30,2457239.832,null
2015-09-18 22:42:39,2457284.446,18.33
2015-10-08 00:28:25,2457303.520,18.25
2015-11-12 05:43:02,2457338.738,18.31
2015-12-16 11:16:33,2457372.970,null
2015-12-16 15:29:48,2457373.146,18.23
2016-01-08 15:33:03,2457396.148,18.24
2016-01-08 17:19:37,2457396.222,18.17
2016-01-08 21:33:17,2457396.398,18.23
2016-01-08 23:19:51,2457396.472,18.20
2016-02-27 10:59:51,2457445.958,18.43
2016-02-27 15:13:32,2457446.134,18.41
2016-03-22 09:19:55,2457469.889,18.44
2016-03-22 11:06:30,2457469.963,18.46
2016-04-26 10:46:25,2457504.949,null
2016-04-26 14:59:38,2457505.125,18.74
2016-06-01 22:07:50,2457541.422,18.51
2016-06-21 14:23:56,2457561.100,18.72
2016-06-21 16:10:30,2457561.174,18.67
2016-08-05 18:59:18,2457606.291,18.51
2016-08-05 20:45:52,2457606.365,untrusted
2016-08-16 08:52:21,2457616.870,18.54
2016-08-16 13:06:01,2457617.046,18.50
2016-09-28 17:43:58,2457660.239,null
2016-09-28 19:30:20,2457660.313,18.41
2016-10-20 17:38:15,2457682.235,18.53
2016-10-20 19:24:49,2457682.309,18.43
2016-11-22 17:03:47,2457715.211,18.51
2016-11-22 18:50:21,2457715.285,18.52
2016-12-30 22:35:15,2457753.441,18.51
2016-12-31 00:21:49,2457753.515,18.50
2016-12-31 04:35:28,2457753.691,untrusted
2017-01-20 16:43:49,2457774.197,18.44
2017-01-20 18:30:23,2457774.271,18.45
2017-03-10 19:33:25,2457823.315,18.43
2017-03-10 23:47:06,2457823.491,18.42
2017-03-11 01:33:40,2457823.565,untrusted
2017-04-06 11:47:12,2457849.991,18.39
2017-04-06 13:33:46,2457850.065,18.35
2017-05-08 05:31:01,2457881.730,null
2017-05-08 07:17:46,2457881.804,null
2017-06-15 22:42:05,2457920.446,18.38
2017-06-16 00:28:39,2457920.520,18.41
2017-07-02 16:47:19,2457937.200,18.40
2017-07-02 18:33:54,2457937.274,18.42
2017-08-17 03:17:38,2457982.637,null
2017-08-17 05:03:51,2457982.711,18.37
2017-08-29 03:23:42,2457994.641,18.35
2017-08-29 05:10:34,2457994.716,null
2017-10-09 20:09:11,2458036.340,18.37
2017-10-09 21:55:47,2458036.414,null
2017-11-03 13:57:50,2458061.082,untrusted
2017-12-04 07:34:16,2458091.815,18.40
2017-12-04 09:20:50,2458091.889,18.41
2018-01-15 20:53:25,2458134.370,18.44
2018-01-16 01:07:05,2458134.547,18.38
2018-01-16 02:53:39,2458134.621,18.42
2018-01-16 07:07:18,2458134.797,18.36
2018-02-03 13:17:41,2458153.054,18.39
2018-02-03 15:04:15,2458153.128,18.39
2018-02-03 19:17:55,2458153.304,18.41
2018-02-03 21:04:29,2458153.378,18.42
2018-03-23 00:57:52,2458200.540,18.38
2018-03-23 02:44:26,2458200.614,18.44
2018-04-21 06:49:56,2458229.785,18.49
2018-04-21 08:36:30,2458229.859,18.53
2018-05-19 20:25:09,2458258.351,null
2018-06-29 13:25:54,2458299.060,18.47
2018-07-13 17:46:08,2458313.240,18.41
2018-07-13 19:32:42,2458313.314,18.40
2018-08-28 10:13:53,2458358.926,18.42
2018-08-28 12:00:27,2458359.000,18.44
2018-09-11 06:05:34,2458372.754,18.44
2018-09-11 10:19:13,2458372.930,18.40
2018-10-20 22:59:54,2458412.458,18.34
2018-11-17 14:56:04,2458440.122,18.38
2018-12-15 20:43:09,2458468.363,null
2018-12-15 22:29:19,2458468.437,null
2019-01-31 14:18:40,2458515.096,18.35
2019-01-31 16:05:14,2458515.170,18.30
2019-01-31 20:18:54,2458515.346,18.34
2019-02-19 08:29:57,2458533.854,18.26
2019-02-19 10:16:31,2458533.928,untrusted
2019-02-19 14:30:11,2458534.104,18.26
2019-02-19 16:16:46,2458534.178,18.27
2019-04-04 02:08:28,2458577.589,18.30
2019-04-04 03:55:03,2458577.663,18.28
2019-05-05 19:51:06,2458609.327,18.26
2019-05-05 21:37:41,2458609.401,18.23
2019-05-31 07:44:50,2458634.823,18.26
2019-05-31 09:31:24,2458634.897,18.23
2019-07-13 00:36:14,2458677.525,18.40
2019-07-13 02:22:48,2458677.599,18.37
2019-08-05 03:03:09,2458700.627,18.28
2019-08-05 04:49:43,2458700.701,18.27
2019-08-05 09:03:23,2458700.877,18.30
2019-08-05 10:49:57,2458700.951,18.26
2019-08-24 23:15:02,2458720.469,18.46
2019-08-25 03:28:42,2458720.645,18.46
2019-08-25 05:15:16,2458720.719,18.39
2019-10-08 11:13:22,2458764.968,19.38
2019-10-08 12:59:56,2458765.042,19.41
2019-11-08 18:31:21,2458796.272,18.92
2019-12-02 19:24:05,2458820.308,19.29
2019-12-02 21:10:39,2458820.382,19.34
2020-01-11 21:52:02,2458860.411,19.41
2020-01-11 23:38:36,2458860.485,19.45
2020-01-23 04:06:54,2458871.671,19.17
2020-01-23 05:53:28,2458871.745,19.17
2020-03-06 02:48:22,2458914.617,untrusted
2020-03-06 07:02:02,2458914.793,untrusted
2020-03-22 13:30:23,2458931.063,19.37

