Gaia20agq
#Date,JD,averagemag.
2015-01-13 14:40:14,2457036.111,null
2015-01-13 18:53:58,2457036.287,null
2015-02-16 18:19:57,2457070.264,null
2015-07-10 09:29:30,2457213.895,null
2015-07-30 09:34:37,2457233.899,null
2015-08-31 21:14:12,2457266.385,null
2015-09-01 01:27:58,2457266.561,null
2016-01-07 19:53:34,2457395.329,null
2016-01-07 21:40:18,2457395.403,null
2016-01-29 03:37:32,2457416.651,null
2016-01-29 07:51:15,2457416.827,null
2016-02-27 03:13:54,2457445.635,null
2016-07-19 10:37:00,2457588.942,null
2016-07-19 14:50:47,2457589.119,null
2016-08-13 16:33:41,2457614.190,null
2016-09-10 16:25:45,2457642.185,null
2016-09-10 20:39:31,2457642.361,null
2017-01-16 15:01:11,2457770.126,null
2017-01-16 16:47:56,2457770.200,null
2017-02-11 22:08:47,2457796.423,null
2017-03-08 09:56:40,2457820.914,null
2017-07-30 05:22:17,2457964.724,null
2017-08-29 00:55:36,2457994.539,null
2017-09-21 00:58:58,2458017.541,null
2017-09-21 05:12:44,2458017.717,null
2018-01-26 23:31:53,2458145.480,null
2018-01-27 01:18:37,2458145.555,null
2018-03-18 00:47:36,2458195.533,null
2018-08-10 02:19:29,2458340.597,null
2018-09-14 01:57:18,2458375.581,null
2018-09-14 06:11:05,2458375.758,null
2018-09-14 07:57:50,2458375.832,null
2018-09-30 00:20:24,2458391.514,null
2018-09-30 02:07:10,2458391.588,null
2018-09-30 06:20:56,2458391.765,null
2019-02-06 12:40:42,2458521.028,null
2019-03-13 07:44:17,2458555.822,null
2019-03-13 11:58:01,2458555.999,null
2019-03-26 18:02:35,2458569.252,null
2019-03-26 19:49:19,2458569.326,null
2019-07-01 15:54:57,2458666.163,null
2019-07-01 20:08:43,2458666.339,null
2019-07-14 20:17:28,2458679.345,null
2019-07-14 22:04:14,2458679.420,null
2019-08-11 00:39:44,2458706.528,null
2019-09-16 18:45:11,2458743.281,null
2019-09-16 20:31:21,2458743.355,null
2019-09-29 20:50:37,2458756.368,null
2019-09-30 01:04:23,2458756.545,null
2020-01-01 01:58:25,2458849.582,null
2020-01-01 03:45:09,2458849.656,null
2020-01-13 22:01:01,2458862.417,17.91
2020-01-14 02:14:40,2458862.594,17.86

