Gaia20ahd
#Date,JD,averagemag.
2014-09-11 04:37:34,2456911.693,untrusted
2014-09-30 11:54:58,2456930.997,untrusted
2014-09-30 13:41:33,2456931.071,untrusted
2014-10-12 12:04:43,2456943.003,untrusted
2014-10-12 13:51:18,2456943.077,untrusted
2014-10-12 19:51:33,2456943.327,untrusted
2014-12-31 00:38:27,2457022.527,18.91
2014-12-31 02:25:01,2457022.601,18.90
2014-12-31 06:38:40,2457022.777,untrusted
2014-12-31 08:25:14,2457022.851,18.93
2015-01-09 02:31:25,2457031.605,18.91
2015-01-09 06:45:04,2457031.781,18.93
2015-01-09 08:31:38,2457031.855,untrusted
2015-01-09 12:45:17,2457032.031,18.94
2015-02-16 12:10:21,2457070.007,18.92
2015-03-25 01:07:58,2457106.547,18.95
2015-03-25 05:21:37,2457106.723,18.94
2015-04-05 23:27:27,2457118.477,null
2015-04-06 01:14:11,2457118.552,null
2015-07-13 01:51:12,2457216.577,19.06
2015-07-13 03:37:47,2457216.651,19.05
2015-07-30 21:44:16,2457234.406,null
2015-09-03 13:30:12,2457269.063,18.94
2015-09-03 15:16:47,2457269.137,19.00
2016-01-07 09:29:53,2457394.896,null
2016-01-07 13:43:22,2457395.072,18.94
2016-01-07 15:29:56,2457395.146,untrusted
2016-01-26 09:32:58,2457413.898,18.95
2016-01-26 13:46:37,2457414.074,18.93
2016-02-27 01:18:00,2457445.554,18.95
2016-02-27 03:04:34,2457445.628,18.96
2016-07-22 02:56:30,2457591.623,18.86
2016-08-14 02:56:31,2457614.623,18.95
2016-08-14 04:43:06,2457614.697,18.96
2016-09-13 14:41:52,2457645.112,18.87
2016-09-13 16:28:27,2457645.186,18.84
2017-01-16 02:51:05,2457769.619,18.86
2017-01-16 04:37:39,2457769.693,18.83
2017-02-09 11:52:22,2457793.995,18.81
2017-08-01 17:26:59,2457967.227,18.75
2017-08-29 05:18:23,2457994.721,18.81
2017-08-29 07:04:58,2457994.795,18.84
2017-09-24 11:16:17,2458020.970,null
2017-09-24 13:02:26,2458021.043,18.89
2018-01-26 11:22:09,2458144.974,18.94
2018-01-26 13:08:43,2458145.048,18.94
2018-03-18 16:52:40,2458196.203,18.94
2018-03-18 18:39:14,2458196.277,18.93
2018-08-12 12:36:33,2458343.025,18.99
2018-08-12 14:23:08,2458343.099,19.03
2018-09-13 18:19:16,2458375.263,18.96
2018-09-13 20:05:51,2458375.337,18.95
2018-10-04 12:26:35,2458396.018,null
2018-10-04 14:12:42,2458396.092,18.97
2018-10-04 18:26:23,2458396.268,18.95
2019-02-06 00:30:42,2458520.521,18.94
2019-02-06 02:17:15,2458520.595,18.94
2019-03-10 11:55:26,2458552.997,18.89
2019-03-28 11:55:59,2458570.997,untrusted
2019-03-28 13:42:33,2458571.071,18.83
2019-07-04 10:05:23,2458668.920,18.83
2019-07-04 14:19:04,2458669.097,18.78
2019-07-04 16:05:38,2458669.171,18.81
2019-07-15 10:13:44,2458679.926,untrusted
2019-07-15 14:27:25,2458680.102,18.81
2019-07-15 16:14:00,2458680.176,18.77
2019-08-10 12:47:49,2458706.033,18.77
2019-08-10 17:01:30,2458706.209,18.76
2019-10-01 15:00:11,2458758.125,18.76
2020-01-03 15:39:14,2458852.152,18.62
2020-01-03 19:52:53,2458852.328,18.62
2020-01-03 21:39:40,2458852.403,null
2020-01-14 14:05:39,2458863.087,18.57
2020-01-14 15:52:12,2458863.161,18.59
2020-02-20 03:56:20,2458899.664,18.59
2020-02-20 05:42:54,2458899.738,18.57
2020-03-28 19:19:05,2458937.305,18.63
2020-03-28 23:32:44,2458937.481,18.58
2020-03-29 01:19:18,2458937.555,18.67
2020-04-08 23:44:15,2458948.489,untrusted
2020-04-09 01:30:49,2458948.563,18.61
2020-04-09 05:44:28,2458948.739,18.61
2020-04-09 07:31:02,2458948.813,18.63

