Gaia20ahf
#Date,JD,averagemag.
2014-10-29 08:48:21,2456959.867,17.01
2014-12-03 22:05:52,2456995.421,untrusted
2014-12-04 02:19:31,2456995.597,untrusted
2014-12-04 04:06:05,2456995.671,untrusted
2014-12-23 20:26:26,2457015.352,untrusted
2014-12-24 02:26:40,2457015.602,untrusted
2015-02-18 02:14:39,2457071.594,null
2015-02-18 04:00:49,2457071.667,null
2015-02-18 08:14:35,2457071.843,null
2015-03-11 02:23:17,2457092.600,17.00
2015-03-11 04:09:52,2457092.674,16.99
2015-04-15 15:48:36,2457128.159,16.98
2015-05-22 09:08:34,2457164.881,16.97
2015-06-09 01:27:23,2457182.561,null
2015-06-09 03:14:09,2457182.635,null
2015-07-27 17:56:16,2457231.247,17.01
2015-07-27 19:42:59,2457231.322,null
2015-07-27 23:56:30,2457231.498,17.03
2015-07-28 01:43:29,2457231.572,null
2015-07-28 05:56:44,2457231.748,17.02
2015-07-28 07:43:24,2457231.822,null
2015-07-28 11:56:58,2457231.998,17.01
2015-07-28 13:43:54,2457232.072,null
2015-07-28 19:43:48,2457232.322,null
2015-07-30 13:45:32,2457234.073,null
2015-07-30 19:46:02,2457234.324,null
2015-07-30 23:59:14,2457234.499,17.03
2015-07-31 01:45:57,2457234.574,null
2015-07-31 05:59:42,2457234.750,null
2015-07-31 07:46:27,2457234.824,null
2015-07-31 11:59:42,2457235.000,17.02
2015-09-16 10:34:00,2457281.940,17.04
2015-09-16 12:20:34,2457282.014,17.00
2015-10-07 16:30:05,2457303.188,null
2015-10-07 18:16:50,2457303.262,null
2015-11-09 15:56:03,2457336.164,17.03
2015-12-20 23:13:22,2457377.468,17.01
2015-12-21 03:27:01,2457377.644,17.03
2015-12-21 05:13:35,2457377.718,17.04
2015-12-21 09:27:15,2457377.894,17.02
2016-01-04 09:36:45,2457391.901,17.01
2016-01-04 11:23:19,2457391.975,17.02
2016-01-04 15:36:59,2457392.151,17.02
2016-01-04 17:23:33,2457392.225,17.00
2016-01-04 23:23:47,2457392.475,17.01
2016-02-29 15:25:22,2457448.143,17.02
2016-02-29 17:11:56,2457448.217,17.00
2016-02-29 21:25:37,2457448.393,17.03
2016-03-25 15:28:02,2457473.144,17.02
2016-03-25 17:14:36,2457473.218,17.01
2016-04-26 03:11:31,2457504.633,null
2016-04-26 04:58:17,2457504.707,null
2016-06-04 14:19:53,2457544.097,null
2016-06-04 16:06:38,2457544.171,null
2016-06-18 10:13:25,2457557.926,null
2016-06-18 14:27:10,2457558.102,null
2016-08-06 06:49:23,2457606.784,null
2016-08-06 08:36:08,2457606.858,null
2016-08-12 20:41:21,2457613.362,null
2016-08-13 00:55:05,2457613.538,null
2016-08-13 02:41:15,2457613.612,null
2016-08-13 06:55:00,2457613.788,null
2016-09-26 05:37:16,2457657.734,null
2016-09-26 07:24:01,2457657.808,null
2016-10-20 19:12:51,2457682.301,null
2016-11-19 23:04:52,2457712.462,null
2016-11-20 00:51:02,2457712.535,null
2017-01-08 12:28:07,2457762.020,null
2017-01-08 18:28:36,2457762.270,null
2017-01-08 22:42:21,2457762.446,null
2017-01-09 00:28:31,2457762.520,null
2017-01-09 04:42:16,2457762.696,null
2017-01-09 06:29:01,2457762.770,null
2017-01-09 10:42:45,2457762.946,null
2017-01-09 12:29:30,2457763.020,null
2017-01-09 16:42:40,2457763.196,null
2017-01-09 18:29:25,2457763.270,null
2017-01-09 22:43:10,2457763.447,null
2017-01-10 00:29:55,2457763.521,null
2017-01-10 04:43:05,2457763.697,null
2017-01-10 10:43:34,2457763.947,null
2017-01-14 10:47:26,2457767.950,null
2017-01-14 16:47:21,2457768.200,null
2017-01-14 18:34:06,2457768.274,null
2017-01-14 22:47:51,2457768.450,null
2017-01-15 00:34:01,2457768.524,null
2017-01-15 04:47:46,2457768.700,null
2017-01-15 06:34:31,2457768.774,null
2017-01-15 10:48:16,2457768.950,null
2017-01-15 12:34:26,2457769.024,null
2017-01-15 16:48:11,2457769.200,null
2017-01-15 18:34:56,2457769.274,null
2017-01-15 22:48:40,2457769.450,null
2017-01-16 00:34:50,2457769.524,null
2017-01-16 06:35:20,2457769.775,null
2017-03-12 07:46:08,2457824.824,null
2017-04-09 11:53:09,2457852.995,null
2017-04-09 13:39:19,2457853.069,null
2017-05-07 11:41:57,2457880.987,null
2017-06-18 16:39:14,2457923.194,null
2017-06-18 18:25:59,2457923.268,null
2017-06-28 18:33:02,2457933.273,null
2017-06-28 22:46:47,2457933.449,null
2017-08-16 09:06:33,2457981.880,null
2017-08-16 10:52:42,2457981.953,null
2017-08-26 22:59:11,2457992.458,null
2017-08-27 03:12:55,2457992.634,null
2017-10-07 03:50:44,2458033.660,null
2017-11-04 03:32:40,2458061.648,17.00
2017-12-01 07:35:49,2458088.817,17.02
2017-12-01 09:22:20,2458088.891,null
2018-01-25 09:06:10,2458143.879,17.00
2018-01-25 13:19:51,2458144.055,17.00
2018-01-25 15:06:25,2458144.129,17.02
2018-01-25 19:20:05,2458144.306,17.01
2018-01-25 21:06:39,2458144.380,17.01
2018-01-26 01:20:19,2458144.556,17.07
2018-01-26 03:06:56,2458144.630,null
2018-01-26 07:20:34,2458144.806,17.02
2018-01-26 09:07:08,2458144.880,17.03
2018-01-26 13:20:48,2458145.056,17.00
2018-01-26 19:21:02,2458145.306,17.02
2018-02-02 01:26:42,2458151.560,17.02
2018-02-02 07:26:56,2458151.810,16.98
2018-02-02 09:13:31,2458151.884,16.99
2018-02-02 13:27:09,2458152.061,null
2018-02-02 15:13:45,2458152.135,16.99
2018-02-02 19:27:25,2458152.311,17.01
2018-02-02 21:14:00,2458152.385,17.01
2018-02-03 01:27:40,2458152.561,16.99
2018-02-03 03:14:14,2458152.635,16.97
2018-02-03 09:14:29,2458152.885,17.03
2018-03-23 20:56:36,2458201.373,17.04
2018-04-24 00:53:04,2458232.537,17.03
2018-04-24 02:39:38,2458232.611,17.01
2018-05-18 14:35:07,2458257.108,null
2018-07-02 17:35:41,2458302.233,17.02
2018-07-02 19:22:15,2458302.307,17.01
2018-07-02 23:35:56,2458302.483,17.02
2018-07-03 01:22:30,2458302.557,17.03
2018-07-08 19:27:28,2458308.311,17.03
2018-07-08 23:41:08,2458308.487,17.03
2018-07-09 01:27:42,2458308.561,17.02
2018-07-09 05:41:22,2458308.737,17.05
2018-08-26 16:02:35,2458357.168,17.04
2018-08-26 17:49:08,2458357.242,17.03
2018-09-09 23:53:57,2458371.496,17.03
2018-10-18 09:10:03,2458409.882,17.00
2018-10-18 10:56:36,2458409.956,17.05
2018-11-18 20:45:37,2458441.365,17.03
