Gaia20ahx
#Date,JD,averagemag.
2014-11-03 01:03:29,2456964.544,18.32
2014-11-03 05:17:10,2456964.720,18.33
2014-11-23 17:17:31,2456985.220,null
2014-11-23 19:04:17,2456985.295,null
2015-04-25 10:57:49,2457137.957,null
2015-04-25 12:43:58,2457138.031,null
2015-05-19 18:41:21,2457162.279,18.38
2015-06-19 00:20:36,2457192.514,null
2015-11-13 02:09:44,2457339.590,18.31
2015-11-13 06:23:26,2457339.766,18.32
2015-12-08 00:16:02,2457364.511,18.37
2015-12-08 02:02:37,2457364.585,18.35
2016-01-04 00:08:01,2457391.506,null
2016-05-05 06:06:29,2457513.755,untrusted
2016-05-05 07:53:03,2457513.829,18.35
2016-06-03 01:38:08,2457542.568,18.33
2016-06-28 23:40:22,2457568.486,null
2016-06-29 01:27:06,2457568.560,null
2016-11-22 13:31:34,2457715.064,18.28
2016-11-22 15:18:09,2457715.138,18.28
2016-12-21 13:15:51,2457744.053,18.30
2016-12-21 15:02:25,2457744.127,18.28
2017-01-13 07:18:21,2457766.804,18.27
2017-01-13 09:04:55,2457766.878,18.25
2017-05-16 10:24:40,2457889.934,untrusted
2017-06-18 03:56:17,2457922.664,18.26
2017-07-09 14:07:12,2457944.088,18.28
2017-07-09 15:53:46,2457944.162,18.30
2017-10-16 00:29:14,2458042.520,18.32
2017-10-16 04:42:55,2458042.696,18.35
2017-10-16 06:29:29,2458042.770,18.31
2017-10-25 22:50:23,2458052.452,18.34
2017-10-26 00:36:58,2458052.526,18.33
2017-12-03 04:03:41,2458090.669,18.34
2018-01-05 21:40:48,2458124.403,null
2018-01-05 23:27:18,2458124.477,18.32
2018-01-22 17:36:50,2458141.234,18.27
2018-01-22 21:50:31,2458141.410,18.31
2018-01-22 23:37:06,2458141.484,18.30
2018-04-09 04:13:33,2458217.676,18.27
2018-04-09 10:13:46,2458217.926,18.27
2018-04-09 12:00:20,2458218.000,18.29
2018-04-09 16:14:00,2458218.176,18.28
2018-04-09 18:00:34,2458218.250,18.26
2018-04-09 22:14:13,2458218.427,18.26
2018-04-10 00:00:47,2458218.501,18.26
2018-04-10 04:14:26,2458218.677,18.29
2018-04-10 06:01:00,2458218.751,18.25
2018-04-10 10:14:39,2458218.927,18.24
2018-04-10 12:01:13,2458219.001,untrusted
2018-04-10 16:14:52,2458219.177,18.29
2018-04-10 18:01:26,2458219.251,18.29
2018-04-10 22:15:05,2458219.427,18.28
2018-04-11 00:01:39,2458219.501,18.27
2018-04-11 04:15:18,2458219.677,18.27
2018-04-11 06:01:52,2458219.751,18.25
2018-04-11 10:15:31,2458219.927,18.27
2018-04-11 12:02:04,2458220.001,untrusted
2018-04-11 18:02:17,2458220.252,18.27
2018-04-11 22:15:56,2458220.428,18.27
2018-04-12 00:02:30,2458220.502,18.27
2018-04-12 04:16:09,2458220.678,18.27
2018-04-12 06:02:43,2458220.752,18.25
2018-04-12 10:16:22,2458220.928,18.26
2018-04-12 12:02:56,2458221.002,18.26
2018-04-12 16:16:35,2458221.178,18.24
2018-04-12 18:03:08,2458221.252,18.29
2018-04-12 22:16:47,2458221.428,18.27
2018-04-13 00:03:21,2458221.502,18.26
2018-04-13 04:17:00,2458221.678,18.26
2018-04-13 06:03:34,2458221.752,18.25
2018-04-13 10:17:13,2458221.929,18.22
2018-04-13 12:03:47,2458222.003,18.25
2018-04-13 16:17:27,2458222.179,18.24
2018-04-13 18:04:01,2458222.253,18.23
2018-04-13 22:17:40,2458222.429,18.25
2018-04-14 04:17:53,2458222.679,18.25
2018-05-27 21:47:11,2458266.408,null
2018-07-03 04:51:27,2458302.702,18.18
2018-07-03 09:05:06,2458302.879,18.23
2018-07-19 09:08:50,2458318.881,18.21
2018-07-19 10:55:24,2458318.955,18.17
2018-10-24 17:42:11,2458416.238,18.19
2018-10-24 19:28:46,2458416.312,18.19
2018-11-09 17:48:23,2458432.242,18.18
2018-11-09 19:34:57,2458432.316,18.16
2018-12-13 19:00:34,2458466.292,18.20
2018-12-13 23:14:16,2458466.468,18.17
2019-04-15 11:17:34,2458588.971,untrusted
2019-04-15 13:04:07,2458589.045,18.18
2019-04-15 17:17:47,2458589.221,18.21
2019-04-15 19:04:20,2458589.295,18.20
2019-05-03 19:10:40,2458607.299,18.22
2019-05-03 23:24:19,2458607.475,18.15
2019-05-04 01:10:53,2458607.549,18.17
2019-06-08 04:55:30,2458642.705,18.18
2019-10-19 14:25:48,2458776.101,18.05
2019-10-19 16:12:22,2458776.175,18.06
2019-10-19 20:26:03,2458776.351,18.05
2019-11-07 02:55:07,2458794.622,18.05
2019-11-07 04:41:41,2458794.696,18.02
2019-12-10 04:27:46,2458827.686,18.03
2019-12-10 06:14:20,2458827.760,18.02
2020-01-17 12:38:28,2458866.027,18.03
2020-01-17 14:25:02,2458866.101,18.02
2020-01-17 18:38:43,2458866.277,18.02
2020-01-17 20:25:18,2458866.351,18.02
2020-01-25 20:35:21,2458874.358,18.04
2020-01-26 00:49:02,2458874.534,18.02
2020-01-26 02:35:36,2458874.608,18.00
2020-05-01 07:13:50,2458970.801,18.04
2020-05-01 09:00:23,2458970.875,18.05

