Gaia20aio
#Date,JD,averagemag.
2015-01-13 21:30:19,2457036.396,null
2015-01-13 23:17:05,2457036.470,null
2015-02-12 16:59:11,2457066.208,null
2015-02-12 21:12:58,2457066.384,null
2015-03-27 20:18:48,2457109.346,null
2015-03-27 22:05:33,2457109.421,null
2015-03-28 02:18:44,2457109.596,null
2015-03-28 04:05:29,2457109.670,null
2015-03-28 08:19:15,2457109.847,null
2015-03-28 10:06:00,2457109.921,null
2015-03-28 14:19:46,2457110.097,null
2015-03-28 16:05:56,2457110.171,null
2015-03-28 20:19:42,2457110.347,null
2015-03-28 22:06:27,2457110.421,null
2015-03-29 02:20:13,2457110.597,null
2015-03-29 04:06:24,2457110.671,null
2015-03-29 08:20:09,2457110.847,null
2015-03-29 10:06:55,2457110.921,null
2015-03-29 14:20:40,2457111.098,null
2015-07-09 17:08:06,2457213.214,null
2015-07-09 18:54:15,2457213.288,null
2015-08-03 18:44:44,2457238.281,null
2015-09-02 10:40:28,2457267.945,null
2015-09-02 12:27:12,2457268.019,null
2016-01-02 04:36:42,2457389.692,null
2016-01-02 06:23:27,2457389.766,null
2016-02-23 06:07:46,2457441.755,null
2016-07-19 14:00:18,2457589.084,null
2016-08-17 23:54:54,2457618.496,null
2016-08-18 01:41:04,2457618.570,null
2016-09-12 11:50:00,2457643.993,null
2016-09-12 13:36:09,2457644.067,null
2017-01-11 19:34:17,2457765.315,null
2017-01-11 23:48:03,2457765.492,null
2017-02-10 18:51:50,2457795.286,null
2017-02-10 20:38:36,2457795.360,null
2017-03-04 08:36:53,2457816.859,null
2017-03-04 12:50:40,2457817.035,null
2017-06-10 15:34:25,2457915.149,null
2017-06-10 17:20:35,2457915.223,null
2017-06-10 21:34:19,2457915.399,null
2017-06-10 23:21:04,2457915.473,null
2017-06-19 05:26:24,2457923.727,null
2017-06-19 09:40:08,2457923.903,null
2017-06-19 11:26:53,2457923.977,null
2017-09-02 20:15:41,2457999.344,null
2017-09-02 22:02:26,2457999.418,null
2017-09-22 20:21:05,2458019.348,null
2017-09-22 22:07:49,2458019.422,null
2017-09-23 02:20:59,2458019.598,null
2017-09-23 04:07:43,2458019.672,null
2018-01-22 16:07:59,2458141.172,null
2018-03-14 03:41:23,2458191.654,null
2018-03-14 07:55:09,2458191.830,null
2018-06-19 12:17:55,2458289.012,null
2018-07-04 22:36:11,2458304.442,null
2018-07-05 00:22:20,2458304.516,null
2018-08-11 03:51:23,2458341.661,null
2018-09-20 21:19:57,2458382.389,null
2018-09-20 23:06:41,2458382.463,null
2018-09-21 03:19:50,2458382.639,null
2018-09-21 05:06:35,2458382.713,null
2018-09-21 09:20:19,2458382.889,null
2018-09-30 21:27:29,2458392.394,null
2018-09-30 23:13:39,2458392.468,null
2018-10-01 03:27:23,2458392.644,null
2018-10-01 05:14:08,2458392.718,null
2018-10-01 09:27:52,2458392.894,null
2018-10-01 11:14:02,2458392.968,null
2018-12-13 15:45:14,2458466.156,null
2018-12-13 17:31:59,2458466.231,null
2018-12-13 21:45:45,2458466.407,null
2018-12-29 09:55:25,2458481.913,null
2018-12-29 11:42:11,2458481.988,null
2019-02-02 09:32:09,2458516.897,null
2019-02-02 11:18:20,2458516.971,null
2019-03-11 10:34:12,2458553.940,null
2019-03-11 14:47:58,2458554.117,null
2019-03-23 04:41:52,2458565.696,null
2019-03-23 08:55:38,2458565.872,null
2019-06-29 11:32:32,2458663.981,null
2019-06-29 13:19:17,2458664.055,null
2019-08-06 19:53:28,2458702.329,null
2019-09-14 17:37:38,2458741.234,null
2019-09-14 21:51:22,2458741.411,null
2019-09-26 04:04:43,2458752.670,null
2019-09-26 05:51:27,2458752.744,null
2019-12-30 04:30:21,2458847.688,untrusted
2020-01-18 17:10:34,2458867.216,18.73
2020-01-18 18:57:09,2458867.290,18.63
2020-02-19 00:41:45,2458898.529,19.00

