Gaia20akc
#Date,JD,averagemag.
2014-09-15 21:21:26,2456916.390,untrusted
2014-10-07 12:28:50,2456938.020,untrusted
2014-10-07 14:15:25,2456938.094,untrusted
2014-10-07 18:29:05,2456938.270,untrusted
2014-10-07 20:15:40,2456938.344,untrusted
2014-10-26 02:27:05,2456956.602,untrusted
2014-10-26 08:27:19,2456956.852,untrusted
2014-10-26 12:40:59,2456957.028,untrusted
2015-01-11 08:01:40,2457033.834,18.51
2015-01-11 12:15:19,2457034.011,18.48
2015-02-09 23:53:22,2457063.495,18.69
2015-03-19 16:52:44,2457101.203,18.50
2015-03-19 18:39:18,2457101.277,18.44
2015-04-03 04:57:06,2457115.706,null
2015-04-03 06:43:51,2457115.780,null
2015-05-18 21:21:29,2457161.390,18.46
2015-05-18 23:08:03,2457161.464,18.49
2015-05-29 21:28:29,2457172.395,18.53
2015-05-29 23:15:04,2457172.469,18.60
2015-07-11 16:07:59,2457215.172,18.47
2015-08-07 04:00:45,2457241.667,null
2015-09-07 09:47:25,2457272.908,18.45
2015-09-07 14:01:06,2457273.084,untrusted
2015-10-24 19:41:49,2457320.321,18.64
2015-10-24 21:28:24,2457320.395,18.61
2015-10-25 01:42:04,2457320.571,18.63
2015-10-25 03:28:38,2457320.645,18.63
2015-11-09 21:39:54,2457336.403,18.52
2015-11-10 01:53:34,2457336.579,18.65
2015-11-10 03:40:08,2457336.653,18.60
2015-11-10 07:53:48,2457336.829,18.55
2015-12-28 01:30:07,2457384.563,18.58
2015-12-28 03:16:41,2457384.637,18.57
2016-01-25 15:01:14,2457413.126,null
2016-02-20 20:44:49,2457439.364,18.63
2016-03-31 23:47:51,2457479.492,18.37
2016-04-01 01:34:25,2457479.566,18.38
2016-04-12 17:53:41,2457491.246,18.44
2016-04-12 19:40:15,2457491.320,18.39
2016-05-28 16:18:27,2457537.179,null
2016-05-28 18:05:13,2457537.254,null
2016-06-11 12:11:47,2457551.008,null
2016-06-11 16:25:33,2457551.184,null
2016-07-22 05:15:13,2457591.719,null
2016-08-21 03:16:31,2457621.636,null
2016-09-18 15:12:12,2457650.133,null
2016-09-18 16:58:57,2457650.208,null
2016-11-08 14:55:39,2457701.122,null
2016-11-08 16:41:49,2457701.196,null
2016-11-08 20:55:34,2457701.372,null
2016-11-08 22:42:19,2457701.446,null
2016-11-25 15:06:32,2457718.130,null
2016-11-25 16:52:42,2457718.203,null
2016-11-25 21:06:26,2457718.379,null
2017-02-07 09:58:38,2457791.916,null
2017-03-02 17:11:36,2457815.216,null
2017-04-13 20:05:16,2457857.337,null
2017-04-13 21:52:01,2457857.411,null
2017-04-14 02:05:46,2457857.587,null
2017-04-23 14:11:43,2457867.091,null
2017-04-23 15:58:28,2457867.166,null
2017-06-08 12:40:17,2457913.028,null
2017-06-08 14:27:02,2457913.102,null
2017-06-25 12:45:36,2457930.032,null
2017-08-02 23:59:51,2457968.500,null
2017-09-05 05:42:22,2458001.738,null
2017-09-05 07:28:33,2458001.811,null
2017-09-30 19:32:50,2458027.314,null
2017-09-30 23:46:01,2458027.490,null
2017-11-21 23:29:10,2458079.479,18.55
2017-11-22 01:15:44,2458079.553,18.57
2017-11-22 05:29:24,2458079.729,18.34
2017-11-22 07:15:58,2458079.803,18.40
2017-12-12 07:24:16,2458099.809,untrusted
2017-12-12 11:37:55,2458099.985,18.44
2018-03-13 10:27:13,2458190.936,null
2018-03-13 12:13:21,2458191.009,18.51
2018-04-26 09:00:02,2458234.875,18.46
2018-04-26 10:46:36,2458234.949,18.47
2018-05-04 21:06:11,2458243.379,18.42
2018-05-04 22:52:45,2458243.453,18.42
2018-05-05 03:06:25,2458243.629,18.52
2018-05-05 04:52:59,2458243.703,18.49
2018-06-19 13:41:20,2458289.070,18.59
2018-07-09 13:43:32,2458309.072,18.14
2018-07-09 15:30:07,2458309.146,18.17
