Gaia20ake
#Date,JD,averagemag.
2014-09-21 10:52:30,2456921.953,untrusted
2014-09-29 12:30:00,2456930.021,untrusted
2014-10-30 00:16:44,2456960.512,20.15
2014-10-30 02:03:19,2456960.586,20.07
2015-01-03 01:45:50,2457025.573,untrusted
2015-01-03 05:59:30,2457025.750,20.50
2015-03-14 17:09:27,2457096.215,20.46
2015-03-14 18:56:23,2457096.289,null
2015-04-09 16:56:45,2457122.206,null
2015-04-09 18:43:30,2457122.280,null
2015-05-19 17:36:29,2457162.234,untrusted
2015-06-04 21:54:03,2457178.413,null
2015-06-04 23:40:48,2457178.487,null
2015-07-18 08:33:31,2457221.857,null
2015-08-06 02:36:17,2457240.609,null
2015-08-06 04:23:02,2457240.683,null
2015-09-13 07:48:08,2457278.825,null
2015-10-13 19:32:35,2457309.314,null
2015-10-13 21:19:11,2457309.388,20.30
2015-11-11 09:13:04,2457337.884,20.39
2015-11-11 13:26:44,2457338.060,20.39
2015-12-24 07:03:08,2457380.794,20.44
2015-12-24 08:49:42,2457380.868,20.24
2016-01-17 19:06:49,2457405.296,20.24
2016-01-17 20:53:23,2457405.370,20.23
2016-01-18 01:07:02,2457405.547,20.18
2016-02-23 12:40:04,2457442.028,20.04
2016-02-23 14:26:37,2457442.102,20.03
2016-03-27 12:07:54,2457475.005,20.02
2016-03-27 13:54:28,2457475.079,19.99
2016-04-20 06:00:07,2457498.750,null
2016-05-31 12:33:13,2457540.023,20.02
2016-06-15 22:52:03,2457555.453,null
2016-06-16 00:38:26,2457555.527,19.97
2016-07-28 21:34:44,2457598.399,20.22
2016-08-18 21:35:11,2457619.399,null
2016-09-24 02:55:49,2457655.622,untrusted
2016-09-24 04:42:24,2457655.696,20.21
2016-10-27 08:36:48,2457688.859,20.44
2016-10-27 10:23:23,2457688.933,untrusted
2016-11-23 02:36:37,2457715.609,20.38
2016-11-23 04:23:14,2457715.683,null
2017-01-05 14:12:47,2457759.092,null
2017-01-05 15:59:13,2457759.166,untrusted
2017-01-05 20:12:53,2457759.342,20.47
2017-01-31 14:12:24,2457785.092,null
2017-04-10 02:28:33,2457853.603,null
2017-04-10 04:14:35,2457853.677,20.08
2017-05-01 14:24:13,2457875.100,untrusted
2017-05-01 16:10:47,2457875.174,19.97
2017-06-13 01:06:20,2457917.546,null
2017-06-28 07:11:46,2457932.800,20.35
2017-06-28 08:58:20,2457932.874,20.40
2017-08-09 12:00:05,2457975.000,19.99
2017-10-06 01:13:20,2458032.551,20.20
2017-11-11 00:51:44,2458068.536,20.03
2017-11-11 05:05:24,2458068.712,19.91
2017-12-06 05:09:10,2458093.715,20.11
2017-12-06 06:55:44,2458093.789,20.05
2018-01-18 10:44:24,2458136.948,19.79
2018-01-18 12:30:58,2458137.022,19.88
2018-02-14 22:37:37,2458164.443,19.96
2018-02-15 00:24:11,2458164.517,19.87
2018-03-17 22:15:36,2458195.428,untrusted
2018-03-18 00:02:10,2458195.502,19.96
2018-04-23 15:25:13,2458232.143,20.10
2018-04-23 17:12:03,2458232.217,null
2018-06-25 02:03:52,2458294.586,null
2018-06-25 03:50:24,2458294.660,19.99
2018-07-10 21:55:35,2458310.414,null
2018-08-21 01:04:19,2458351.545,20.26
2018-08-21 02:50:53,2458351.619,20.21
2018-09-15 12:57:17,2458377.040,null
2018-09-15 14:43:51,2458377.114,20.54
2018-10-18 02:22:26,2458409.599,20.48
2018-11-26 00:13:09,2458448.509,20.23
2018-11-26 01:59:43,2458448.583,20.24
2018-12-20 00:19:02,2458472.513,20.41
2018-12-20 02:05:37,2458472.587,20.36
2019-01-30 17:53:01,2458514.245,untrusted
2019-01-30 19:39:35,2458514.319,20.52
2019-03-01 01:25:08,2458543.559,20.28
2019-03-29 11:20:52,2458571.973,20.22
2019-03-29 13:07:26,2458572.047,20.22
2019-05-06 22:22:17,2458610.432,null
2019-05-07 00:08:35,2458610.506,20.19
2019-05-24 12:11:17,2458628.008,null
2019-07-06 21:02:49,2458671.377,null
2019-07-06 22:48:59,2458671.451,null
2019-08-04 01:13:26,2458699.551,20.11
2019-08-04 05:27:19,2458699.727,null
2019-09-04 00:39:15,2458730.527,20.06
2019-09-04 02:26:17,2458730.602,null
2019-10-02 19:50:46,2458759.327,20.11
2019-11-09 16:02:34,2458797.168,19.71
2019-11-09 17:49:09,2458797.242,19.70
2019-11-26 10:32:29,2458813.939,19.21
2019-11-26 12:19:03,2458814.013,19.22
2020-01-06 07:14:22,2458854.802,19.04
2020-01-22 09:28:07,2458870.895,18.96
2020-02-28 21:51:02,2458908.410,19.37
2020-02-28 23:37:36,2458908.484,19.32
2020-03-27 10:55:28,2458935.955,19.36
2020-03-27 12:42:02,2458936.029,19.38
2020-04-27 06:06:08,2458966.754,19.22
2020-04-27 07:52:42,2458966.828,19.19

